cloudstack,706,1196,1210,1552,1400,1890,1806,2778,3174,,,,,,,1552,2
myfaces,1506,1442,1598,1866,1458,,,,,,,,,,,1506,2
flex,6056,3080,1534,696,934,1238,1094,758,766,1782,,,,,,1166,2
subversion,542,1098,,,,,,,,,,,,,,820,2
apex,476,480,812,588,704,640,818,,,,,,,,,640,2
spark,80,290,578,632,768,1044,2250,,,,,,,,,632,2
zeppelin,138,118,292,358,462,610,570,452,764,570,644,866,796,778,,570,2
storm,82,204,478,486,710,524,1146,586,502,558,,,,,,513,2
activemq,58,68,252,524,488,604,594,478,450,482,326,544,,,,480,2
ofbiz,0,102,692,520,452,420,550,,,,,,,,,452,2
derby,210,442,146,472,440,422,606,492,656,422,,,,,,441,2
ibatis,50,276,448,428,450,,,,,,,,,,,428,2
cordova,468,272,434,390,360,292,434,426,386,534,,,,,,408,2
beam,240,392,276,548,444,356,204,568,640,,,,,,,392,2
cassandra,2,172,58,66,326,498,334,346,782,474,506,,,,,334,2
wicket,272,260,268,320,382,346,448,,,,,,,,,320,2
nutch,0,370,402,266,,,,,,,,,,,,318,2
nifi,344,314,188,164,368,372,280,,,,,,,,,314,2
flink,244,326,222,360,298,486,,,,,,,,,,312,2
couchdb,198,234,158,262,430,370,352,546,,,,,,,,307,2
groovy,282,288,432,288,178,410,380,,,,,,,,,288,2
stratos,1220,268,182,252,304,280,256,518,798,,,,,,,280,2
jclouds,278,276,278,228,264,,,,,,,,,,,276,2
openmeetings,144,180,178,252,432,296,462,420,224,150,282,214,,,,238,2
asterixdb,32,86,182,188,302,280,284,224,140,226,238,,,,,224,2
kylin,96,152,164,154,292,224,222,290,346,,,,,,,222,2
phoenix,52,202,234,342,,,,,,,,,,,,218,2
kafka,100,76,248,286,178,138,146,244,212,510,214,192,242,,,212,2
carbondata,26,156,204,210,406,242,184,346,,,,,,,,207,2
ignite,74,40,96,130,200,352,326,448,484,,,,,,,200,2
metron,244,100,90,174,168,158,162,74,412,236,218,324,352,438,,196,2
cayenne,232,182,166,174,112,196,182,192,,,,,,,,182,2
dubbo,214,162,224,208,178,176,84,122,168,330,288,272,140,,,178,2
hudi,68,86,94,56,56,132,168,192,236,188,192,264,292,364,,178,2
rocketmq,168,176,188,174,66,120,114,186,,,,,,,,171,2
solr,54,86,152,174,150,142,280,176,224,308,,,,,,163,2
jena,142,116,148,126,156,120,112,166,250,284,228,170,316,264,,161,2
apisix,150,66,152,126,166,184,384,190,,,,,,,,159,2
eagle,186,186,182,168,146,68,94,244,148,52,202,140,,,,158,2
