,project_name,project_aliase,project_status
0,Taverna,taverna,retired
1,PhotArk,photark,retired
2,UIMA,uima,graduated
3,Qpid,qpid,graduated
4,Chukwa,chukwa,graduated
6,Sirona,sirona,retired
7,Pirk,pirk,retired
8,EasyAnt,ant,graduated
9,Drill,drill,graduated
10,ODF Toolkit,odf,retired
11,Calcite,calcite,graduated
12,Beehive,beehive,graduated
13,Fineract,fineract,graduated
14,Slider,slider,retired
15,ECharts,echarts,graduated
17,Shiro,shiro,graduated
18,Twill,twill,graduated
19,Tephra,tephra,graduated
20,Wave,wave,retired
21,Hadoop Development Tools (HDT),hdt,retired
22,Ripple,ripple,retired
23,ESME,esme,graduated
24,Ranger,ranger,graduated
25,TVM,tvm,graduated
26,Bluesky,bluesky,retired
27,TinkerPop,tinkerpop,graduated
28,Daffodil,daffodil,graduated
29,SAMOA,samoa,retired
30,BatchEE,batchee,graduated
31,Impala,impala,graduated
32,Falcon,falcon,graduated
34,APISIX,apisix,graduated
35,Thrift,thrift,graduated
36,HORN,horn,retired
37,Tika,tika,graduated
38,MRQL,mrql,retired
39,OpenAz,openaz,retired
41,Whirr,whirr,graduated
42,NPanday,npanday,retired
44,Graffito,graffito,retired
45,DirectMemory,directmemory,graduated
46,Kafka,kafka,graduated
47,Allura,allura,graduated
48,IoTDB,iotdb,graduated
49,Rya,rya,graduated
50,Tuscany,tuscany,graduated
53,ActiveMQ,activemq,graduated
54,JSPWiki,jspwiki,graduated
55,Knox,knox,graduated
56,Edgent,edgent,retired
57,DistributedLog,bookkeeper,graduated
58,Stonehenge,stonehenge,retired
59,Tashi,tashi,retired
60,HCatalog,hcatalog,graduated
61,Mynewt,mynewt,graduated
62,Airflow,airflow,graduated
64,Etch,etch,graduated
65,Gobblin,gobblin,graduated
66,Tajo,tajo,graduated
67,Trinidad,adffaces,graduated
68,Amber,oltu,graduated
70,CXF,cxf,graduated
71,Airavata,airavata,graduated
74,DeviceMap,devicemap,graduated
76,Syncope,syncope,graduated
