project_name,project_aliase,project_status
Taverna,taverna,retired
ServiceMix,servicemix,graduated
Sling,sling,graduated
PhotArk,photark,retired
UIMA,uima,graduated
Qpid,qpid,graduated
Chukwa,chukwa,graduated
DataSketches,datasketches,graduated
Traffic Server,trafficserver,graduated
Sirona,sirona,retired
Mesos,mesos,graduated
Pirk,pirk,retired
Weex,weex,retired
EasyAnt,ant,graduated
Drill,drill,graduated
ODF Toolkit,odf,retired
Calcite,calcite,graduated
NetBeans,netbeans,graduated
Myriad,myriad,retired
Beehive,beehive,graduated
Quickstep,quickstep,retired
Fineract,fineract,graduated
Slider,slider,retired
ECharts,echarts,graduated
HTrace,htrace,retired
DeviceMap,devicemap,graduated
Shiro,shiro,graduated
Twill,twill,graduated
Tephra,tephra,graduated
OFBiz,ofbiz,graduated
Wave,wave,retired
CarbonData,carbondata,graduated
Hadoop Development Tools (HDT),hdt,retired
Ripple,ripple,retired
ESME,esme,graduated
Ranger,ranger,graduated
TVM,tvm,graduated
Bluesky,bluesky,retired
TinkerPop,tinkerpop,graduated
Daffodil,daffodil,graduated
SAMOA,samoa,retired
MRQL,mrql,retired
MetaModel,metamodel,graduated
BatchEE,batchee,graduated
Omid,omid,graduated
Impala,impala,graduated
SIS,sis,graduated
Falcon,falcon,graduated
Warble,warble,retired
APISIX,apisix,graduated
Thrift,thrift,graduated
HORN,horn,retired
Tika,tika,graduated
OpenAz,openaz,retired
Cordova,cordova,graduated
Directory,directory,graduated
SystemML,systemml,graduated
Whirr,whirr,graduated
NPanday,npanday,retired
Graffito,graffito,retired
ACE,ace,graduated
Harmony,harmony,graduated
DirectMemory,directmemory,graduated
Kafka,kafka,graduated
Airflow,airflow,graduated
Allura,allura,graduated
IoTDB,iotdb,graduated
Rya,rya,graduated
Tuscany,tuscany,graduated
CXF,cxf,graduated
ActiveMQ,activemq,graduated
Shindig,shindig,graduated
JSPWiki,jspwiki,graduated
ShardingSphere,shardingsphere,graduated
Knox,knox,graduated
Edgent,edgent,retired
Ratis,ratis,graduated
Stonehenge,stonehenge,retired
Tashi,tashi,retired
HCatalog,hcatalog,graduated
Mynewt,mynewt,graduated
FtpServer,ftpserver,graduated
Etch,etch,graduated
