project_name,project_aliase,project_status
Taverna,taverna,retired
ServiceMix,servicemix,graduated
Sling,sling,graduated
PhotArk,photark,retired
UIMA,uima,graduated
Qpid,qpid,graduated
Chukwa,chukwa,graduated
DataSketches,datasketches,graduated
Traffic Server,trafficserver,graduated
Sirona,sirona,retired
Mesos,mesos,graduated
Weex,weex,retired
EasyAnt,ant,graduated
Drill,drill,graduated
ODF Toolkit,odf,retired
Calcite,calcite,graduated
NetBeans,netbeans,graduated
Myriad,myriad,retired
Quickstep,quickstep,retired
Fineract,fineract,graduated
Slider,slider,retired
ECharts,echarts,graduated
Twill,twill,graduated
OFBiz,ofbiz,graduated
Wave,wave,retired
CarbonData,carbondata,graduated
Hadoop Development Tools (HDT),hdt,retired
Ripple,ripple,retired
ESME,esme,graduated
Ranger,ranger,graduated
Bluesky,bluesky,retired
TinkerPop,tinkerpop,graduated
Daffodil,daffodil,graduated
SAMOA,samoa,retired
MRQL,mrql,retired
MetaModel,metamodel,graduated
BatchEE,batchee,graduated
Omid,omid,graduated
Impala,impala,graduated
Falcon,falcon,graduated
APISIX,apisix,graduated
Thrift,thrift,graduated
HORN,horn,retired
Tika,tika,graduated
OpenAz,openaz,retired
SystemML,systemml,graduated
Whirr,whirr,graduated
NPanday,npanday,retired
Graffito,graffito,retired
ACE,ace,graduated
Harmony,harmony,graduated
DirectMemory,directmemory,graduated
Kafka,kafka,graduated
Allura,allura,graduated
IoTDB,iotdb,graduated
Rya,rya,graduated
Tuscany,tuscany,graduated
CXF,cxf,graduated
ActiveMQ,activemq,graduated
Shindig,shindig,graduated
JSPWiki,jspwiki,graduated
ShardingSphere,shardingsphere,graduated
Knox,knox,graduated
Edgent,edgent,retired
Ratis,ratis,graduated
Stonehenge,stonehenge,retired
Tashi,tashi,retired
HCatalog,hcatalog,graduated
Mynewt,mynewt,graduated
Airflow,airflow,graduated
FtpServer,ftpserver,graduated
Etch,etch,graduated
Gobblin,gobblin,graduated
S4,s4,retired
Tajo,tajo,graduated
Trinidad,adffaces,graduated
Pinot,pinot,graduated
River,river,graduated
Amber,oltu,graduated
Airavata,airavata,graduated
Syncope,syncope,graduated
Cordova,cordova,graduated
Empire-db,empire,graduated
