Edgent,Hadoop Development Tools (HDT),Mnemonic,Juneau,ODF Toolkit,Zeta Components,Streams,Oozie,Roller,Nuvem,Synapse,Griffin,Kalumet,Jackrabbit,Wink,Deltacloud,BatchEE,Apex,Falcon,Eagle,HAWQ,ESME,Gora,Twill,Pulsar,Quickstep,Flex,PhotArk,Omid,Tashi,Phoenix,River,Ode,Empire-db,SINGA,DataFu,ECharts,Amber,Kafka,OpenWhisk,Slider,MADlib,Sling,Olio,FtpServer,Derby,Aurora,PLC4X,Openmeetings,Pirk,Clerezza,Traffic Control,Usergrid,cTAKES,ManifoldCF,JSPWiki,Mesos,Celix,Dubbo,Atlas,Hama,Zipkin,PredictionIO,HORN,Calcite,NPanday,Heraldry,SkyWalking,HCatalog,Pinot,Wave,Tika,Blur,Graffito,Ranger,XAP,Wookie,Abdera,Corinthia,Qpid,Droids,DistributedLog,Storm,FreeMarker,Thrift,Lokahi,Etch,Isis,HTrace,Tez,UIMA,Airavata,Allura,HISE,SystemML,Samza,DolphinScheduler,Sanselan,Bloodhound,mod_ftp,Aries,TinkerPop,Shindig,Lucene.NET,ACE,Fineract,TripleSoup,Taverna,Accumulo,Bean Validation,Impala,Bluesky,RCF,Superset,Metron,Helix,Stanbol,Kitty,Yoko,Daffodil,Alois,Sqoop,Rya,Trafodion,Ivy,Myriad,VXQuery,S2Graph,Tephra,Chemistry,Chukwa,Gearpump,iBATIS,Felix,Tamaya,MRQL,Lucy,ActiveMQ,Joshua,Iceberg,Flume,Climate Model Diagnostic Analyzer,Rave,Syncope,Bigtop,SAMOA,iota,Gobblin,REEF,Libcloud,Druid,OpenWebBeans,Kylin,Fluo,Cayenne,Shiro,OpenOffice.org,Knox,Olingo,AsterixDB,CouchDB,TVM,Giraph,PDFBox,Flink,Drill,Sirona,VCL,OODT,Curator,MRUnit,Buildr,DataSketches,ServiceComb,Tuscany,OpenJPA,EasyAnt,NiFi,Beehive,DeviceMap,Jena,Gossip,Open Climate Workbench,DeltaSpike,IoTDB,Mynewt,Sentry,NMaven,Agila,Pivot,RocketMQ,Stratos,Cordova,OpenNLP,AriaTosca,Unomi,Parquet,Johnzon,SIS,Imperius,CloudStack,Muse,Crunch,Tajo,Provisionr,Groovy,Stonehenge,Any23,JDO,Amaterasu,AWF,stdcxx,Kato,CXF,OFBiz,Onami,Pig,Solr,Cassandra,S4,Kudu,Guacamole,OpenAz,Warble,Click,Ratis,ShardingSphere,Geode,NetBeans,Ripple,Ambari,Whirr,Harmony,DirectMemory,CarbonData,jclouds,Zeppelin,OGNL,Hudi,Weex,APISIX,Lens,Subversion,MyFaces,Ignite,CommonsRDF,WebWork 2,Trinidad,JuiCE,ServiceMix,Wicket,MetaModel,Hermes,Spark,Concerted,Nutch,Brooklyn,Kabuki,Traffic Server,Beam,Airflow,Directory
0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1147,173.0,555.0,624,1036,1854.0,1752.0,1007.0,3132,361.0,1273,1156.0,452.0,3224,2596.0,1552,507.0,1616.0,1150,1942.0,3923,606,481,722,3109.0,1131,12501,431,461.0,280,979.0,3045.0,2022,893,834.0,584.0,5136.0,593.0,2468,5295,1676,625.0,2566,761.0,217.0,2869,1806,1630,2646,350.0,1554,1659,3591,945.0,919,3215,2786,1138,7847,2204,979,1044.0,83.0,97.0,919,1315.0,893,4279.0,1424,10049,3458.0,168.0,1481,837.0,2740,1650.0,1046,1323,682,7398,948.0,648,4412.0,310.0,3574,322.0,1853,4240.0,651.0,1746,5209,2436,1190,262.0,1720,1360,1571.0,287.0,694,72.0,2457,2426,5814,2697,801,620.0,277.0,1111,1390.0,663.0,2264,822.0,,7477,1967,894,4704,139.0,2081.0,2607,386.0,580.0,1081,4143,773,672,836.0,255.0,310.0,421.0,759,742,798.0,1491,499.0,232.0,897,7294,535,2968.0,1647.0,108.0,1943,989,636,857.0,177.0,2602.0,1713,954.0,6842,916,611.0,379,2513.0,1976,28033,445,766.0,1324,1749,7629,491,720.0,1460.0,3258,864.0,1104,1852.0,196.0,137.0,579,1840.0,2357,16134,369.0,3016.0,3062.0,1927,787,3628,277.0,378.0,2163,58992,758.0,1423.0,716,454.0,1552,354.0,2925,2674.0,1341,629,299.0,480.0,157.0,136.0,407.0,29721.0,299.0,891.0,1156.0,78.0,911.0,935,791.0,593.0,76.0,212.0,1202,1136.0,8789,2922.0,659.0,803,1154,1239.0,711.0,1046.0,601.0,304.0,0.0,1011,328.0,509,1458.0,636.0,515.0,4484,410.0,4908.0,418.0,66.0,1463.0,1085.0,254.0,235.0,16.0,955,1138.0,2010.0,4044.0,2121.0,0.0,3166.0,2656,58.0,1834.0,230.0,81.0,152.0,3236.0,10.0,324.0,212.0,,24.0,0.0,114.0,200.0
264,31.0,145.0,151,253,51.0,909.0,134.0,993,45.0,377,127.0,48.0,422,381.0,135,47.0,332.0,145,242.0,661,246,47,65,583.0,262,1303,130,27.0,88,218.0,297.0,1123,145,79.0,62.0,556.0,51.0,286,773,294,101.0,625,78.0,69.0,337,281,631,474,91.0,231,318,809,90.0,259,589,182,131,766,355,184,47.0,,55.0,183,206.0,24,518.0,176,597,515.0,,357,139.0,478,259.0,195,404,138,1613,74.0,154,295.0,55.0,445,58.0,538,734.0,116.0,231,814,436,330,36.0,336,211,148.0,65.0,170,32.0,483,560,878,365,72,84.0,58.0,118,151.0,491.0,229,64.0,,2393,399,1385,606,31.0,242.0,253,13.0,85.0,74,499,189,106,182.0,52.0,30.0,68.0,109,83,64.0,226,103.0,35.0,543,1988,69,369.0,253.0,4.0,258,203,160,31.0,13.0,203.0,529,149.0,4036,218,98.0,32,350.0,229,3133,56,136.0,336,242,867,124,151.0,542.0,379,120.0,215,24.0,37.0,49.0,144,113.0,201,3288,31.0,507.0,318.0,266,43,398,81.0,74.0,423,4870,181.0,256.0,215,28.0,627,,836,744.0,178,247,39.0,31.0,13.0,9.0,83.0,4079.0,50.0,176.0,192.0,38.0,109.0,280,82.0,845.0,2688.0,68.0,322,138.0,1547,308.0,107.0,351,173,291.0,136.0,114.0,35.0,39.0,,258,107.0,76,156.0,380.0,24.0,1072,81.0,324.0,207.0,39.0,128.0,120.0,1142.0,64.0,,169,176.0,469.0,475.0,105.0,,1667.0,429,,119.0,,,159.0,263.0,43.0,109.0,101.0,,,,,
39,15.0,53.0,31,187,20.0,78.0,40.0,239,15.0,66,8.0,,138,100.0,30,2.0,198.0,41,69.0,163,124,4,57,158.0,50,310,26,15.0,32,46.0,76.0,97,23,45.0,9.0,116.0,16.0,84,194,55,15.0,171,30.0,41.0,119,95,473,150,34.0,78,102,196,27.0,102,171,70,35,202,86,79,6.0,,12.0,28,30.0,2,98.0,34,79,132.0,,87,28.0,127,62.0,57,150,37,502,30.0,22,29.0,7.0,86,35.0,26,230.0,36.0,60,164,92,70,8.0,84,39,21.0,20.0,66,0.0,174,156,257,69,11,43.0,7.0,50,38.0,30.0,79,38.0,,465,155,189,157,16.0,80.0,36,4.0,7.0,24,123,36,34,63.0,25.0,5.0,43.0,17,25,8.0,69,120.0,4.0,112,393,26,327.0,70.0,,78,41,41,14.0,4.0,47.0,58,32.0,166,53,11.0,6,98.0,37,784,11,41.0,97,63,329,25,13.0,119.0,89,149.0,56,2.0,10.0,8.0,65,19.0,74,918,2.0,30.0,96.0,71,26,120,11.0,20.0,138,176,85.0,55.0,60,0.0,149,,311,185.0,33,90,44.0,8.0,110.0,2.0,18.0,643.0,0.0,20.0,51.0,9.0,33.0,67,10.0,73.0,21.0,18.0,68,32.0,335,73.0,51.0,71,69,17.0,22.0,19.0,6.0,2.0,,63,15.0,22,18.0,100.0,10.0,330,33.0,56.0,30.0,,16.0,38.0,,,,48,43.0,52.0,51.0,14.0,,212.0,125,,13.0,,,38.0,86.0,,2.0,,,,,,
23,6.0,23.0,14,6,0.0,34.0,7.0,123,2.0,45,9.0,,36,23.0,25,2.0,61.0,12,22.0,47,43,6,8,52.0,27,141,9,,6,28.0,24.0,37,4,3.0,,104.0,8.0,22,76,27,4.0,64,15.0,38.0,42,36,190,48,20.0,19,54,41,12.0,28,43,39,15,354,32,24,10.0,,0.0,11,10.0,4,75.0,6,24,36.0,,82,20.0,45,19.0,36,64,10,192,5.0,10,18.0,10.0,24,,7,69.0,24.0,30,53,17,74,4.0,39,11,9.0,5.0,32,,50,75,113,15,5,,1.0,20,17.0,16.0,43,2.0,,75,26,17,46,1.0,39.0,19,,10.0,6,67,9,8,16.0,4.0,,17.0,2,5,,12,34.0,7.0,23,54,10,9.0,13.0,,28,11,9,3.0,0.0,9.0,33,15.0,42,27,10.0,7,38.0,21,292,12,10.0,27,31,136,12,10.0,49.0,20,28.0,26,2.0,0.0,0.0,12,9.0,26,256,,8.0,41.0,34,2,116,2.0,11.0,65,213,18.0,28.0,54,,58,,85,94.0,12,57,4.0,,2.0,,,179.0,4.0,10.0,23.0,2.0,42.0,26,6.0,1.0,4.0,21.0,18,21.0,138,69.0,15.0,35,19,,2.0,11.0,,,,25,,26,7.0,24.0,2.0,54,13.0,14.0,9.0,,,16.0,,,,40,24.0,,11.0,0.0,,41.0,46,,,,,6.0,20.0,,,,,,,,
2,0.0,1.0,6,6,0.0,12.0,7.0,66,,18,6.0,,20,16.0,13,0.0,100.0,2,12.0,41,38,6,4,17.0,17,60,0,,4,0.0,9.0,11,6,0.0,,16.0,2.0,15,29,17,4.0,31,6.0,,23,20,117,28,,10,16,15,9.0,13,28,14,6,40,15,15,4.0,,0.0,7,11.0,0,29.0,9,5,28.0,,21,9.0,24,8.0,13,34,8,92,,8,14.0,0.0,3,,2,14.0,13.0,11,22,26,30,,18,51,10.0,4.0,11,,13,42,41,6,1,,,14,,13.0,22,4.0,,7,18,10,18,0.0,9.0,8,,2.0,10,48,4,8,,,,5.0,0,10,,4,14.0,,10,31,4,4.0,10.0,,11,13,4,0.0,0.0,0.0,14,5.0,21,19,0.0,4,14.0,0,205,0,5.0,24,7,168,8,2.0,32.0,4,0.0,14,0.0,0.0,2.0,12,4.0,19,100,,13.0,13.0,17,4,35,0.0,5.0,24,32,22.0,2.0,6,,39,,31,14.0,8,33,2.0,,0.0,,,77.0,,11.0,16.0,,,16,8.0,1.0,,16.0,21,5.0,54,26.0,2.0,26,7,,4.0,10.0,,,,9,,8,,6.0,4.0,33,5.0,6.0,2.0,,,4.0,,,,17,6.0,,4.0,,,,17,,,,,,7.0,,,,,,,,
10,,,3,8,0.0,6.0,5.0,41,,9,0.0,,3,4.0,4,0.0,18.0,4,,25,13,2,2,10.0,5,7,2,,1,,14.0,12,0,2.0,,11.0,2.0,6,18,9,2.0,12,0.0,,10,22,63,35,,5,11,4,4.0,5,7,18,2,17,7,7,6.0,,0.0,0,,0,6.0,0,2,10.0,,15,3.0,16,4.0,6,7,10,48,,10,,1.0,1,,0,10.0,,4,26,11,10,,5,10,,,18,,4,11,31,4,1,,,12,,3.0,20,,,9,24,12,14,,6.0,1,,0.0,6,10,3,0,,,,1.0,2,4,,13,2.0,,4,14,4,4.0,2.0,,7,4,2,0.0,0.0,1.0,2,,4,5,,6,1.0,5,95,4,3.0,10,2,45,2,,38.0,6,,14,,0.0,6.0,5,2.0,20,84,,2.0,10.0,0,0,8,4.0,0.0,8,85,6.0,4.0,1,,7,,30,,7,13,0.0,,,,,43.0,,2.0,11.0,,,6,4.0,8.0,,,0,0.0,33,10.0,,12,4,,4.0,,,,,8,,2,,0.0,0.0,47,4.0,,,,,,,,,8,4.0,,,,,,10,,,,,,,,,,,,,,
2,,,3,4,,2.0,0.0,13,,1,,,6,,2,0.0,18.0,2,,24,14,4,0,2.0,3,14,4,,1,,8.0,0,0,,,4.0,,5,17,5,0.0,7,,,6,6,58,5,,2,10,8,,6,5,4,0,3,2,5,0.0,,0.0,2,,0,4.0,2,2,6.0,,9,,11,5.0,2,6,2,42,,0,,,3,,0,9.0,,0,6,3,3,,11,0,,,6,,2,11,21,7,0,,,6,,,2,,,0,40,4,4,,2.0,0,,2.0,0,15,0,4,,,,0.0,0,0,,0,0.0,,0,6,1,,2.0,,5,2,3,,,,4,,6,0,,0,2.0,4,56,0,0.0,20,7,93,1,,,4,,3,,,,10,2.0,14,39,,0.0,3.0,2,0,6,2.0,,2,6,4.0,2.0,5,,6,,16,,4,2,0.0,,,,,28.0,,2.0,,,,0,0.0,8.0,,,5,,14,12.0,,7,4,,3.0,,,,,2,,2,,0.0,6.0,22,,,,,,,,,,2,2.0,,,,,,4,,,,,,,,,,,,,,
0,,,6,2,,,,9,,4,,,4,,2,,0.0,0,,5,3,2,0,8.0,0,10,2,,1,,,1,2,,,3.0,,2,1,2,0.0,9,,,5,13,41,0,,0,2,1,,0,0,3,0,4,2,4,0.0,,,2,,0,,0,3,,,5,,4,0.0,1,3,0,22,,4,,,2,,2,,,2,6,4,0,,2,0,,,0,,0,4,7,2,0,,,0,,,4,,,3,0,0,5,,,2,,,0,23,0,2,,,,,0,2,,1,,,2,1,0,,0.0,,3,6,2,,,,0,,4,3,,0,,4,41,0,0.0,12,8,0,2,,,4,,3,,,,8,,0,23,,,0.0,0,2,9,2.0,,0,2,,,5,,9,,6,,2,0,,,,,,13.0,,,,,,2,0.0,,,,2,,15,28.0,,2,2,,,,,,,0,,0,,6.0,,13,,,,,,,,,,2,8.0,,,,,,3,,,,,,,,,,,,,,
0,,,0,0,,,,2,,1,,,0,,2,,,0,,3,5,0,0,,0,4,0,,2,,,3,0,,,,,0,0,0,,0,,,4,1,6,4,,0,0,0,,0,8,0,1,6,2,2,,,,0,,0,,0,1,,,2,,4,,0,5,0,12,,0,,,2,,2,,,0,3,0,0,,0,0,,,1,,2,3,2,2,0,,,6,,,2,,,1,0,0,2,,,2,,,2,4,0,4,,,,,0,0,,0,,,0,2,2,,,,2,0,1,,,,0,,2,1,,0,,0,61,0,,2,0,0,0,,,4,,1,,,,0,,0,13,,,,0,0,2,,,4,0,,,2,,4,,2,,2,2,,,,,,,,,,,,0,,,,,1,,13,,,1,2,,,,,,,0,,0,,,,5,,,,,,,,,,2,,,,,,,0,,,,,,,,,,,,,,
