SkyWalking,HAWQ,Tez,Hama,Atlas,Celix,DataFu,Wink,IoTDB,Geode,Solr,ActiveMQ,Jena,Airavata,Graffito,Iceberg,Traffic Control,Synapse,TinkerPop,Tuscany,Joshua,Mesos,VXQuery,Thrift,NPanday,Libcloud,Gobblin,Clerezza,Quickstep,VCL,S2Graph,Stanbol,UIMA,Flume,Etch,Cordova,Shiro,Empire-db,Derby,Falcon,Olingo,Edgent,HCatalog,Rya,Open Climate Workbench,Daffodil,JDO,MADlib,NMaven,OFBiz,Parquet,Mynewt,Lens,OpenJPA,Ranger,Blur,Isis,Kato,Click,AriaTosca,Yoko,Openmeetings,Crunch,Onami,DolphinScheduler,ODF Toolkit,Griffin,Shindig,ServiceComb,Fluo,ACE,Qpid,DeltaSpike,Stonehenge,SAMOA,Imperius,ECharts,AsterixDB,Chemistry,Superset,REEF,Olio,Lucene.NET,Slider,JSPWiki,Cayenne,Phoenix,Druid,Amber,Metron,Giraph,cTAKES,Oozie,Streams,Wave,Calcite,PhotArk,Tajo,Kudu,Ivy,Accumulo,Impala,Allura,Taverna,Chukwa,Wookie,stdcxx,PDFBox,CouchDB,OODT,ManifoldCF,ShardingSphere,Omid,HTrace,Samza,Drill,Gearpump,Sqoop,Gossip,DeviceMap,Provisionr,Zipkin,OpenWebBeans,DistributedLog,Tephra,Lucy,BatchEE,Gora,XAP,ESME,SystemML,Subversion,Aries,CXF,Nutch,Bigtop,DataSketches,Deltacloud,SINGA,FreeMarker,Bloodhound,Hermes,Trinidad,Wicket,Ambari,Curator,Trafodion,Felix,OpenWhisk,Pinot,Abdera,Pig,Storm,Stratos,Tamaya,Juneau,Corinthia,River,Sling,EasyAnt,Zeppelin,OpenOffice.org,Hadoop Development Tools (HDT),Beehive,Rave,Zeta Components,CloudStack,TVM,jclouds,Sentry,Dubbo,Myriad,FtpServer,Helix,Pulsar,Jackrabbit,Apex,Roller,Tashi,MRQL,Whirr,Twill,Kafka,NiFi,Any23,SIS,MyFaces,Flink,Kylin,Bluesky,Eagle,Aurora,Spark,Alois,Kitty,Lokahi,Sanselan,Usergrid,Ignite,Mnemonic,Muse,Knox,Fineract,Droids,HISE,APISIX,Ode,OpenNLP,Buildr,Ratis,Flex,iota,Bean Validation,Sirona,HORN,Nuvem,RocketMQ,S4,Kabuki,MRUnit,Airflow,Traffic Server,Climate Model Diagnostic Analyzer,Cassandra,Harmony,Johnzon,AWF,Ripple,Syncope,Unomi,DirectMemory,Kalumet,Pivot,ServiceMix,PLC4X,OpenAz,WebWork 2,Pirk,Concerted,Heraldry,Amaterasu,Guacamole,OGNL,Hudi,mod_ftp,iBATIS,Warble,Agila,Tika,RCF,TripleSoup,CarbonData,MetaModel,JuiCE,NetBeans,Groovy,Brooklyn,PredictionIO,CommonsRDF
0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4308,3940,1172.0,948,2144.0,1051,533.0,2549.0,54322,1493.0,1015,8011,3226,2477.0,772.0,2903.0,1719.0,1268.0,2367,15793,497.0,2503.0,834.0,3172.0,1256.0,868.0,2625.0,1405.0,1034.0,1082,252.0,4713,5339,1635.0,1842.0,2722,1687.0,816,1645.0,970.0,786.0,1079.0,1395.0,821.0,375.0,2524,1289.0,480.0,718.0,2823.0,459.0,674.0,1192,,2751,1517,4173.0,1015.0,1044,538,2110.0,2627,717.0,684.0,1313.0,1110,1008.0,5737,2336.0,372.0,677.0,7505,2160.0,1029.0,750.0,393.0,5276.0,1444,428.0,9057,2000,709.0,2589.0,1635.0,3579,2593.0,1029.0,9997.0,491.0,2052,469.0,933,867.0,1743.0,2747.0,946,402.0,1165.0,1133,812.0,1381.0,2159,1096.0,1020.0,560.0,1046,1346,627.0,1465,1748.0,839.0,246.0,381.0,673.0,1320,2621,702,547.0,291.0,657.0,104.0,956.0,812,554.0,270.0,1097.0,483.0,318.0,1680.0,710,1716.0,2258.0,2425.0,8931,343.0,637,1644.0,1379,1256.0,268.0,620,261.0,2673,638.0,4609,184.0,4204.0,1247.0,5361.0,9335.0,1508,878.0,3432.0,3062,573,639.0,683,2479.0,2591,3120.0,579.0,28748,107.0,1604.0,1907,1714.0,27937,7232.0,1463.0,1489.0,7810,575.0,197.0,1170.0,3025,2843,1703.0,3482,288.0,183.0,345.0,549.0,2167.0,3064.0,700.0,65.0,4090.0,1845,612.0,689.0,2178.0,1847,3011.0,50.0,114.0,262.0,286.0,3648.0,1864.0,452.0,299.0,411.0,545.0,824.0,244.0,956,1948,1204.0,586.0,329.0,11702,99.0,1028.0,826.0,97.0,326.0,327.0,223.0,,92.0,,133.0,23.0,573.0,4138.0,252.0,206.0,389,1055.0,194.0,459.0,455.0,1444.0,1527.0,1762,204.0,4353.0,355.0,,727.0,1442.0,543.0,944.0,182.0,78.0,146.0,,312.0,53.0,,325.0,,79.0,,490.0,574.0,273.0,,
556,522,211.0,128,307.0,108,17.0,341.0,9567,154.0,156,1199,386,344.0,123.0,587.0,200.0,297.0,600,3096,47.0,208.0,187.0,271.0,228.0,178.0,204.0,273.0,327.0,183,63.0,664,669,184.0,448.0,581,197.0,142,163.0,151.0,117.0,219.0,160.0,47.0,68.0,233,164.0,61.0,187.0,311.0,30.0,134.0,121,,477,352,823.0,214.0,218,297,195.0,472,332.0,84.0,92.0,286,110.0,852,240.0,21.0,61.0,1529,326.0,181.0,21.0,65.0,324.0,151,83.0,883,213,61.0,224.0,313.0,738,289.0,156.0,757.0,37.0,260,58.0,97,95.0,978.0,284.0,104,94.0,192.0,116,141.0,201.0,198,376.0,98.0,54.0,182,195,52.0,178,20.0,313.0,25.0,32.0,72.0,132,225,114,57.0,48.0,112.0,,58.0,243,74.0,28.0,327.0,37.0,15.0,238.0,189,294.0,196.0,361.0,1319,46.0,144,200.0,268,106.0,61.0,139,51.0,423,110.0,783,17.0,438.0,162.0,578.0,1209.0,284,239.0,181.0,638,119,148.0,65,303.0,585,147.0,90.0,2104,47.0,288.0,294,39.0,5677,721.0,154.0,187.0,998,86.0,71.0,124.0,500,435,292.0,629,46.0,39.0,84.0,67.0,274.0,299.0,68.0,,329.0,165,93.0,96.0,227.0,236,346.0,9.0,25.0,62.0,59.0,778.0,256.0,88.0,59.0,79.0,32.0,162.0,33.0,147,272,160.0,127.0,81.0,1215,22.0,116.0,238.0,23.0,68.0,30.0,127.0,,51.0,,,,102.0,241.0,18.0,22.0,47,149.0,33.0,66.0,29.0,697.0,114.0,469,18.0,572.0,73.0,,,16.0,24.0,,54.0,,11.0,,3.0,,,11.0,,7.0,,58.0,65.0,23.0,,
99,151,58.0,63,79.0,31,,59.0,164,15.0,35,221,66,56.0,22.0,16.0,73.0,98.0,151,869,34.0,57.0,44.0,39.0,41.0,25.0,26.0,39.0,86.0,46,2.0,120,117,61.0,54.0,182,65.0,30,35.0,41.0,46.0,90.0,36.0,28.0,26.0,62,29.0,10.0,60.0,59.0,,72.0,37,,107,105,162.0,50.0,41,126,76.0,127,22.0,19.0,25.0,25,22.0,250,56.0,4.0,15.0,549,93.0,42.0,8.0,12.0,111.0,63,15.0,352,32,22.0,26.0,71.0,163,62.0,44.0,112.0,18.0,71,16.0,16,37.0,87.0,68.0,37,36.0,31.0,15,35.0,37.0,57,100.0,33.0,2.0,36,42,22.0,62,2.0,95.0,5.0,6.0,20.0,48,18,19,19.0,12.0,15.0,,,37,18.0,4.0,97.0,5.0,0.0,48.0,61,114.0,36.0,106.0,280,,25,28.0,35,19.0,14.0,41,5.0,80,,249,6.0,141.0,37.0,129.0,116.0,93,55.0,27.0,134,18,31.0,32,66.0,142,22.0,33.0,637,19.0,79.0,58,4.0,568,369.0,18.0,56.0,297,28.0,40.0,45.0,166,80,128.0,206,18.0,3.0,25.0,18.0,58.0,68.0,8.0,,56.0,97,13.0,15.0,61.0,86,54.0,0.0,,6.0,23.0,100.0,29.0,17.0,2.0,15.0,,7.0,9.0,53,91,27.0,51.0,8.0,251,,29.0,49.0,10.0,13.0,,40.0,,2.0,,,,58.0,35.0,3.0,33.0,8,29.0,33.0,8.0,,180.0,20.0,730,8.0,64.0,17.0,,,0.0,7.0,,4.0,,,,,,,,,,,16.0,8.0,,,
28,54,17.0,30,23.0,8,,17.0,41,5.0,17,116,25,21.0,15.0,8.0,21.0,33.0,47,314,12.0,42.0,24.0,10.0,11.0,11.0,,33.0,26.0,23,,34,38,13.0,4.0,63,14.0,4,18.0,4.0,3.0,22.0,13.0,15.0,4.0,6,17.0,,23.0,30.0,,25.0,14,,38,35,49.0,11.0,15,35,38.0,39,7.0,45.0,10.0,10,3.0,98,34.0,3.0,2.0,165,40.0,26.0,0.0,2.0,56.0,20,5.0,24,18,7.0,19.0,22.0,37,27.0,17.0,26.0,0.0,28,7.0,7,7.0,25.0,24.0,7,6.0,4.0,8,12.0,4.0,34,35.0,15.0,5.0,19,13,1.0,16,,46.0,6.0,5.0,20.0,5,18,8,8.0,2.0,9.0,,,26,16.0,6.0,10.0,,2.0,19.0,38,34.0,14.0,30.0,88,,5,17.0,14,23.0,4.0,31,4.0,38,,86,2.0,40.0,11.0,76.0,14.0,46,36.0,10.0,74,18,11.0,9,18.0,65,4.0,4.0,228,2.0,22.0,23,8.0,190,282.0,19.0,10.0,68,12.0,31.0,10.0,103,36,88.0,83,8.0,0.0,9.0,4.0,21.0,29.0,8.0,,13.0,44,8.0,,31.0,24,12.0,0.0,,0.0,,47.0,15.0,18.0,,3.0,,5.0,4.0,19,21,11.0,12.0,4.0,119,,14.0,13.0,3.0,1.0,,7.0,,,,,,5.0,17.0,1.0,0.0,3,8.0,4.0,6.0,,55.0,8.0,76,,28.0,10.0,,,,0.0,,,,,,,,,,,,,0.0,4.0,,,
11,26,8.0,13,7.0,7,,6.0,91,1.0,7,39,15,11.0,10.0,2.0,11.0,3.0,29,111,2.0,7.0,13.0,9.0,8.0,6.0,,9.0,16.0,12,,18,19,13.0,2.0,31,12.0,2,5.0,0.0,0.0,0.0,4.0,2.0,0.0,10,8.0,,5.0,17.0,,15.0,11,,15,20,24.0,2.0,8,28,7.0,27,2.0,8.0,,2,5.0,45,9.0,6.0,1.0,67,8.0,10.0,,,9.0,14,2.0,12,9,3.0,10.0,15.0,17,6.0,4.0,18.0,,20,0.0,8,,12.0,6.0,8,4.0,5.0,1,2.0,0.0,23,18.0,10.0,0.0,7,13,,10,,10.0,,,,20,8,8,1.0,10.0,5.0,,,7,4.0,,4.0,,0.0,7.0,24,10.0,13.0,10.0,50,,3,4.0,7,,0.0,11,0.0,9,,39,2.0,19.0,9.0,25.0,3.0,11,6.0,,48,12,2.0,10,6.0,32,4.0,,117,,12.0,8,0.0,55,2.0,16.0,7.0,29,4.0,3.0,3.0,14,12,28.0,33,3.0,0.0,,0.0,5.0,10.0,4.0,,,12,2.0,,,15,11.0,,,,,9.0,,9.0,,7.0,,,,6,9,6.0,12.0,2.0,53,,,,1.0,1.0,,0.0,,,,,,7.0,2.0,0.0,,2,6.0,3.0,,,19.0,2.0,42,,10.0,10.0,,,,0.0,,,,,,,,,,,,,,,,,
3,4,4.0,4,6.0,0,,6.0,44,3.0,6,46,13,5.0,4.0,0.0,,5.0,21,59,0.0,6.0,,0.0,0.0,,,4.0,3.0,6,,5,8,0.0,,25,5.0,0,1.0,,,4.0,,4.0,1.0,3,2.0,,4.0,9.0,,12.0,2,,8,8,9.0,0.0,2,12,1.0,15,0.0,,,0,2.0,24,5.0,,0.0,42,14.0,4.0,,,33.0,16,3.0,4,5,2.0,1.0,2.0,8,6.0,2.0,4.0,,18,0.0,10,,6.0,10.0,0,0.0,6.0,2,0.0,1.0,14,3.0,8.0,,3,6,,3,,9.0,,,,2,4,0,2.0,0.0,0.0,,,3,0.0,,3.0,,2.0,1.0,18,2.0,,7.0,15,,1,2.0,4,,0.0,15,,9,,36,0.0,10.0,2.0,7.0,2.0,7,10.0,,12,4,0.0,2,4.0,18,,,83,,5.0,6,,40,0.0,10.0,7.0,21,6.0,0.0,4.0,3,10,17.0,10,2.0,,,,7.0,8.0,0.0,,,14,2.0,,,13,,,,,,10.0,,10.0,,0.0,,,,6,8,6.0,8.0,,30,,,,,0.0,,1.0,,,,,,,2.0,,,0,0.0,0.0,,,16.0,0.0,28,,16.0,2.0,,,,0.0,,,,,,,,,,,,,,,,,
1,12,,4,,1,,2.0,4,2.0,2,1,5,1.0,3.0,0.0,,6.0,6,39,3.0,6.0,,,0.0,,,,2.0,2,,4,7,,,14,0.0,0,2.0,,,0.0,,,0.0,2,0.0,,2.0,4.0,,2.0,4,,5,11,8.0,,1,4,1.0,5,0.0,,,2,0.0,3,5.0,,,26,0.0,2.0,,,,8,,1,2,0.0,2.0,5.0,2,10.0,1.0,,,10,2.0,0,,2.0,4.0,0,2.0,1.0,0,2.0,2.0,12,7.0,2.0,,0,2,,3,,,,,,4,2,0,2.0,,0.0,,,2,0.0,,2.0,,0.0,2.0,4,4.0,,2.0,6,,4,0.0,5,,0.0,2,,2,,21,2.0,8.0,0.0,2.0,0.0,5,3.0,,2,4,1.0,0,0.0,8,,,42,,2.0,11,,22,,8.0,0.0,9,0.0,,9.0,2,5,12.0,11,0.0,,,,6.0,,0.0,,,4,,,,20,,,,,,5.0,,,,2.0,,,,4,0,3.0,4.0,,32,,,,,,,,,,,,,,,,,0,2.0,1.0,,,7.0,0.0,30,,2.0,2.0,,,,0.0,,,,,,,,,,,,,,,,,
0,7,,2,,2,,2.0,81,0.0,2,0,3,0.0,,,,4.0,7,15,0.0,4.0,,,0.0,,,,2.0,0,,0,2,,,14,0.0,0,1.0,,,0.0,,,,0,4.0,,2.0,0.0,,2.0,4,,1,3,3.0,,3,2,,3,2.0,,,0,,2,0.0,,,8,0.0,4.0,,,,4,,5,0,,,5.0,4,5.0,,,,0,,0,,,4.0,0,2.0,0.0,0,0.0,0.0,6,4.0,2.0,,0,0,,2,,,,,,21,4,2,0.0,,2.0,,,2,,,2.0,,0.0,0.0,12,2.0,,4.0,7,,0,0.0,1,,0.0,11,,4,,9,0.0,4.0,0.0,,3.0,1,1.0,,10,0,4.0,2,2.0,2,,,16,,1.0,2,,11,,2.0,,4,0.0,,,4,0,6.0,4,0.0,,,,4.0,,2.0,,,4,,,,7,,,,,,2.0,,,,0.0,,,,2,4,,0.0,,8,,,,,,,,,,,,,,,,,0,4.0,0.0,,,6.0,0.0,31,,2.0,,,,,,,,,,,,,,,,,,,,,,
0,10,,4,,0,,0.0,2,1.0,4,2,1,0.0,,,,0.0,1,10,0.0,4.0,,,0.0,,,,0.0,1,,2,3,,,1,2.0,0,0.0,,,0.0,,,,0,0.0,,1.0,0.0,,1.0,0,,3,3,2.0,,0,1,,2,0.0,,,0,,2,1.0,,,16,4.0,2.0,,,,2,,2,0,,,3.0,1,2.0,,,,10,,0,,,,0,0.0,,0,2.0,0.0,2,,,,0,0,,0,,,,,,0,0,0,,,,,,1,,,0.0,,0.0,0.0,5,,,,5,,1,0.0,2,,,2,,2,,5,,9.0,,,0.0,0,,,2,6,2.0,0,0.0,4,,,14,,0.0,0,,8,,8.0,,0,0.0,,,0,0,2.0,6,0.0,,,,2.0,,,,,0,,,,4,,,,,,,,,,0.0,,,,2,0,,2.0,,6,,,,,,,,,,,,,,,,,0,,,,,,2.0,30,,,,,,,,,,,,,,,,,,,,,,,,
