Blur,VXQuery,SkyWalking,Hama,HAWQ,SINGA,Flex,Tez,DataFu,Geode,NMaven,Alois,Solr,Airavata,Synapse,stdcxx,Mesos,Lens,Tephra,HCatalog,UIMA,Shiro,Qpid,JDO,Empire-db,MADlib,Click,Yoko,Onami,DolphinScheduler,CXF,Griffin,Shindig,Tuscany,Isis,ServiceComb,ManifoldCF,Rya,Trafodion,Twill,SAMOA,TVM,Wink,Chemistry,Superset,REEF,Olio,Quickstep,Slider,Aries,Droids,IoTDB,Celix,jclouds,Falcon,Curator,Pinot,Clerezza,DataSketches,Impala,Giraph,Ambari,Buildr,ActiveMQ,JSPWiki,Stonehenge,Allura,Crunch,PhotArk,Ripple,Taverna,Fineract,AsterixDB,Pig,Wookie,Corinthia,Oozie,Zeta Components,CouchDB,ShardingSphere,Mnemonic,Kato,Samza,Apex,Gearpump,Sqoop,Streams,Gossip,Cassandra,VCL,Provisionr,Zipkin,DistributedLog,Lucy,Gora,SystemML,Agila,Pulsar,Kylin,Ode,Ranger,Bigtop,Daffodil,DeviceMap,ODF Toolkit,Abdera,Hermes,Wicket,Libcloud,Deltacloud,Derby,OpenWhisk,HTrace,XAP,Omid,Lokahi,TinkerPop,BatchEE,Etch,Gobblin,Jackrabbit,Ivy,Edgent,Stratos,Juneau,River,FtpServer,Iceberg,Atlas,OpenOffice.org,CloudStack,Metron,Dubbo,ECharts,Thrift,Helix,EasyAnt,HISE,Imperius,ESME,AriaTosca,Graffito,Amber,Sentry,Roller,Traffic Control,Stanbol,OpenNLP,Wave,ACE,NiFi,Kafka,Any23,Bloodhound,Fluo,MyFaces,Open Climate Workbench,Flink,Bluesky,Eagle,NPanday,Aurora,Spark,Sling,Flume,Knox,Jena,Drill,Storm,Sanselan,Hadoop Development Tools (HDT),FreeMarker,Usergrid,Myriad,Kudu,Tamaya,APISIX,Muse,Joshua,Lucene.NET,Beehive,Tajo,Cayenne,cTAKES,Rave,S2Graph,DeltaSpike,PLC4X,Nuvem,Bean Validation,DirectMemory,S4,Felix,Sirona,MRUnit,Openmeetings,Cordova,Trinidad,PDFBox,Syncope,Parquet,AWF,Harmony,Chukwa,Nutch,ServiceMix,Kalumet,OpenAz,Guacamole,Tashi,Accumulo,Whirr,Pivot,MRQL,OpenWebBeans,Ratis,Ignite,Druid,Heraldry,Phoenix,Unomi,Calcite,OFBiz,Pirk,OODT,Zeppelin,Traffic Server,Climate Model Diagnostic Analyzer,mod_ftp,PredictionIO,CarbonData,iota,Amaterasu,Brooklyn,Groovy,SIS,Hudi,WebWork 2,MetaModel,Mynewt,Kitty,iBATIS,HORN,Olingo,RocketMQ,Subversion,TripleSoup,OGNL,OpenJPA,NetBeans,Warble,Johnzon,JuiCE,Tika
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1407,828.0,4310.0,901.0,3936.0,1239.0,11204.0,1124.0,515.0,1148.0,688.0,45.0,1083.0,2458.0,1136.0,1321,2380.0,1160.0,258.0,1386.0,5282,1664.0,7404.0,1326.0,776,493.0,996.0,2090.0,670.0,1303.0,8980,1010.0,5734.0,15787,4160.0,2291.0,896.0,857.0,4113.0,503.0,753.0,6973.0,2513.0,383.0,9044,1967.0,679.0,1093.0,1579.0,2393.0,798.0,55385,1028.0,1500.0,965.0,199.0,9338.0,1382.0,1816.0,2157.0,448.0,4576.0,594.0,8199.0,3706,999.0,1103.0,964.0,380,397.0,1055.0,581.0,1485.0,908.0,960,683.0,834.0,655.0,1325.0,255.0,463.0,693.0,1253.0,1573.0,731,515.0,2442.0,312.0,567.0,1068.0,89.0,913.0,554.0,1002,296.0,1738.0,309.0,3026.0,623.0,1868.0,2775,615.0,2563,661.0,1200.0,1378.0,220.0,604.0,896.0,1370.0,1633.0,5284.0,634.0,1659.0,374.0,199.0,2413,464.0,2010.0,2560.0,2822.0,705.0,1062.0,2975.0,656.0,2535.0,209.0,2879.0,2083.0,28465,29633.0,1983.0,7873,5303.0,3158.0,1137.0,3109.0,250.0,258.0,673,633.0,744.0,471.0,1433.0,3418,1637.0,4671.0,1256.0,2510.0,560.0,3025.0,2181.0,271.0,656.0,365.0,4133.0,372.0,1738.0,678.0,2022.0,1225.0,1829,2914.0,2578,1620.0,423.0,3249.0,2613.0,3516.0,290.0,123.0,252.0,3723.0,567.0,1139.0,611.0,917.0,270.0,506.0,2578.0,1623.0,1164.0,2512.0,926.0,1940.0,281.0,2145.0,1463,303.0,799.0,455.0,192.0,1225.0,960.0,86.0,2542.0,2605.0,2634.0,635.0,1065.0,448.0,182.0,3074.0,547.0,386.0,1456.0,370.0,158.0,545.0,295.0,1390.0,354.0,1765.0,195.0,789.0,338.0,1933.0,9865.0,378.0,1009.0,171.0,874.0,2958.0,312.0,1682.0,651.0,,,78.0,,,92.0,52.0,276.0,565.0,54.0,238.0,4107.0,81.0,642.0,105.0,122.0,70.0,778.0,313.0,2151.0,290.0,,158.0,438.0,,248.0,,
337,167.0,465.0,172.0,515.0,116.0,1074.0,221.0,37.0,197.0,222.0,11.0,173.0,359.0,384.0,231,341.0,129.0,25.0,172.0,666,239.0,1629.0,122.0,111,66.0,261.0,182.0,61.0,96.0,1231,108.0,860.0,3173,852.0,233.0,248.0,41.0,498.0,106.0,26.0,882.0,333.0,72.0,1059,208.0,61.0,284.0,314.0,341.0,120.0,8587,115.0,123.0,171.0,13.0,1173.0,249.0,71.0,229.0,44.0,804.0,129.0,977.0,675,171.0,360.0,82.0,97,33.0,64.0,48.0,161.0,161.0,248,57.0,120.0,36.0,184.0,40.0,78.0,188.0,154.0,366.0,86,72.0,313.0,34.0,128.0,167.0,4.0,52.0,61.0,466,20.0,307.0,13.0,577.0,92.0,315.0,458,129.0,215,99.0,103.0,375.0,50.0,,141.0,261.0,170.0,686.0,75.0,221.0,27.0,36.0,514,47.0,270.0,186.0,401.0,206.0,236.0,484.0,129.0,268.0,56.0,631.0,360.0,2176,4199.0,213.0,1112,337.0,248.0,151.0,129.0,33.0,47.0,174,234.0,119.0,34.0,250.0,704,218.0,658.0,102.0,277.0,51.0,259.0,256.0,20.0,112.0,21.0,308.0,66.0,165.0,69.0,258.0,261.0,250,276.0,601,218.0,52.0,401.0,196.0,170.0,68.0,53.0,78.0,691.0,108.0,85.0,65.0,165.0,80.0,65.0,204.0,270.0,163.0,273.0,95.0,264.0,18.0,346.0,1100,90.0,110.0,47.0,147.0,159.0,74.0,18.0,402.0,602.0,445.0,70.0,127.0,29.0,26.0,201.0,71.0,,116.0,48.0,18.0,34.0,51.0,173.0,88.0,456.0,34.0,233.0,59.0,200.0,892.0,30.0,169.0,44.0,176.0,247.0,76.0,23.0,86.0,,,10.0,,,25.0,0.0,,27.0,,24.0,516.0,,151.0,14.0,,25.0,123.0,,184.0,,,,52.0,,21.0,,
123,62.0,147.0,62.0,140.0,17.0,251.0,72.0,,22.0,54.0,,54.0,53.0,101.0,31,57.0,36.0,7.0,35.0,164,45.0,468.0,43.0,17,20.0,47.0,81.0,65.0,38.0,290,29.0,231.0,829,166.0,57.0,106.0,22.0,134.0,14.0,6.0,421.0,76.0,25.0,178,66.0,28.0,72.0,74.0,67.0,30.0,103,35.0,46.0,14.0,8.0,117.0,73.0,36.0,60.0,17.0,227.0,45.0,301.0,147,59.0,85.0,19.0,43,10.0,30.0,10.0,43.0,47.0,60,25.0,37.0,14.0,61.0,16.0,30.0,80.0,27.0,106.0,28,22.0,78.0,14.0,30.0,63.0,8.0,12.0,35.0,67,8.0,80.0,,135.0,19.0,94.0,113,30.0,33,27.0,23.0,80.0,8.0,,40.0,47.0,28.0,201.0,45.0,61.0,7.0,30.0,155,5.0,61.0,34.0,107.0,53.0,36.0,173.0,33.0,45.0,28.0,43.0,76.0,649,580.0,85.0,146,124.0,57.0,34.0,32.0,9.0,,89,81.0,37.0,10.0,47.0,202,88.0,127.0,31.0,70.0,6.0,98.0,74.0,7.0,68.0,4.0,58.0,25.0,53.0,41.0,44.0,44.0,95,66.0,156,50.0,16.0,98.0,61.0,38.0,14.0,,7.0,143.0,20.0,28.0,28.0,23.0,,20.0,44.0,53.0,43.0,79.0,18.0,62.0,,85.0,209,14.0,27.0,8.0,11.0,39.0,47.0,22.0,180.0,138.0,133.0,14.0,27.0,2.0,15.0,49.0,0.0,,23.0,2.0,,3.0,19.0,39.0,22.0,122.0,6.0,72.0,12.0,,85.0,0.0,46.0,36.0,30.0,79.0,25.0,,13.0,,,,,,0.0,0.0,,,,,54.0,,42.0,2.0,,10.0,25.0,,56.0,,,,,,4.0,,
45,26.0,44.0,32.0,45.0,,127.0,16.0,,8.0,33.0,,14.0,35.0,24.0,25,27.0,19.0,4.0,17.0,39,11.0,187.0,3.0,7,2.0,22.0,23.0,15.0,,108,4.0,96.0,313,41.0,33.0,42.0,10.0,60.0,,0.0,325.0,37.0,10.0,51,16.0,10.0,32.0,22.0,35.0,17.0,52,16.0,6.0,4.0,0.0,12.0,22.0,16.0,38.0,3.0,113.0,17.0,88.0,40,14.0,43.0,7.0,7,10.0,18.0,0.0,28.0,44.0,28,12.0,12.0,,13.0,,18.0,25.0,15.0,91.0,6,7.0,24.0,4.0,,25.0,,,12.0,17,2.0,23.0,,39.0,6.0,34.0,34,9.0,5,1.0,8.0,28.0,,,,20.0,9.0,46.0,16.0,14.0,,,64,0.0,6.0,13.0,48.0,7.0,6.0,53.0,3.0,13.0,24.0,10.0,27.0,270,145.0,61.0,56,44.0,10.0,19.0,2.0,3.0,,27,39.0,18.0,6.0,18.0,97,33.0,53.0,11.0,27.0,6.0,33.0,24.0,5.0,20.0,11.0,10.0,7.0,20.0,6.0,18.0,14.0,39,16.0,62,21.0,5.0,36.0,22.0,16.0,4.0,,4.0,38.0,12.0,11.0,9.0,15.0,,4.0,16.0,32.0,15.0,29.0,10.0,14.0,,33.0,254,1.0,5.0,2.0,30.0,13.0,8.0,7.0,48.0,71.0,32.0,,13.0,,,,4.0,,1.0,0.0,,2.0,3.0,10.0,10.0,39.0,6.0,15.0,8.0,,30.0,,11.0,8.0,13.0,29.0,10.0,,4.0,,,,,,0.0,,,,,,24.0,,12.0,,,5.0,10.0,,,,,,,,,,
18,9.0,30.0,10.0,19.0,,62.0,10.0,,3.0,5.0,,10.0,13.0,25.0,10,15.0,14.0,,0.0,29,8.0,101.0,6.0,2,,5.0,16.0,13.0,,43,2.0,30.0,119,29.0,8.0,24.0,8.0,17.0,,0.0,5.0,7.0,0.0,13,7.0,,7.0,13.0,19.0,,104,7.0,10.0,2.0,0.0,10.0,6.0,2.0,26.0,6.0,28.0,6.0,40.0,13,16.0,17.0,2.0,3,0.0,8.0,,24.0,21.0,6,8.0,0.0,,19.0,,7.0,3.0,3.0,45.0,2,3.0,9.0,1.0,,15.0,,,0.0,3,0.0,13.0,,30.0,0.0,16.0,22,7.0,8,0.0,6.0,26.0,,,,10.0,13.0,20.0,6.0,9.0,,,30,0.0,5.0,1.0,15.0,3.0,2.0,28.0,6.0,9.0,23.0,4.0,13.0,121,91.0,12.0,19,3.0,10.0,7.0,4.0,1.0,,40,22.0,8.0,,8.0,32,12.0,14.0,5.0,12.0,3.0,4.0,10.0,4.0,11.0,2.0,,2.0,43.0,2.0,8.0,0.0,33,4.0,19,6.0,1.0,15.0,0.0,2.0,,,1.0,8.0,2.0,0.0,2.0,10.0,,5.0,4.0,16.0,8.0,20.0,3.0,14.0,,14.0,60,,8.0,,,9.0,0.0,,30.0,66.0,20.0,,4.0,,,,0.0,,2.0,0.0,,,5.0,3.0,5.0,24.0,2.0,11.0,0.0,,16.0,,4.0,10.0,1.0,18.0,10.0,,,,,,,,,,,,,,8.0,,11.0,,,,,,,,,,,,,,
10,,5.0,8.0,20.0,,40.0,8.0,,3.0,2.0,,0.0,5.0,9.0,7,10.0,0.0,,0.0,4,4.0,50.0,2.0,0,,3.0,9.0,,,24,2.0,28.0,52,7.0,6.0,6.0,4.0,22.0,,,,4.0,1.0,7,0.0,,4.0,8.0,3.0,,36,0.0,12.0,2.0,,3.0,6.0,0.0,9.0,0.0,28.0,4.0,9.0,6,6.0,4.0,2.0,0,0.0,6.0,,14.0,10.0,6,0.0,,,7.0,,,2.0,50.0,27.0,2,0.0,7.0,0.0,,12.0,,,0.0,0,0.0,10.0,,6.0,0.0,5.0,10,1.0,1,4.0,0.0,15.0,,,,7.0,4.0,12.0,,6.0,,,22,0.0,2.0,0.0,5.0,0.0,7.0,14.0,3.0,4.0,,0.0,3.0,84,33.0,4.0,13,6.0,1.0,6.0,,0.0,,22,17.0,8.0,,0.0,20,4.0,7.0,3.0,12.0,,2.0,7.0,4.0,17.0,0.0,,2.0,16.0,0.0,0.0,0.0,8,,18,2.0,0.0,6.0,2.0,,,,0.0,8.0,0.0,2.0,8.0,14.0,,4.0,,0.0,4.0,6.0,4.0,6.0,,8.0,74,,2.0,,,6.0,0.0,,8.0,2.0,7.0,,7.0,,,,0.0,,,,,,0.0,2.0,3.0,18.0,0.0,5.0,0.0,,4.0,,,0.0,2.0,3.0,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,
13,,2.0,5.0,17.0,,16.0,1.0,,,3.0,,0.0,4.0,3.0,7,7.0,4.0,,2.0,6,3.0,17.0,8.0,0,,2.0,1.0,,,14,,12.0,29,3.0,12.0,1.0,2.0,7.0,,,,4.0,1.0,3,4.0,,2.0,9.0,,,8,2.0,,2.0,,0.0,4.0,,8.0,,21.0,3.0,8.0,7,4.0,4.0,4.0,7,0.0,14.0,,6.0,6.0,2,2.0,,,1.0,,,0.0,2.0,12.0,0,0.0,,0.0,,2.0,,,2.0,1,0.0,4.0,,1.0,,4.0,9,4.0,0,2.0,2.0,3.0,,,,1.0,,3.0,,2.0,,,12,0.0,,,2.0,0.0,0.0,12.0,4.0,3.0,,,0.0,61,12.0,6.0,16,4.0,0.0,,,0.0,,6,4.0,0.0,,2.0,25,6.0,6.0,4.0,10.0,,1.0,8.0,,7.0,2.0,,,44.0,,,6.0,1,,6,,,8.0,2.0,,,,0.0,2.0,6.0,2.0,0.0,3.0,,2.0,,,0.0,11.0,4.0,3.0,,12.0,19,,0.0,,,0.0,,,10.0,1.0,1.0,,2.0,,,,0.0,,,,,,1.0,,3.0,4.0,0.0,3.0,0.0,,6.0,,,0.0,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,1.0,2.0,9.0,,6.0,,,,3.0,,4.0,0.0,,0,4.0,0.0,,,5,0.0,25.0,2.0,2,,0.0,1.0,,,7,,3.0,25,2.0,0.0,4.0,,8.0,,,,2.0,0.0,2,4.0,,3.0,3.0,,,82,0.0,,0.0,,1.0,0.0,,6.0,,4.0,2.0,1.0,1,6.0,4.0,,0,2.0,0.0,,4.0,3.0,0,2.0,,,0.0,,,0.0,2.0,6.0,0,0.0,,0.0,,5.0,,,2.0,2,2.0,2.0,,1.0,,2.0,7,0.0,4,,0.0,5.0,,,,3.0,,6.0,,,,,1,,,,0.0,0.0,,3.0,0.0,0.0,,,5.0,29,26.0,22.0,10,3.0,0.0,,,,,5,1.0,,,2.0,14,2.0,0.0,0.0,2.0,,0.0,2.0,,6.0,,,,,,,0.0,15,,7,,,0.0,6.0,,,,0.0,,2.0,,,0.0,,0.0,,,,2.0,2.0,2.0,,0.0,7,,,,,,,,3.0,,5.0,,0.0,,,,0.0,,,,,,,,1.0,5.0,0.0,3.0,,,6.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,0.0,3.0,13.0,,6.0,,,,3.0,,4.0,3.0,,1,4.0,0.0,,,5,0.0,12.0,0.0,0,,2.0,,,,8,,13.0,25,1.0,3.0,0.0,,6.0,,,,2.0,0.0,0,,,0.0,2.0,,,4,0.0,,0.0,,0.0,0.0,,4.0,,3.0,3.0,0.0,3,,3.0,,0,,2.0,,4.0,1.0,0,0.0,,,4.0,,,0.0,2.0,,0,,,2.0,,1.0,,,,0,0.0,0.0,,0.0,,0.0,4,0.0,0,,0.0,1.0,,,,1.0,,0.0,,,,,0,,,,0.0,2.0,,4.0,0.0,0.0,,,0.0,19,7.0,8.0,5,,0.0,,,,,4,6.0,,,0.0,4,2.0,0.0,2.0,0.0,,0.0,4.0,,0.0,,,,,,,0.0,6,,4,,,1.0,0.0,,,,,,0.0,,,4.0,,2.0,,,,0.0,,6.0,,0.0,8,,,,,,,,10.0,,0.0,,0.0,,,,,,,,,,,,,1.0,0.0,0.0,,,6.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
