Edgent,Hadoop Development Tools (HDT),Mnemonic,Juneau,ODF Toolkit,Taverna,Zeta Components,Streams,Oozie,Roller,Nuvem,Synapse,Griffin,Guacamole,Wave,Kalumet,Jackrabbit,Wink,Deltacloud,BatchEE,Apex,Falcon,Eagle,HAWQ,ESME,Provisionr,Gora,Twill,Pulsar,Quickstep,Flex,PhotArk,Tamaya,Omid,Tashi,S4,Phoenix,River,SIS,Myriad,Ode,SAMOA,Empire-db,SINGA,DataFu,ECharts,Amber,PredictionIO,Kafka,OpenWhisk,Slider,Directory,MADlib,Sling,Olio,Weex,FtpServer,Derby,Aurora,Superset,PLC4X,Openmeetings,Pirk,Clerezza,Traffic Control,Usergrid,cTAKES,ManifoldCF,NetBeans,JSPWiki,Mesos,Celix,socialsite,Dubbo,Airflow,Nutch,Atlas,Hama,Zipkin,Bluesky,HORN,Calcite,NPanday,Heraldry,SkyWalking,HCatalog,Pinot,S2Graph,Tika,Blur,Graffito,Ranger,XAP,Etch,Wookie,Abdera,Corinthia,Qpid,Droids,DistributedLog,Storm,spamassassin,FreeMarker,Thrift,Lokahi,Isis,HTrace,Tez,Johnzon,Unomi,UIMA,Airavata,Allura,HISE,Sirona,SystemML,Harmony,xmlbeans,Samza,Ripple,DolphinScheduler,Sanselan,Kato,Fineract,Bloodhound,mod_ftp,Aries,TinkerPop,Shindig,Lucene.NET,ACE,RocketMQ,TripleSoup,Accumulo,Bean Validation,Impala,depot,RCF,Beehive,OpenAz,Metron,Helix,Stanbol,Kitty,Climate Model Diagnostic Analyzer,Yoko,Daffodil,Alois,Sqoop,JuiCE,Rya,Trafodion,Ivy,Wicket,VXQuery,Tephra,Chemistry,Chukwa,Gearpump,IoTDB,iBATIS,Felix,MRQL,Lucy,ActiveMQ,Joshua,Iceberg,Brooklyn,Ignite,iota,Flume,Rave,AWF,Syncope,Bigtop,marmotta,Gobblin,REEF,Libcloud,Gossip,Druid,Geode,OpenWebBeans,Kylin,Fluo,Cayenne,Shiro,Hudi,OpenOffice.org,Knox,Olingo,AsterixDB,ShardingSphere,CouchDB,DeviceMap,TVM,Giraph,PDFBox,Flink,Parquet,Drill,VCL,OODT,MRUnit,Ratis,Curator,Amaterasu,Buildr,DataSketches,ServiceComb,Tuscany,OpenJPA,EasyAnt,NiFi,Jena,CommonsRDF,Open Climate Workbench,DeltaSpike,Mynewt,Sentry,NMaven,Agila,Pivot,cotton,Warble,Beam,Stratos,Spark,Cordova,OpenNLP,Zeppelin,AriaTosca,CarbonData,Imperius,CloudStack,Muse,Crunch,Tajo,Traffic Server,ServiceMix,Groovy,Stonehenge,Kudu,Any23,JDO,stdcxx,CXF,OFBiz,Onami,Pig,Solr,Cassandra,lenya,Click,Trinidad,Ambari,Whirr,DirectMemory,jclouds,OGNL,tapestry,geronimo,Concerted,APISIX,Lens,Subversion,juddi,MyFaces,WebWork 2,MetaModel,Hermes,Kabuki
0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
380,68.0,280.0,82,434,550,408.0,226.0,590.0,1798,44.0,398,320.0,1380,2396.0,78.0,1730.0,600.0,408,108.0,988.0,410,690.0,2656,318,44.0,144,226,284,216,11468,154,158,98.0,126.0,590.0,516.0,894.0,140.0,460,474.0,228.0,228,134.0,148.0,490.0,218.0,926,1506,1084,420,382,528,1112,242.0,956,166.0,2264,650,1134.0,128,1728,110.0,386,726,492,216.0,278,7874,1800,470,170,,1014,4840,358.0,652,384,164.0,314.0,66.0,604,232.0,202.0,280.0,498,286.0,188.0,,258,286.0,760,156.0,230,346,532,130,1524,268.0,404,4050.0,5114.0,304,2284.0,152.0,294.0,270.0,528.0,72,172,1748,306,330,62.0,70.0,418.0,3568,346.0,510,332.0,778.0,98.0,112.0,828.0,284,20.0,744,780,3042,962,316,596.0,18.0,284.0,156.0,744,76.0,6.0,594.0,158.0,1158,166,910,76.0,100.0,314.0,238,8.0,264.0,24.0,644,1792,208,878.0,112.0,102.0,224.0,490,238,560,922.0,684.0,112.0,194,2970,258,874.0,678,906,194.0,900.0,522,72.0,194,448.0,126,178.0,248,564.0,106.0,648,1274.0,86,192.0,58,622,1050,832,13890,86,148.0,546,448,1532,194,1412.0,320,492.0,908.0,288.0,2360,894.0,84.0,68.0,350.0,122.0,68,456,242.0,308.0,3306,562,1954.0,836.0,1412,76.0,92.0,822,948,350.0,212,238.0,128.0,26.0,4.0,1376,1206,3138.0,538.0,556,4158,208.0,950.0,76.0,6270,20.0,142.0,88.0,162.0,3260,1178.0,382,304.0,180,112.0,174,4090,1350.0,82.0,214.0,846,1296.0,2130,286,1336,582.0,196.0,132.0,710.0,582.0,0.0,364.0,44.0,428,400.0,1330.0,26.0,1950.0,1372.0,188,30.0,8.0
90,38.0,102.0,28,92,88,52.0,44.0,78.0,234,10.0,106,48.0,128,714.0,14.0,168.0,74.0,54,14.0,258.0,70,150.0,544,92,4.0,16,34,90,36,1248,44,40,6.0,20.0,80.0,86.0,186.0,28.0,98,152.0,22.0,36,,20.0,78.0,30.0,110,198,182,76,56,84,236,36.0,134,22.0,370,108,186.0,38,202,32.0,42,262,104,38.0,72,1034,198,62,22,,198,450,10.0,112,64,30.0,34.0,40.0,90,28.0,24.0,20.0,60,62.0,40.0,,54,42.0,142,18.0,60,56,124,38,276,18.0,136,232.0,282.0,76,214.0,16.0,66.0,64.0,64.0,14,26,224,50,44,,20.0,94.0,2508,42.0,62,44.0,122.0,16.0,16.0,126.0,110,16.0,138,148,368,200,28,98.0,18.0,44.0,58.0,164,10.0,,98.0,56.0,324,38,114,14.0,42.0,58.0,48,6.0,50.0,24.0,68,318,30,130.0,28.0,30.0,24.0,94,40,98,44.0,130.0,14.0,48,282,36,112.0,132,166,20.0,114.0,74,38.0,58,66.0,42,18.0,52,84.0,26.0,88,124.0,18,50.0,22,130,138,160,2654,18,36.0,148,100,188,20,80.0,44,32.0,186.0,16.0,362,164.0,20.0,26.0,54.0,28.0,24,80,34.0,66.0,652,92,296.0,170.0,134,40.0,24.0,216,166,108.0,28,28.0,28.0,,,346,618,234.0,154.0,46,496,42.0,180.0,16.0,1222,10.0,16.0,58.0,106.0,302,152.0,108,58.0,44,70.0,50,504,204.0,32.0,34.0,108,114.0,258,58,196,132.0,20.0,80.0,92.0,316.0,,40.0,30.0,98,66.0,236.0,20.0,,1412.0,22,2.0,
30,14.0,28.0,8,20,42,20.0,16.0,22.0,76,2.0,22,0.0,34,192.0,,46.0,36.0,20,6.0,182.0,6,60.0,176,58,6.0,4,12,28,22,306,12,36,14.0,8.0,20.0,26.0,68.0,4.0,34,48.0,10.0,4,,8.0,20.0,16.0,34,70,46,16,28,16,62,14.0,30,4.0,160,46,40.0,8,54,28.0,40,90,50,18.0,24,266,44,24,10,,62,142,,28,22,6.0,12.0,2.0,30,18.0,4.0,14.0,22,10.0,26.0,,20,10.0,38,,8,26,38,20,124,12.0,22,26.0,24.0,18,38.0,2.0,18.0,18.0,8.0,4,8,44,32,18,,10.0,38.0,332,,16,10.0,46.0,0.0,14.0,68.0,38,0.0,134,44,126,42,8,34.0,0.0,22.0,12.0,88,12.0,,14.0,2.0,144,8,42,10.0,2.0,46.0,20,4.0,6.0,,20,100,2,68.0,6.0,2.0,8.0,14,22,44,6.0,44.0,8.0,20,78,18,22.0,34,60,4.0,18.0,42,18.0,16,16.0,16,6.0,18,18.0,6.0,46,10.0,6,10.0,4,36,26,60,686,2,12.0,68,18,26,16,18.0,14,6.0,70.0,8.0,106,40.0,2.0,8.0,12.0,10.0,18,26,2.0,30.0,216,26,18.0,50.0,46,30.0,10.0,98,68,28.0,14,,22.0,,,124,262,70.0,66.0,22,116,22.0,60.0,4.0,342,,6.0,22.0,16.0,78,40.0,62,14.0,4,14.0,20,104,46.0,14.0,,60,22.0,64,28,82,38.0,14.0,20.0,14.0,64.0,,0.0,10.0,34,26.0,40.0,0.0,,164.0,4,2.0,
20,6.0,16.0,8,6,24,0.0,18.0,2.0,20,0.0,18,8.0,4,38.0,,16.0,16.0,16,2.0,58.0,10,22.0,56,28,2.0,6,6,20,12,138,4,28,,,8.0,,20.0,,12,18.0,2.0,2,,,12.0,8.0,10,6,20,8,10,4,36,14.0,16,4.0,54,14,14.0,6,32,20.0,10,44,16,8.0,4,110,16,12,4,,40,62,,16,4,10.0,6.0,0.0,8,6.0,2.0,2.0,2,6.0,2.0,,4,4.0,20,,6,20,30,12,46,4.0,10,18.0,8.0,14,14.0,,12.0,18.0,,4,4,14,6,12,,8.0,34.0,114,,4,6.0,16.0,0.0,8.0,4.0,22,0.0,40,22,66,14,4,20.0,0.0,8.0,6.0,38,4.0,,10.0,4.0,26,6,22,0.0,,10.0,12,,6.0,,6,64,6,38.0,6.0,,2.0,2,4,26,40.0,8.0,2.0,16,12,10,6.0,28,36,0.0,22.0,16,18.0,8,4.0,2,0.0,16,4.0,2.0,24,,8,,2,18,18,52,284,4,4.0,26,14,16,10,6.0,10,8.0,22.0,,36,14.0,2.0,0.0,8.0,0.0,10,6,8.0,14.0,94,18,4.0,34.0,18,14.0,10.0,52,24,28.0,2,,4.0,,,36,74,22.0,,4,38,18.0,20.0,,152,,6.0,2.0,0.0,60,34.0,24,6.0,4,0.0,4,52,62.0,10.0,,18,8.0,40,8,32,6.0,8.0,8.0,12.0,32.0,,0.0,0.0,38,16.0,,,,38.0,4,,
2,0.0,0.0,2,6,10,0.0,4.0,6.0,38,0.0,18,6.0,2,26.0,,12.0,16.0,8,0.0,96.0,2,12.0,40,22,,6,6,6,8,60,0,10,,,6.0,,4.0,,8,6.0,0.0,6,,,14.0,2.0,8,10,14,6,6,2,14,6.0,12,,16,14,,4,20,2.0,8,10,6,8.0,10,48,18,4,2,,34,30,,10,6,4.0,2.0,0.0,8,10.0,0.0,4.0,8,0.0,2.0,,2,6.0,12,,2,8,12,6,42,,8,14.0,,0,2.0,,8.0,12.0,,0,0,10,8,8,,0.0,12.0,92,,2,6.0,16.0,2.0,6.0,,8,0.0,10,24,18,6,0,22.0,,14.0,12.0,24,0.0,,6.0,0.0,18,8,12,0.0,,,4,,2.0,,10,46,2,30.0,,,,2,10,14,18.0,2.0,,0,8,4,2.0,22,28,0.0,2.0,8,16.0,12,2.0,2,0.0,12,4.0,0.0,14,,6,,4,18,0,12,180,0,2.0,24,22,4,4,0.0,8,2.0,16.0,,10,10.0,0.0,2.0,,0.0,0,2,4.0,8.0,54,12,12.0,12.0,10,,4.0,22,22,4.0,0,,,,,14,26,10.0,,8,28,12.0,6.0,,68,,10.0,2.0,0.0,12,12.0,16,6.0,0,0.0,14,30,26.0,2.0,,6,0.0,14,4,10,0.0,0.0,2.0,,,,0.0,2.0,16,6.0,,,,,0,,
10,,,0,8,16,0.0,6.0,6.0,24,0.0,6,0.0,2,10.0,,2.0,4.0,2,0.0,18.0,4,,18,12,,2,2,6,2,6,2,2,,,4.0,,12.0,,0,6.0,0.0,0,,,8.0,2.0,4,10,16,4,2,4,10,0.0,6,,10,14,,6,30,,4,10,4,4.0,2,28,2,4,2,,16,12,,4,2,4.0,2.0,0.0,0,,0.0,0.0,0,,0.0,,6,0.0,8,,0,4,0,12,24,,10,,,2,0.0,,6.0,,,0,0,14,10,2,,,4.0,30,,10,0.0,6.0,,0.0,,18,,4,6,18,4,0,2.0,,0.0,2.0,22,0.0,,4.0,,24,2,10,,,,0,,0.0,,6,10,2,8.0,,,,2,4,10,,,,4,8,4,4.0,18,10,0.0,6.0,4,,4,2.0,10,0.0,2,,4.0,10,,0,,6,4,4,20,90,4,2.0,10,0,0,0,,2,2.0,28.0,,4,10.0,,0.0,,0.0,0,4,2.0,10.0,36,0,2.0,10.0,6,,0.0,8,6,4.0,0,,,,,14,26,6.0,,6,18,14.0,8.0,,52,,2.0,,,6,6.0,6,10.0,8,8.0,0,14,10.0,,,4,0.0,4,8,6,,2.0,,,,,,,8,4.0,,,,,8,,
2,,,0,4,4,,2.0,0.0,4,,0,,2,12.0,,4.0,,0,0.0,18.0,2,,24,14,,4,0,4,2,14,4,0,,,0.0,,6.0,,4,0.0,,0,,,0.0,,2,4,12,4,0,0,4,,6,,8,14,,4,4,,2,10,2,,4,20,2,2,0,,4,10,,2,4,0.0,,0.0,2,,,4.0,2,,,,0,,10,,0,2,2,2,30,,0,,,2,2.0,,,,,0,2,2,0,0,,,10.0,24,,0,6.0,,,,,6,,2,8,18,6,0,0.0,,,,2,0.0,,0.0,,40,4,4,,,,0,,2.0,,0,14,0,8.0,,,,0,0,12,,,,0,4,0,,2,4,,2.0,2,,2,2.0,6,,4,,2.0,6,,0,,0,0,2,6,52,0,0.0,20,2,2,0,,0,,36.0,,4,,,4.0,,,4,2,2.0,,20,6,0.0,2.0,2,,,2,2,2.0,0,,,,,16,16,,,4,6,0.0,2.0,,28,,2.0,,,4,4.0,0,0.0,4,8.0,4,8,12.0,,,4,0.0,8,2,2,,,,,,,,,2,2.0,,,,,0,,
0,,,2,2,4,,,2.0,4,,2,,2,,,,,0,0.0,0.0,0,,4,2,,2,0,0,0,10,2,4,,,,,,,2,0.0,,2,,,,,0,2,0,2,0,0,8,,2,,8,8,,0,0,,0,2,0,,0,4,0,0,0,,0,12,,2,2,0.0,,,0,,,,0,,,,4,,4,,2,0,2,0,12,,4,,,2,2.0,,,,,0,0,4,4,0,,,,30,,0,,,,,,0,,0,2,6,2,0,,,,,4,,,0.0,,0,0,4,,,,0,,,,0,22,0,32.0,,,,0,2,2,,,,0,0,0,,4,10,,0.0,2,,6,,6,,0,,2.0,0,,0,,0,0,4,6,40,0,0.0,12,0,8,2,,2,,0.0,,6,,,,,,0,4,,,20,2,,0.0,6,,,0,2,,2,,,,,18,6,,,2,4,0.0,,,24,,,,,0,0.0,2,,0,,2,14,,,,2,,4,0,2,,,,,,,,,2,8.0,,,,,2,,
0,,,4,0,0,,,,2,,0,,0,,,,,2,,,0,,2,4,,0,0,0,0,4,0,2,,,,,,,4,,,0,,,,,0,2,0,0,0,0,0,,2,,0,2,,4,4,,0,0,0,,0,4,8,0,0,,6,2,,2,0,,,,2,,,,0,,,,0,,4,,2,0,4,0,16,,0,,,0,,,,,,0,0,2,0,0,,,,18,,0,,,,,,0,,2,2,2,2,0,,,,,2,,,,,0,0,2,,,,4,,,,2,4,0,,,,,0,0,0,,,,2,2,2,,0,2,,,2,,0,,2,,0,,,4,,0,,0,0,0,8,60,0,,2,2,0,0,,0,,,,4,,,,,,0,0,,,12,0,,,2,,,4,6,,2,,,,,4,2,,,2,2,,,,22,,,,,0,,0,,0,,0,10,,,,2,,4,0,2,,,,,,,,,2,,,,,,0,,
