SkyWalking,S4,HAWQ,Druid,Brooklyn,Warble,Tez,Hama,Atlas,ODF Toolkit,Celix,DistributedLog,Unomi,DataFu,Wink,IoTDB,Geode,Solr,Tamaya,ActiveMQ,Jena,Airavata,MRQL,Graffito,Iceberg,Traffic Control,Synapse,TinkerPop,Tuscany,Joshua,Guacamole,Mesos,Taverna,VXQuery,Thrift,NPanday,Hudi,Climate Model Diagnostic Analyzer,Libcloud,Gobblin,Airflow,Clerezza,juddi,Quickstep,VCL,MetaModel,S2Graph,NetBeans,Stanbol,River,PredictionIO,Kitty,UIMA,Flume,Etch,Cordova,Weex,Shiro,Nuvem,Omid,Traffic Server,EasyAnt,Empire-db,marmotta,SAMOA,Derby,Falcon,Olingo,Edgent,HCatalog,Myriad,Rya,MRUnit,Beam,Open Climate Workbench,Daffodil,JDO,MADlib,Ratis,Agila,Tephra,NMaven,PhotArk,Mnemonic,OFBiz,Parquet,Mynewt,Lens,OpenJPA,Ranger,Blur,SIS,Isis,Kato,Click,AriaTosca,depot,Yoko,Openmeetings,Crunch,Onami,DolphinScheduler,FreeMarker,Griffin,Shindig,ServiceComb,Fluo,ACE,Qpid,DeltaSpike,Stonehenge,Imperius,Wave,ECharts,AsterixDB,Chemistry,Kalumet,Superset,REEF,Olio,Lucene.NET,Knox,CloudStack,Slider,Directory,JSPWiki,Cayenne,ShardingSphere,Phoenix,Groovy,Amber,Metron,Amaterasu,Giraph,cTAKES,Oozie,Streams,HTrace,Calcite,SINGA,Kylin,Tajo,Kudu,Ivy,Accumulo,Impala,BatchEE,Helix,lenya,iota,Allura,Chukwa,DeviceMap,RocketMQ,Wookie,Twill,stdcxx,OODT,PDFBox,CouchDB,ManifoldCF,Bluesky,Samza,Gossip,Drill,Gearpump,Sqoop,spamassassin,Provisionr,Zipkin,OpenWebBeans,Lucy,Gora,XAP,ESME,SystemML,Subversion,Aries,CXF,Nutch,Bigtop,DataSketches,Deltacloud,Bloodhound,Hermes,Trinidad,Wicket,Ambari,Jackrabbit,Curator,Trafodion,socialsite,Felix,Hadoop Development Tools (HDT),OpenWhisk,Pinot,xmlbeans,Abdera,Harmony,Pig,Storm,Droids,Stratos,Juneau,Corinthia,Sling,CarbonData,JuiCE,Zeppelin,OpenOffice.org,Beehive,Rave,Zeta Components,TVM,jclouds,Sentry,Dubbo,FtpServer,Ripple,AWF,Pulsar,Fineract,Apex,TripleSoup,ServiceMix,OpenNLP,Roller,Tashi,Ignite,Whirr,Aurora,Kafka,NiFi,CommonsRDF,Any23,DirectMemory,Sanselan,MyFaces,Flink,Eagle,Johnzon,Muse,mod_ftp,Spark,Alois,Lokahi,OpenAz,Sirona,Usergrid,HISE,APISIX,Ode,Buildr,HORN,Flex,Bean Validation,Pirk,Heraldry,Kabuki,Cassandra,Syncope,geronimo,iBATIS,Pivot,PLC4X,Concerted,WebWork 2,OGNL,cotton,tapestry,Tika,RCF
0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
282,556.0,2728,644.0,668.0,,504.0,426,658.0,514,164.0,448.0,158,160.0,586.0,562,1288.0,828,224,2840,1338,272.0,128.0,272.0,816.0,864.0,412.0,758,3298,258.0,1352.0,464,542.0,116.0,2210.0,274.0,836,112.0,570.0,214.0,4702,360.0,40.0,234.0,1080.0,150,208.0,7902,906,1022,892.0,74.0,1726,840.0,250.0,554.0,906,1002,36.0,90.0,220.0,2082.0,218,158.0,246.0,2296.0,412.0,134.0,368,468.0,504.0,624.0,62.0,1460,98.0,264,142.0,518.0,442.0,242.0,104.0,186.0,174.0,312.0,1354,284.0,956,402,540,776,280,140.0,284.0,86.0,286,202,74.0,318.0,1638,130.0,80.0,792.0,320,322.0,2946,310.0,70.0,290.0,1552,872.0,410.0,74.0,3032.0,460.0,578,212.0,82.0,1074.0,244,240.0,1042.0,76.0,6266,432.0,382.0,1782,640.0,454,518.0,1172.0,196.0,1316,88.0,318.0,218,596.0,266.0,294.0,580,162.0,188.0,132.0,300,206.0,282.0,752,132.0,170.0,2100,232.0,320,512.0,176.0,598,330,220.0,200,74.0,466.0,1480,256.0,264.0,480,112.0,2350,216,264.0,5000.0,48.0,176.0,82,192,136,150.0,318,368.0,1400.0,732.0,4090,326.0,452,230.0,388.0,300,28.0,1344,886,668.0,1682.0,130,1804.0,,694.0,74.0,1010,290.0,336.0,598,5272,200.0,3854.0,240.0,1368,94.0,154,1142,896.0,38.0,4014,14740,584.0,480,394.0,1304.0,658.0,368.0,1050,156.0,302,98.0,334.0,848.0,1080.0,32.0,3062.0,476.0,1788,116.0,898,184.0,626,1490.0,814.0,102.0,172,174.0,98.0,1834.0,886,684.0,78.0,30.0,20.0,3014.0,8.0,158.0,140.0,70.0,498.0,56.0,430,522.0,462.0,90.0,10740,172.0,112.0,186.0,,1210.0,206.0,342.0,922.0,120.0,118,56.0,2596.0,736.0,,56.0,22.0,6.0
30,82.0,402,112.0,128.0,,60.0,56,92.0,48,26.0,72.0,38,30.0,92.0,102,84.0,142,52,274,178,80.0,12.0,40.0,110.0,162.0,88.0,134,576,36.0,116.0,38,98.0,22.0,202.0,42.0,162,,78.0,20.0,442,70.0,2.0,42.0,172.0,24,56.0,748,152,196,106.0,10.0,194,102.0,44.0,114.0,108,120,12.0,14.0,30.0,84.0,30,28.0,26.0,294.0,48.0,26.0,96,66.0,98.0,74.0,22.0,248,24.0,50,32.0,62.0,38.0,22.0,18.0,34.0,32.0,64.0,220,24.0,156,60,96,128,56,16.0,60.0,42.0,76,60,18.0,68.0,246,34.0,46.0,102.0,42,40.0,348,72.0,10.0,50.0,262,150.0,102.0,14.0,428.0,54.0,126,20.0,16.0,150.0,54,36.0,74.0,20.0,956,72.0,54.0,196,110.0,90,68.0,132.0,38.0,228,20.0,58.0,28,76.0,66.0,56.0,90,12.0,52.0,28.0,50,28.0,66.0,150,14.0,28.0,244,20.0,54,60.0,32.0,74,62,42.0,30,14.0,56.0,136,88.0,66.0,72,18.0,262,68,36.0,218.0,2.0,26.0,14,58,20,14.0,92,124.0,140.0,156.0,424,,70,30.0,44.0,68,4.0,188,142,72.0,182.0,14,316.0,,120.0,34.0,186,54.0,,82,652,32.0,192.0,38.0,408,22.0,20,160,168.0,2.0,420,1660,102.0,112,48.0,96.0,108.0,78.0,136,16.0,48,20.0,56.0,84.0,228.0,2.0,292.0,48.0,254,28.0,164,34.0,108,178.0,174.0,40.0,24,40.0,8.0,196.0,180,142.0,10.0,,14.0,294.0,6.0,4.0,36.0,16.0,106.0,10.0,92,86.0,74.0,14.0,1144,50.0,48.0,20.0,,146.0,48.0,42.0,68.0,16.0,36,14.0,250.0,190.0,,,,
6,10.0,148,28.0,32.0,,8.0,22,32.0,30,8.0,22.0,8,2.0,26.0,30,4.0,38,12,70,26,18.0,4.0,12.0,8.0,62.0,30.0,40,206,22.0,20.0,26,44.0,6.0,32.0,4.0,66,,12.0,6.0,112,14.0,,12.0,48.0,12,12.0,224,32,68,40.0,4.0,44,52.0,10.0,62.0,46,52,,4.0,8.0,10.0,16,6.0,6.0,100.0,16.0,30.0,18,20.0,32.0,36.0,8.0,64,8.0,10,2.0,14.0,4.0,,6.0,10.0,12.0,6.0,68,,50,20,26,32,18,10.0,34.0,12.0,18,24,2.0,22.0,60,6.0,8.0,34.0,22,6.0,134,26.0,2.0,10.0,122,72.0,36.0,6.0,110.0,32.0,64,,8.0,44.0,18,22.0,22.0,8.0,296,22.0,22.0,50,28.0,20,36.0,42.0,24.0,66,2.0,8.0,14,24.0,16.0,14.0,22,,8.0,4.0,26,12.0,16.0,60,8.0,16.0,82,4.0,4,10.0,8.0,24,22,10.0,10,8.0,8.0,30,32.0,26.0,22,8.0,78,10,14.0,48.0,,14.0,12,8,2,4.0,36,58.0,32.0,38.0,114,,22,14.0,26.0,26,0.0,42,50,6.0,38.0,8,124.0,,34.0,10.0,48,16.0,,18,196,,26.0,10.0,94,6.0,20,60,52.0,,120,554,18.0,30,4.0,14.0,20.0,46.0,78,12.0,32,28.0,10.0,34.0,120.0,,96.0,18.0,60,2.0,86,14.0,42,44.0,38.0,10.0,14,12.0,,24.0,78,52.0,4.0,,0.0,46.0,4.0,,18.0,10.0,28.0,,42,40.0,20.0,2.0,240,6.0,8.0,4.0,,40.0,18.0,6.0,14.0,18.0,8,0.0,50.0,50.0,,,,
2,10.0,48,14.0,24.0,,2.0,14,14.0,10,4.0,20.0,2,0.0,18.0,16,2.0,16,14,34,14,14.0,0.0,12.0,8.0,22.0,10.0,16,86,12.0,6.0,14,16.0,12.0,16.0,6.0,30,,,,48,22.0,,8.0,26.0,6,2.0,80,16,26,18.0,0.0,16,12.0,4.0,28.0,18,10,,,8.0,2.0,4,8.0,0.0,28.0,4.0,6.0,24,6.0,12.0,16.0,2.0,52,2.0,6,14.0,,8.0,,6.0,12.0,6.0,8.0,30,,18,10,22,16,6,2.0,6.0,0.0,4,6,2.0,,22,4.0,8.0,14.0,8,2.0,46,16.0,2.0,2.0,44,40.0,24.0,6.0,40.0,14.0,24,,,8.0,14,8.0,14.0,0.0,138,12.0,4.0,18,8.0,8,6.0,10.0,2.0,28,,8.0,6,6.0,12.0,6.0,8,,8.0,0.0,6,10.0,2.0,38,0.0,4.0,18,,14,10.0,8.0,12,14,2.0,2,,0.0,10,4.0,4.0,8,2.0,40,6,8.0,26.0,,2.0,12,2,6,,26,12.0,14.0,14.0,34,,4,6.0,8.0,22,2.0,12,18,0.0,34.0,4,38.0,,8.0,4.0,16,,,16,100,,10.0,0.0,44,8.0,6,34,6.0,,52,200,6.0,6,8.0,2.0,16.0,8.0,24,,4,2.0,12.0,6.0,82.0,,34.0,6.0,24,2.0,22,4.0,20,16.0,22.0,0.0,8,8.0,,10.0,26,30.0,0.0,,2.0,16.0,0.0,,2.0,,14.0,,18,12.0,2.0,0.0,116,8.0,8.0,2.0,,10.0,6.0,,8.0,18.0,6,0.0,28.0,22.0,,,,
0,4.0,24,10.0,16.0,,,4,6.0,2,0.0,4.0,2,,6.0,14,,6,14,4,12,4.0,0.0,4.0,2.0,,2.0,12,42,2.0,2.0,6,16.0,,6.0,6.0,12,,,,8,4.0,,6.0,6.0,4,,52,10,10,2.0,,10,8.0,2.0,20.0,8,14,,,,4.0,2,8.0,,26.0,4.0,0.0,0,4.0,2.0,2.0,4.0,22,0.0,10,8.0,,0.0,,,0.0,4.0,,10,,8,10,6,8,4,2.0,6.0,0.0,6,10,2.0,,18,2.0,4.0,12.0,2,2.0,26,6.0,4.0,0.0,36,6.0,10.0,0.0,10.0,0.0,18,,,2.0,6,2.0,8.0,0.0,58,10.0,8.0,8,4.0,4,4.0,6.0,4.0,16,,2.0,8,2.0,8.0,,8,,2.0,6.0,2,0.0,0.0,26,0.0,2.0,20,,4,4.0,2.0,8,6,0.0,10,,2.0,6,6.0,6.0,6,,6,8,2.0,8.0,,0.0,2,2,0,,18,8.0,12.0,8.0,34,,0,6.0,4.0,10,0.0,10,18,,6.0,2,18.0,,8.0,,10,,,6,42,,4.0,,44,0.0,10,26,4.0,,22,116,4.0,6,0.0,2.0,16.0,6.0,22,,6,,4.0,,26.0,,16.0,4.0,12,,16,2.0,24,4.0,8.0,4.0,6,,,,10,2.0,0.0,,,12.0,,,0.0,,2.0,,6,4.0,6.0,,52,,8.0,,,0.0,4.0,,4.0,2.0,12,0.0,10.0,12.0,,,,
2,0.0,2,4.0,4.0,,,2,2.0,0,0.0,2.0,0,,6.0,10,,4,2,2,6,4.0,,2.0,2.0,,0.0,10,22,0.0,4.0,0,6.0,,2.0,0.0,8,,,,26,4.0,,2.0,2.0,2,,20,4,8,2.0,,2,0.0,,12.0,8,4,,,,,0,2.0,,16.0,6.0,,4,,6.0,4.0,0.0,6,0.0,2,2.0,,,,,2.0,0.0,,10,,4,2,2,6,2,,4.0,0.0,0,4,,,10,0.0,,,0,2.0,18,2.0,,0.0,20,14.0,4.0,,12.0,0.0,16,,,2.0,2,2.0,0.0,0.0,42,0.0,0.0,6,8.0,4,2.0,6.0,0.0,12,,0.0,10,6.0,8.0,,2,,,4.0,2,0.0,0.0,14,,4.0,2,,2,,4.0,6,2,2.0,0,,,0,6.0,0.0,2,,6,0,2.0,2.0,,,0,4,2,,12,2.0,,6.0,12,,0,2.0,2.0,12,,6,18,,2.0,0,10.0,,2.0,,8,,,4,48,,0.0,,8,0.0,2,14,6.0,,14,82,0.0,2,,4.0,10.0,6.0,10,,0,,4.0,,16.0,,6.0,6.0,4,,14,0.0,14,6.0,6.0,,0,,,,12,,0.0,,,,,,,,4.0,,6,6.0,0.0,,30,,2.0,,,2.0,2.0,,2.0,6.0,2,0.0,16.0,12.0,,,,
0,2.0,10,2.0,6.0,,,6,2.0,2,0.0,4.0,0,,2.0,6,,2,4,0,4,2.0,,,0.0,,10.0,6,24,2.0,2.0,6,4.0,,2.0,0.0,4,,,,2,,,2.0,,2,,16,4,0,6.0,,6,0.0,,8.0,6,0,,,,,0,0.0,,12.0,2.0,,0,,0.0,,,6,0.0,2,0.0,,,,,0.0,2.0,,4,,6,4,2,2,4,,2.0,,0,0,,,4,0.0,,,4,0.0,2,2.0,,,18,0.0,2.0,,4.0,2.0,8,,,0.0,2,0.0,2.0,2.0,26,2.0,0.0,2,6.0,2,0.0,0.0,,8,,,0,0.0,4.0,,4,,,0.0,0,2.0,,12,,2.0,18,,0,,2.0,2,0,0.0,0,,,0,,0.0,4,,2,0,2.0,0.0,,,0,4,0,,4,4.0,,2.0,2,,4,2.0,2.0,2,,2,2,,,0,8.0,,0.0,,4,,,4,14,,,,4,0.0,2,8,0.0,,6,42,0.0,10,,,10.0,0.0,8,,0,,0.0,,12.0,,8.0,2.0,8,,2,,14,6.0,,,2,,,,4,,0.0,,,,,,,,2.0,,4,0.0,2.0,,32,,2.0,,,,0.0,,0.0,2.0,0,,2.0,6.0,,,,
0,2.0,6,,4.0,,,0,0.0,0,,0.0,2,,2.0,6,,4,2,0,2,0.0,,,,,4.0,2,12,0.0,2.0,6,0.0,,,0.0,4,,,,6,,,,,4,,6,0,2,0.0,,0,4.0,,,2,0,,,,,0,0.0,,2.0,,,2,,0.0,,,2,,2,4.0,,,,,2.0,2.0,,2,,2,4,0,0,2,,2.0,,2,2,,,2,2.0,,,0,,2,0.0,,,4,0.0,4.0,,4.0,,4,,,,0,,,0.0,14,4.0,2.0,4,4.0,2,,0.0,,12,,,0,2.0,,,0,,,0.0,0,0.0,,2,,0.0,2,,0,,2.0,0,0,0.0,2,,,2,,,0,,6,2,0.0,2.0,,,0,2,2,,12,2.0,,4.0,2,,0,0.0,0.0,2,,4,6,,,0,4.0,,0.0,,2,,,0,18,,,,8,2.0,4,0,4.0,,4,16,2.0,0,,,0.0,,6,,0,,,,6.0,,12.0,,4,,0,,6,4.0,,,2,,,,8,,0.0,,,,,,,,,,2,,0.0,,8,,,,,,6.0,,0.0,0.0,0,,2.0,6.0,,,,
0,,10,,2.0,,,2,,0,,2.0,2,,0.0,0,,4,4,2,0,0.0,,,,,0.0,0,8,0.0,0.0,2,4.0,,,0.0,6,,,,2,,,,,0,,2,2,0,,,4,,,,2,2,,,,,0,0.0,,6.0,,,0,,0.0,,,10,,2,0.0,,,,,0.0,0.0,,0,,4,0,8,2,2,,2.0,,0,0,,,2,0.0,,,2,,2,0.0,,,12,4.0,2.0,,,,2,,,,2,,,0.0,6,,0.0,0,2.0,0,,,,6,,,0,,,,0,,,,0,2.0,,4,,2.0,10,,0,,0.0,2,0,,0,,,2,,,0,,2,0,,0.0,,,0,0,0,,4,,,,6,,0,0.0,,0,,2,0,,,2,8.0,,,,0,,,0,18,,,,4,2.0,0,2,0.0,,0,14,,0,,,2.0,,0,,0,,,,2.0,,0.0,,6,,6,,4,2.0,,,0,,,,2,,,,,,,,,,,,2,,2.0,,6,,,,,,,,,,2,,,,,,,
