openwebbeans,myriad,drill,jena,etch,wave,shindig,iota,droids,netbeans,sanselan,ivy,zeppelin,rya,skywalking,freemarker,stdcxx,openwhisk,usergrid,samza,tajo,pivot,ratis,reef,mrunit,ofbiz,singa,nmaven,hama,zipkin,xap,datasketches,juice,clerezza,atlas,awf,tamaya,wookie,devicemap,celix,horn,jspwiki,s4,ambari,samoa,openoffice,guacamole,sis,photark,tika,gora,unomi,tashi,shardingsphere,pinot,odf,chukwa,allura,imperius,wink,juddi,airflow,hudi,htrace,daffodil,cordova,madlib,fluo,trafficserver,activemq,tez,jackrabbit,mrql,qpid,iotdb,yoko,ariatosca,blur,batchee,servicemix,gobblin,asterixdb,edgent,subversion,amaterasu,griffin,helix,tuscany,graffito,eagle,giraph,commonsrdf,kalumet,omid,river,deltacloud,beam,gearpump,weex,falcon,slider,hdt,tephra,sling,carbondata,pubscribe,bluesky,twill,kato,druid,systemml,npanday,muse,juneau,tvm,vcl,gossip,hawq,manifoldcf,mesos,quickstep,bval,flink,curator,streams,vxquery,sirona,geode,thrift,bigtop,directory,pulsar,stanbol,predictionio,apisix,isis,s2graph,libcloud,lucy,nifi,knox,trafodion,buildr,datafu,any23,taverna,provisionr,joshua,ranger,openjpa,deltaspike,superset,solr,apex,mynewt,ibatis,aries,syncope,climate,sentry,echarts,zeta,shiro,felix,opennlp,cotton,cassandra,olio,lens,uima,jclouds,roller,lokahi,trafficcontrol,parquet,kafka,hise,pdfbox,bookkeeper,tinkerpop,depot,mnemonic,storm,cloudstack,nuvem,metron,adffaces,brooklyn,servicecomb,ignite,wicket,hcatalog,oozie,iceberg,click,stratos,johnzon,xmlbeans,abdera,calcite,ctakes,warble,kitty,ripple,aurora,synapse,openmeetings,kylin,bloodhound,harmony,agila,empire,oltu,oodt,jdo,sqoop,flex,esme,mod_ftp,plc4x,openaz,chemistry,lucenenet,tapestry,marmotta,cmda,pig,dolphinscheduler,heraldry,derby,myfaces,fineract,flume,ace,ftpserver,phoenix,ant,lenya,triplesoup,crunch,airavata,pirk,accumulo,rave,whirr,olingo,directmemory,socialsite,spark,groovy,rocketmq,beehive,geronimo,stonehenge,rcf,impala,dubbo,couchdb,concerted,cxf,ode,commons,alois,onami,struts,metamodel,corinthia,cayenne,spamassassin,kudu,avalon,nutch,kabuki
10,48,218,102,14,426,36,0,26,364,20,98,112,22,0,38,6,70,26,44,62,0,6,18,20,0,0,6,18,74,20,20,12,28,2,56,98,12,8,0,34,24,46,10,14,1032,12,8,16,16,18,6,0,36,2,68,22,10,6,58,6,90,48,18,6,258,2,18,0,26,4,70,36,118,76,86,6,2,20,38,6,28,122,292,14,6,16,60,10,60,12,46,56,12,146,14,198,2,10,0,26,8,2,64,16,0,2,30,4,30,46,10,4,30,20,8,18,22,16,12,20,54,206,16,40,0,30,364,14,8,80,26,72,48,88,26,14,12,4,290,22,72,12,18,30,44,4,12,12,22,198,38,32,240,72,2,372,64,6,34,8,18,34,192,118,14,0,2,18,28,110,36,6,0,50,68,0,6,64,74,0,44,2,260,0,202,58,32,20,54,176,10,0,14,6,824,24,28,60,12,24,16,18,46,0,20,70,34,42,1968,28,12,48,6,52,30,3412,48,14,22,2,36,138,106,52,8,62,52,14,28,758,58,24,8,2,2,148,40,14,40,0,44,42,28,8,26,78,2,30,92,94,0,1056,2,0,8,124,86,40,120,72,358,10,56,996,20,48,100,70,14,144,0,4
4,20,544,40,6,116,126,4,18,138,8,48,56,32,6,22,6,12,52,40,42,10,14,28,4,0,2,6,50,6,14,6,6,10,56,54,50,48,6,2,14,46,64,0,32,1172,6,18,4,6,6,16,0,104,0,40,24,26,14,116,8,112,40,54,12,304,6,16,2,20,0,20,4,188,38,22,6,20,14,44,10,16,104,304,4,0,14,114,4,144,82,76,6,2,98,20,58,96,18,0,24,18,0,66,4,2,2,14,4,26,52,22,16,12,82,6,26,304,28,2,14,20,106,8,20,14,38,478,94,62,64,74,182,40,94,34,74,52,30,110,20,154,20,0,26,94,12,50,10,36,134,22,38,328,38,46,136,90,6,48,2,16,96,186,20,0,2,4,28,26,242,90,2,2,18,56,2,10,2,44,8,98,80,462,4,82,46,48,14,36,172,10,2,2,2,660,12,6,46,24,96,0,4,20,0,32,92,86,90,448,6,10,20,2,42,10,3302,86,12,26,0,2,148,120,26,0,58,10,2,198,850,14,48,6,10,50,152,90,4,34,12,86,84,50,0,38,26,0,62,222,106,0,262,40,0,0,112,116,16,166,86,220,10,38,914,24,48,146,72,30,-1,0,4
22,56,90,78,16,336,134,2,2,278,12,20,70,26,2,20,18,86,72,14,20,56,0,36,10,0,2,2,8,16,2,2,2,30,10,22,90,8,2,2,6,132,28,2,12,1278,4,2,2,10,18,6,12,20,10,78,18,50,10,88,0,170,56,42,20,172,22,26,2,36,6,94,8,98,26,62,8,30,2,88,0,56,88,416,28,8,8,64,12,124,46,26,2,14,120,16,300,38,2,2,48,32,32,116,46,14,2,14,20,68,42,8,0,28,0,8,30,96,20,0,32,10,178,28,22,0,24,400,64,86,16,48,2,46,66,46,18,4,26,186,10,226,10,16,12,54,8,68,20,28,252,26,38,268,36,130,42,18,0,58,12,32,96,110,62,2,72,8,86,64,180,56,12,14,6,40,2,0,16,40,14,40,52,570,6,48,70,42,22,28,200,4,50,8,10,182,12,34,46,20,12,0,6,12,24,40,120,108,86,132,0,14,18,8,16,44,1990,58,2,24,0,20,44,90,54,6,38,0,4,254,766,42,96,0,4,68,92,100,4,20,46,60,74,214,4,22,40,0,84,140,102,6,222,0,0,8,122,152,8,166,52,378,6,28,748,38,26,108,1352,28,-1,88,2
24,74,158,46,22,194,216,8,0,112,16,18,56,62,2,32,16,70,26,4,12,44,30,34,12,74,0,2,34,40,0,6,0,28,14,10,60,16,6,2,26,54,44,6,40,1118,0,2,10,4,12,28,8,16,2,16,42,14,4,56,0,116,52,66,20,160,18,14,2,44,10,66,0,170,70,66,12,38,2,102,2,58,62,752,4,6,6,60,6,84,10,38,28,20,74,18,132,44,4,6,42,18,22,70,118,8,2,16,22,36,28,16,6,6,12,28,8,354,12,2,62,28,202,30,20,6,4,158,28,54,42,114,20,76,24,56,32,6,0,186,10,210,82,6,16,14,4,34,24,8,134,10,72,250,8,148,110,106,6,6,12,58,44,42,48,0,98,6,38,44,162,120,0,54,58,48,6,0,46,76,22,32,102,642,8,54,104,120,18,18,134,0,40,2,20,92,4,86,42,8,36,0,4,20,58,108,92,44,22,238,14,12,2,8,20,26,1410,60,0,16,2,24,64,-1,88,2,2,6,2,168,860,10,56,12,4,162,88,114,18,32,74,56,54,84,4,16,26,0,202,162,98,68,298,110,0,34,54,130,0,140,42,284,14,64,670,26,46,98,1194,24,-1,292,-1
22,48,42,96,16,206,314,4,0,152,20,30,164,24,0,12,8,26,28,20,24,40,4,16,6,470,12,4,28,2,4,24,0,12,8,22,34,28,0,2,6,92,30,4,2,848,10,6,4,34,4,24,0,50,2,30,38,12,0,84,4,174,46,16,14,226,2,28,28,32,28,38,12,194,18,16,30,28,12,68,2,84,102,650,18,12,8,56,46,126,24,14,30,12,14,40,136,32,62,24,40,12,14,98,44,6,6,36,4,52,38,8,2,4,10,36,0,98,4,2,18,78,156,24,6,6,0,288,22,22,16,22,48,68,138,124,4,16,14,132,2,106,60,6,0,46,10,46,28,30,106,4,94,476,16,212,136,74,14,14,16,106,34,120,26,2,116,6,42,62,154,74,2,14,40,110,0,2,26,100,18,16,268,602,12,74,182,54,32,46,162,12,96,14,28,124,18,18,22,30,64,0,10,24,38,70,78,104,22,142,2,4,2,0,46,28,766,72,0,24,20,12,36,-1,38,48,12,20,36,114,756,20,42,14,0,116,76,126,8,20,42,48,42,34,4,30,24,0,314,320,142,68,110,64,2,78,178,106,46,138,92,346,4,26,1248,18,52,106,1944,74,-1,294,-1
22,22,32,64,26,286,174,32,0,86,12,26,146,40,48,14,6,46,20,4,32,56,12,22,0,348,0,6,14,30,20,28,0,18,22,24,10,82,0,10,2,98,32,8,8,1390,38,2,2,28,2,22,12,4,18,20,20,12,0,42,8,32,56,26,22,252,28,4,46,184,6,22,8,196,54,80,22,34,0,206,6,120,126,670,6,6,14,122,22,78,44,0,0,2,110,64,206,22,82,44,34,10,6,106,174,4,2,4,36,78,26,12,0,12,8,24,0,128,18,0,24,38,118,32,14,0,4,202,10,8,4,30,54,130,22,46,0,44,8,82,10,116,52,2,34,48,40,40,88,60,80,8,92,548,8,278,36,28,18,4,26,22,18,78,12,10,22,24,42,42,182,86,0,56,36,166,2,12,46,70,40,2,228,496,2,14,134,64,92,74,152,6,72,102,42,98,14,2,30,46,54,8,4,14,78,52,108,92,20,60,6,12,2,2,64,26,906,62,0,8,28,8,248,-1,24,4,64,106,4,82,918,18,46,12,20,134,120,56,0,38,20,54,90,40,8,26,26,0,260,128,110,28,160,30,0,42,50,64,12,110,14,240,8,50,1046,28,40,90,1296,56,-1,150,-1
18,38,60,68,58,156,304,8,8,2,0,10,110,14,14,14,4,4,36,8,18,44,0,18,0,368,0,0,10,18,0,16,0,6,16,10,20,20,0,0,2,142,18,10,12,818,58,0,0,8,14,2,2,4,18,24,26,46,0,44,4,114,40,34,4,258,48,12,48,286,4,34,6,146,112,42,0,4,6,128,0,76,10,-1,14,0,16,76,6,54,10,6,4,0,14,20,326,54,90,8,26,4,2,116,102,2,2,8,16,90,6,0,2,4,16,32,6,106,8,0,26,30,208,38,14,6,6,178,92,22,6,20,62,110,66,12,64,28,2,104,10,162,18,6,32,32,12,20,26,122,106,24,90,572,76,214,128,44,58,14,12,0,24,22,26,2,50,18,68,64,148,64,4,38,30,172,0,12,26,52,10,0,174,1148,4,72,122,72,70,82,142,16,62,110,22,102,4,38,36,14,80,0,0,2,64,58,106,98,16,102,6,8,6,0,26,14,562,96,2,16,12,10,88,-1,60,2,56,28,4,132,974,96,96,2,4,188,58,78,0,36,44,10,50,46,4,8,8,0,232,238,120,34,300,54,-1,44,90,124,8,102,62,430,2,90,966,8,12,82,1744,60,-1,96,-1
14,50,0,70,10,162,240,0,10,102,4,24,262,14,10,36,2,20,20,16,6,46,0,42,0,188,4,0,8,6,4,38,0,8,14,0,20,14,0,0,2,94,26,2,10,838,54,2,2,0,22,2,6,88,8,18,22,8,0,60,8,86,28,10,4,268,16,12,86,272,10,108,0,110,26,26,8,2,2,166,8,104,20,-1,0,2,28,118,18,122,34,6,0,4,64,48,318,38,82,8,26,8,0,94,110,22,8,32,46,82,10,0,0,12,20,56,14,134,18,0,16,56,226,76,0,18,8,190,54,38,18,66,56,66,82,16,14,20,20,94,4,80,28,6,58,48,0,14,46,62,108,12,86,176,90,238,44,36,30,16,30,10,32,46,40,-1,34,42,26,32,144,148,12,104,28,126,0,6,34,90,8,20,246,610,2,128,180,72,10,78,242,8,76,12,28,188,8,14,26,38,58,0,14,50,76,50,166,74,16,56,28,12,6,4,50,46,306,64,0,0,0,2,50,-1,38,0,58,8,0,324,952,52,40,0,0,172,40,90,4,20,42,10,8,42,6,14,56,0,446,94,62,32,292,94,-1,48,170,164,0,124,42,674,0,16,924,22,44,96,1232,38,-1,146,-1
24,62,38,56,48,254,332,28,20,142,6,40,108,40,2,16,10,52,68,6,2,44,0,40,0,282,2,14,6,22,18,12,0,24,26,2,10,28,2,0,6,150,22,0,28,1144,26,0,2,10,26,2,0,32,0,36,40,18,4,48,6,78,20,18,10,170,90,18,12,190,18,78,0,262,20,34,14,8,6,186,8,166,20,-1,6,10,14,166,24,64,66,0,0,0,182,40,246,34,64,2,36,0,0,82,202,0,2,12,36,42,26,16,2,14,14,46,20,142,30,2,16,24,228,14,0,8,8,172,20,24,14,10,54,34,58,26,22,22,30,76,0,102,68,0,36,44,2,40,22,22,84,64,90,282,58,168,128,28,20,40,8,8,64,82,44,-1,148,34,28,74,138,116,16,120,14,168,0,0,76,70,20,2,342,876,0,108,150,84,56,134,200,18,68,20,24,178,22,10,16,40,56,2,14,12,56,50,278,166,16,204,10,2,2,4,62,24,556,52,6,4,0,2,90,-1,24,2,44,2,0,166,1088,58,66,8,0,100,62,50,0,32,20,0,74,50,8,22,50,0,374,100,30,54,54,104,-1,106,64,264,0,54,8,-1,2,-1,-1,20,16,108,1216,60,-1,122,-1
12,56,46,106,10,206,310,2,12,30,0,24,278,40,8,0,6,20,62,12,4,28,2,10,2,236,4,16,14,80,8,24,0,18,4,2,10,10,4,2,4,96,30,2,6,1156,80,0,0,28,22,12,2,12,10,38,12,46,0,22,8,100,38,66,8,192,12,28,8,298,4,152,12,236,4,56,6,14,14,144,8,198,28,-1,0,34,32,126,16,98,34,2,4,2,102,30,244,10,72,2,8,10,18,132,256,8,12,6,20,92,20,18,4,12,4,38,2,86,14,12,30,4,136,52,2,10,2,132,84,24,14,8,20,84,96,24,80,18,26,266,18,118,112,6,20,40,2,30,44,38,6,2,74,600,86,280,130,24,52,8,6,64,64,70,48,-1,170,12,62,36,152,156,0,92,24,64,0,6,88,46,6,2,384,590,2,90,106,54,74,110,240,12,14,10,28,190,0,28,30,40,64,0,0,22,70,44,216,116,36,116,8,0,20,20,32,24,464,24,0,4,12,6,20,-1,30,4,36,56,0,300,552,66,70,6,0,-1,116,164,-1,48,10,14,84,76,6,24,0,-1,302,110,32,78,86,90,-1,116,88,200,6,92,70,-1,2,-1,-1,26,12,56,1106,76,-1,-1,-1
