openwebbeans,drill,jena,etch,wave,shindig,droids,netbeans,sanselan,ivy,zeppelin,rya,skywalking,freemarker,stdcxx,openwhisk,usergrid,samza,tajo,ratis,reef,mrunit,ofbiz,singa,nmaven,hama,zipkin,xap,datasketches,juice,clerezza,atlas,awf,tamaya,wookie,devicemap,horn,jspwiki,s4,ambari,samoa,openoffice,guacamole,sis,photark,tika,gora,unomi,tashi,shardingsphere,pinot,odf,chukwa,allura,imperius,myriad,wink,juddi,airflow,hudi,daffodil,cordova,madlib,fluo,trafficserver,tez,jackrabbit,mrql,qpid,iota,iotdb,yoko,ariatosca,servicemix,gobblin,asterixdb,edgent,amaterasu,griffin,helix,tuscany,graffito,eagle,giraph,commonsrdf,kalumet,omid,river,pivot,batchee,deltacloud,gearpump,weex,falcon,slider,tephra,sling,carbondata,bluesky,twill,kato,druid,systemml,npanday,muse,juneau,tvm,gossip,hawq,manifoldcf,mesos,quickstep,bval,flink,curator,streams,blur,vxquery,sirona,thrift,subversion,bigtop,directory,pulsar,stanbol,predictionio,apisix,s2graph,lucy,nifi,knox,trafodion,buildr,datafu,any23,taverna,provisionr,joshua,ranger,deltaspike,superset,solr,htrace,mynewt,ibatis,aries,syncope,climate,sentry,echarts,zeta,shiro,vcl,felix,opennlp,cotton,cassandra,olio,lens,uima,jclouds,roller,lokahi,trafficcontrol,parquet,celix,kafka,hise,pdfbox,bookkeeper,hdt,mnemonic,storm,cloudstack,metron,adffaces,brooklyn,beam,servicecomb,ignite,libcloud,wicket,hcatalog,oozie,iceberg,click,stratos,tinkerpop,johnzon,xmlbeans,abdera,calcite,warble,kitty,aurora,synapse,openmeetings,kylin,bloodhound,harmony,nuvem,agila,empire,oltu,oodt,jdo,sqoop,flex,esme,isis,mod_ftp,openaz,chemistry,lucenenet,tapestry,marmotta,cmda,geode,pubscribe,pig,heraldry,derby,dolphinscheduler,myfaces,fineract,openjpa,flume,ace,ftpserver,plc4x,phoenix,ant,lenya,triplesoup,crunch,airavata,depot,accumulo,ripple,whirr,olingo,directmemory,spark,groovy,rocketmq,beehive,geronimo,stonehenge,rcf,impala,dubbo,apex,activemq,couchdb,cxf,commons,concerted,alois,ode,rave,onami,pirk,struts,metamodel,corinthia,cayenne,spamassassin,kudu,socialsite,ctakes,avalon,nutch,kabuki
10,222,112,14,428,40,30,374,20,100,112,22,0,38,8,70,26,44,62,6,18,20,0,0,6,36,74,20,20,12,28,2,56,98,16,8,34,24,48,10,14,1194,12,16,16,16,18,6,0,36,2,70,24,10,6,48,58,8,90,50,6,258,2,24,0,4,70,36,132,0,76,86,6,38,6,30,122,16,6,16,70,12,86,16,72,56,12,146,0,20,14,18,12,0,26,2,70,18,6,30,4,30,46,12,6,32,38,28,24,16,12,20,54,206,16,40,8,2,30,30,330,18,90,34,94,48,90,16,4,314,28,72,12,18,30,46,10,12,14,232,38,34,32,74,2,376,64,6,36,8,18,42,8,204,118,14,0,2,20,28,116,44,6,0,52,0,70,0,8,64,8,52,2,364,202,72,32,206,20,54,12,176,10,0,14,6,834,74,24,28,60,14,16,18,0,20,114,34,42,2040,0,28,12,48,6,54,30,3616,48,32,14,2,36,162,118,52,8,366,0,62,14,46,52,870,60,22,34,8,8,22,2,172,44,14,42,0,0,56,46,8,28,78,36,116,120,0,1090,4,0,8,162,244,44,98,124,394,48,10,72,28,56,48,1130,20,50,140,72,14,2,42,158,0,4
6,554,58,6,190,160,6,200,14,48,66,18,6,22,2,54,82,42,36,8,28,0,0,2,6,16,8,14,12,6,20,64,56,68,44,6,14,46,74,2,38,1444,6,8,8,6,14,16,0,106,0,70,34,48,14,22,126,8,118,46,18,328,8,18,2,8,38,4,198,4,38,14,6,50,10,14,126,12,6,14,118,4,174,82,66,2,2,124,22,8,22,100,20,0,24,6,90,6,2,14,4,42,52,32,8,28,52,24,324,28,2,14,26,88,8,20,20,12,38,102,386,92,50,70,166,52,108,82,32,94,24,184,20,2,28,106,4,48,6,196,28,38,54,42,68,144,92,6,50,10,20,102,12,188,32,0,2,8,60,38,288,72,16,2,16,2,62,2,4,8,26,86,80,416,100,34,50,92,14,36,52,212,10,16,2,4,676,44,16,8,48,26,0,2,0,42,62,88,100,384,6,6,12,20,2,40,16,3346,86,38,12,0,30,138,150,58,0,522,2,70,6,222,10,856,14,40,60,6,10,34,50,134,96,4,44,12,14,100,16,2,40,28,62,256,118,0,320,38,0,0,92,360,26,214,214,230,14,10,88,130,44,92,852,24,50,148,98,32,2,92,-1,0,6
20,98,64,20,268,190,2,260,12,28,78,40,4,48,22,72,44,10,24,20,50,10,0,2,2,10,16,2,2,2,14,14,26,86,12,8,18,140,28,6,22,948,4,4,0,10,20,18,16,18,10,54,12,22,8,62,96,0,212,64,16,212,26,26,2,10,98,8,148,2,50,90,12,108,0,58,84,26,6,2,60,14,94,30,36,2,16,84,56,2,18,52,4,4,50,28,94,62,2,16,30,74,36,2,4,14,0,24,146,32,2,50,20,252,32,20,36,0,26,56,504,68,12,58,14,76,26,4,12,200,10,228,18,14,12,50,8,74,22,194,24,48,42,26,132,70,36,0,58,4,36,84,8,84,76,2,92,10,58,58,156,86,0,26,8,2,40,2,0,38,10,38,100,748,30,94,78,330,24,32,6,154,4,44,8,12,218,44,4,80,38,12,0,6,54,78,136,120,68,174,4,0,16,12,14,24,44,2318,56,36,0,0,12,56,68,30,6,322,16,28,2,240,6,814,34,24,122,2,8,24,132,130,122,4,24,62,10,70,12,2,22,44,122,120,74,40,144,4,0,14,118,246,40,110,166,402,8,8,68,206,34,66,848,42,44,110,1742,26,0,34,-1,118,2
24,130,68,26,152,216,0,104,28,24,46,50,0,6,14,44,28,12,30,8,30,16,336,2,4,40,42,0,10,0,24,12,20,62,22,0,20,74,42,2,10,1118,0,6,10,34,14,18,8,24,8,20,60,24,4,74,78,0,98,52,22,96,2,22,2,6,74,16,184,8,58,16,34,96,6,72,30,4,8,6,58,38,150,24,38,42,20,58,48,12,50,38,0,2,44,22,94,144,2,26,16,58,34,22,4,6,10,8,318,6,2,50,54,190,40,16,32,12,0,38,796,48,44,110,18,94,120,32,10,164,16,208,84,2,12,26,4,24,22,118,4,104,56,4,228,164,126,14,6,12,72,58,26,118,32,0,148,0,40,64,152,112,2,60,86,0,62,6,2,38,14,24,254,668,92,158,108,164,24,22,16,170,2,72,6,34,90,94,16,42,46,28,0,2,48,88,78,94,26,178,16,14,12,6,0,30,26,1050,86,132,0,8,32,62,-1,78,42,308,8,8,26,210,2,936,20,30,40,20,2,22,142,94,164,18,26,40,26,60,28,6,18,10,276,230,126,64,324,116,0,78,176,402,54,106,166,436,0,12,70,36,60,48,942,36,42,118,1718,74,0,42,-1,338,-1
26,54,88,12,336,332,0,200,10,32,230,28,40,16,8,50,40,8,28,2,14,0,434,8,4,28,26,20,16,0,16,10,22,28,26,0,2,118,32,8,10,1410,20,0,0,20,0,24,6,24,6,26,24,6,0,60,66,4,134,50,24,244,28,22,74,22,38,8,202,22,36,22,20,184,6,142,114,18,14,16,78,28,96,32,12,2,12,152,42,2,46,20,120,42,48,14,134,52,4,16,20,96,38,8,2,10,14,0,144,14,0,20,54,162,26,8,34,2,2,18,778,20,10,30,72,116,42,4,6,120,10,104,70,2,18,42,24,46,50,114,6,100,28,8,248,28,32,8,8,30,104,34,46,98,30,8,22,28,38,50,154,118,0,56,28,10,132,0,12,20,14,16,228,634,12,180,72,140,56,62,46,158,14,92,18,40,124,96,18,8,26,50,8,10,66,86,98,112,30,92,4,2,0,2,0,48,34,1048,80,48,0,26,8,50,-1,36,38,260,6,44,8,72,44,888,20,54,52,0,16,10,124,78,74,12,36,34,26,58,24,6,34,40,302,258,146,58,124,74,2,50,76,632,86,108,138,214,54,8,84,30,38,62,1458,34,46,112,1854,82,0,64,-1,276,-1
14,70,80,68,210,184,6,8,2,16,134,40,26,8,6,8,46,8,16,12,18,0,354,0,6,10,22,2,40,0,8,20,30,14,68,0,4,128,22,6,12,832,66,2,2,26,8,24,8,8,34,26,24,18,0,26,46,10,118,64,10,308,56,6,54,0,12,6,204,24,120,94,12,126,0,92,92,14,2,10,124,8,52,32,0,2,2,28,42,2,42,46,88,32,22,8,74,180,2,8,28,88,14,8,0,12,18,2,108,16,0,38,36,130,32,20,12,6,4,80,-1,22,4,24,70,122,12,62,6,106,10,184,44,4,28,38,28,38,94,110,16,82,44,42,314,132,38,54,12,16,4,16,26,42,16,0,58,22,66,56,224,52,0,46,40,0,150,2,8,56,6,0,180,1056,62,134,66,392,76,96,28,184,20,58,176,32,126,78,6,38,36,18,0,0,74,60,96,104,14,88,4,6,14,6,2,62,16,724,92,30,2,26,10,298,-1,50,6,206,2,86,8,124,90,1094,112,84,82,18,10,18,170,94,58,0,32,38,34,82,12,6,8,8,270,220,82,34,324,54,0,42,86,544,306,114,134,304,8,2,56,54,74,32,1010,18,22,62,1738,44,0,74,-1,80,-1
18,4,94,10,180,386,8,22,2,14,192,8,8,40,4,24,16,16,10,0,46,0,246,4,0,12,6,4,36,0,10,22,0,28,16,0,2,126,24,12,16,1068,56,2,2,0,28,2,8,88,12,22,22,34,0,58,58,8,76,38,2,314,10,16,74,14,114,0,90,6,38,32,8,148,6,104,4,0,0,38,102,14,92,36,8,0,2,34,56,6,48,62,92,8,32,0,140,126,2,28,40,62,10,0,2,6,18,14,128,12,0,20,36,278,66,2,8,20,8,74,-1,46,20,72,56,78,106,28,20,80,4,58,18,12,46,46,0,26,46,112,26,122,4,106,190,68,46,34,22,28,6,34,58,42,52,-1,22,42,30,44,108,164,10,84,30,0,208,0,0,28,10,18,306,852,110,160,60,312,44,80,12,246,6,76,22,30,208,82,8,18,28,32,0,14,72,64,164,68,18,78,2,22,14,6,6,46,52,310,58,18,0,2,4,48,-1,42,0,142,22,54,0,302,22,1060,26,104,88,0,0,2,168,50,86,4,24,56,10,20,50,2,16,46,464,146,122,26,284,74,-1,56,108,362,328,132,116,786,0,0,60,56,62,12,928,12,32,118,1512,74,0,66,-1,136,-1
24,38,52,48,278,334,28,176,6,34,182,44,0,16,8,60,68,4,2,0,34,0,294,4,4,2,20,20,12,0,24,28,6,22,28,2,6,142,20,0,20,1266,38,0,2,10,36,2,0,34,0,38,42,12,0,66,54,6,106,14,12,186,102,18,16,16,82,0,298,28,22,32,14,226,12,154,44,6,10,16,186,28,98,66,0,0,2,198,46,8,46,36,70,4,36,0,72,228,6,10,36,58,22,12,2,22,22,20,162,32,2,18,32,230,34,0,8,8,10,20,-1,22,8,10,56,42,68,22,30,100,0,84,76,0,72,52,2,40,20,124,64,88,26,100,254,134,22,26,40,8,12,62,42,94,42,-1,154,30,42,76,152,120,22,132,12,0,180,0,4,68,0,18,368,886,136,200,98,288,54,140,24,220,22,82,20,22,182,82,22,10,16,52,2,14,62,50,292,144,16,204,0,18,6,2,6,62,24,578,56,26,6,0,2,106,-1,30,2,216,0,60,0,236,0,1222,74,32,64,8,0,4,186,60,86,0,38,20,20,50,12,10,22,60,390,106,38,54,114,106,-1,112,156,260,210,270,72,-1,0,2,10,52,-1,2,-1,28,28,112,1274,68,0,54,-1,174,-1
14,46,114,10,206,326,12,74,0,32,312,50,10,0,6,20,74,12,4,2,14,2,246,18,24,14,82,12,26,0,26,6,2,14,10,4,4,128,34,2,6,1238,84,8,0,28,22,12,2,14,10,40,12,52,4,60,22,8,110,40,8,238,12,28,8,4,184,12,238,2,4,56,8,154,8,230,36,0,34,34,152,16,100,36,2,4,2,106,32,14,32,14,104,8,8,18,138,260,12,10,20,92,22,20,4,12,4,2,96,16,12,36,22,150,56,0,14,10,6,92,-1,30,20,8,20,84,96,80,30,292,18,136,112,8,20,40,6,30,44,6,2,84,66,90,308,136,24,56,10,6,76,84,44,76,52,-1,180,16,68,40,174,158,2,106,30,2,72,0,6,110,14,2,408,614,92,110,54,250,74,110,18,266,12,18,20,30,196,50,0,32,38,54,0,4,80,44,240,150,36,130,2,8,0,24,24,36,32,492,24,26,0,20,6,24,-1,34,4,144,8,40,0,306,56,670,68,48,70,6,0,4,-1,120,168,-1,48,10,6,110,22,6,26,0,372,116,38,88,96,90,-1,118,88,610,318,250,98,-1,6,2,70,80,-1,14,-1,28,12,60,1218,76,-1,70,-1,-1,-1
18,80,64,2,112,414,10,118,4,44,412,46,0,4,20,98,64,22,20,0,8,2,216,14,22,2,8,6,72,12,16,2,12,36,52,0,0,162,14,6,28,698,74,6,2,50,24,10,0,22,14,28,6,20,0,148,30,10,190,70,12,214,28,6,26,0,278,8,114,4,10,78,8,172,18,198,26,2,28,18,222,8,32,72,16,0,0,10,48,6,50,16,86,4,62,16,122,172,36,12,18,42,22,24,4,12,4,18,148,20,4,16,2,258,28,30,36,0,0,58,-1,8,0,58,54,40,162,20,0,186,6,234,78,2,58,42,0,10,28,40,6,108,20,64,-1,90,16,32,38,0,44,118,42,80,44,-1,190,36,58,92,146,150,2,86,6,2,126,2,36,84,0,4,300,1290,122,172,64,242,82,148,142,206,18,58,58,34,176,68,0,44,42,36,0,14,100,32,168,170,18,228,8,2,10,30,24,38,54,748,22,30,10,26,36,34,-1,34,0,202,0,34,98,244,20,-1,42,78,44,2,0,2,-1,62,120,-1,36,62,22,146,12,4,44,4,526,216,78,62,132,108,-1,110,134,332,356,196,130,-1,-1,0,36,60,-1,6,-1,32,34,118,-1,134,-1,44,-1,-1,-1
