openwebbeans,jena,etch,wave,shindig,droids,sanselan,rya,skywalking,stdcxx,usergrid,samza,tajo,ratis,reef,mrunit,ofbiz,nmaven,hama,zipkin,xap,datasketches,awf,tamaya,wookie,devicemap,horn,jspwiki,s4,freemarker,ambari,samoa,singa,openoffice,guacamole,sis,photark,tika,unomi,tashi,shardingsphere,pinot,odf,allura,imperius,myriad,wink,juddi,gora,airflow,daffodil,cordova,madlib,trafficserver,tez,iota,iotdb,yoko,gobblin,asterixdb,edgent,amaterasu,griffin,helix,mrql,giraph,commonsrdf,omid,river,pivot,batchee,deltacloud,gearpump,weex,slider,tephra,clerezza,bluesky,twill,kato,tuscany,druid,systemml,npanday,graffito,juneau,tvm,openwhisk,gossip,manifoldcf,mesos,quickstep,bval,flink,curator,streams,blur,vxquery,sirona,subversion,pulsar,apisix,lucy,nifi,predictionio,knox,trafodion,s2graph,buildr,datafu,any23,taverna,joshua,ranger,hudi,ariatosca,superset,solr,kalumet,ibatis,hawq,aries,jackrabbit,thrift,syncope,juice,climate,sentry,echarts,zeta,shiro,vcl,opennlp,cotton,lens,uima,drill,jclouds,falcon,trafficcontrol,celix,htrace,sling,kafka,hise,bookkeeper,storm,cloudstack,metron,brooklyn,servicecomb,adffaces,ignite,libcloud,wicket,hcatalog,click,stratos,cassandra,tinkerpop,johnzon,carbondata,fluo,xmlbeans,calcite,atlas,zeppelin,warble,directory,kitty,aurora,synapse,openmeetings,bloodhound,harmony,bigtop,nuvem,agila,empire,oltu,oodt,jdo,sqoop,roller,olio,flex,esme,qpid,isis,mod_ftp,abdera,felix,openaz,hdt,chemistry,lokahi,marmotta,geode,pubscribe,cmda,deltaspike,servicemix,pig,mnemonic,heraldry,derby,chukwa,dolphinscheduler,fineract,beam,ace,iceberg,pdfbox,plc4x,lucenenet,kylin,phoenix,ant,triplesoup,flume,crunch,depot,myfaces,accumulo,airavata,mynewt,ripple,olingo,directmemory,stanbol,eagle,spark,groovy,rocketmq,lenya,geronimo,stonehenge,rcf,impala,netbeans,dubbo,ftpserver,oozie,apex,couchdb,whirr,provisionr,parquet,cxf,activemq,concerted,alois,ode,rave,commons,openjpa,pirk,metamodel,ivy,beehive,cayenne,struts,spamassassin,kudu,socialsite,corinthia,tapestry,ctakes,muse,avalon,onami,nutch,kabuki
10,128,14,446,44,32,26,40,6,10,26,52,84,14,24,20,0,6,58,74,26,20,56,98,42,14,38,34,50,40,10,14,0,1562,12,20,16,16,10,0,66,2,76,12,10,56,102,18,22,122,6,286,4,0,4,0,90,88,10,30,162,16,6,18,36,24,82,12,152,6,26,20,50,22,28,2,28,6,30,6,90,34,66,20,14,32,94,70,28,24,12,20,60,244,16,44,14,14,42,382,78,100,28,342,50,30,112,42,26,18,40,104,44,16,58,6,54,42,56,8,176,416,72,58,118,24,10,42,10,24,44,8,122,14,32,28,574,190,0,0,2,50,80,82,0,64,24,528,202,54,20,86,70,48,236,10,6,1172,2,112,24,24,26,30,28,6,114,16,122,18,0,28,120,50,2130,36,2,28,16,50,6,68,30,92,2,5178,54,218,36,18,72,268,2,8,38,6,52,666,0,8,260,44,74,90,20,96,36,60,62,216,8,16,8,28,190,44,30,224,14,48,50,0,1176,56,0,74,50,48,80,172,96,56,220,146,98,1170,40,0,10,404,184,10,2,282,138,8,10,56,158,48,48,10,82,62,434,22,84,30,120,0,170,1494,78,18,2,66,168,68,18,192,68,0,6
22,82,16,414,258,8,16,28,2,22,90,34,28,0,52,10,0,6,16,22,12,12,56,98,24,2,10,142,84,28,2,26,4,1694,4,8,8,14,14,12,48,10,100,62,14,62,120,0,20,200,26,402,24,2,10,6,30,68,6,60,132,30,10,12,10,98,42,14,158,56,2,28,112,2,50,32,30,8,24,20,116,88,62,22,14,28,8,100,34,36,2,38,16,182,28,24,36,0,32,622,70,104,28,198,86,22,334,82,20,16,12,98,76,26,84,14,32,48,2,162,238,80,100,116,38,2,0,80,12,38,152,14,82,2,90,74,280,282,4,20,2,56,134,74,4,16,112,748,106,66,34,88,28,28,256,14,10,366,78,42,20,60,28,38,24,70,116,0,24,8,36,70,142,156,398,118,8,6,18,20,8,28,44,74,8,3122,92,168,50,2,62,170,0,34,38,16,60,482,14,6,258,122,76,60,4,366,30,4,42,330,6,8,4,32,110,160,88,188,6,116,38,16,1136,134,50,52,20,30,48,46,214,116,200,148,118,340,0,0,12,394,158,8,50,462,210,4,12,10,262,52,8,10,104,226,438,48,76,42,28,20,176,1042,1412,42,2,56,148,70,0,-1,34,92,4
24,114,28,286,334,0,28,66,2,20,40,16,36,34,38,16,366,4,42,42,2,14,20,62,32,6,28,86,52,32,8,40,12,1340,0,8,10,34,30,8,30,8,28,26,4,80,90,0,20,186,22,198,6,4,24,8,78,78,6,76,68,4,8,6,16,28,44,22,78,48,12,52,60,2,50,32,30,2,42,24,78,72,40,22,38,6,10,62,8,12,2,66,70,294,46,22,40,12,4,1056,114,136,14,232,104,16,246,32,94,12,16,46,46,40,76,34,12,120,42,268,376,198,90,46,132,0,14,12,16,86,64,30,52,0,54,64,166,234,8,64,2,66,110,72,6,62,278,964,98,128,28,198,30,22,184,2,34,124,158,116,16,148,26,92,28,16,100,0,44,10,70,114,116,30,324,54,16,14,16,6,8,34,30,144,6,1546,88,252,138,0,50,146,12,24,38,2,96,346,8,42,172,124,10,38,36,258,64,12,22,226,22,8,2,22,70,124,230,122,18,78,34,28,1110,74,86,18,34,20,26,28,168,390,310,142,184,358,118,0,96,168,182,4,92,462,156,6,4,88,216,60,0,14,94,92,498,30,58,38,30,106,144,1182,2532,78,0,42,-1,76,8,-1,70,396,-1
28,96,30,320,306,0,12,52,48,8,38,6,34,12,26,0,488,8,30,30,20,34,40,28,82,0,2,142,42,22,8,10,0,1688,52,2,2,38,38,12,30,20,32,12,0,54,70,10,2,128,24,378,32,88,18,38,76,86,6,170,150,20,16,16,8,46,14,12,164,62,0,66,30,126,44,8,20,4,14,46,134,102,40,12,28,14,16,52,0,18,2,26,54,138,40,14,34,2,4,-1,46,36,10,140,156,10,194,4,92,2,34,50,58,110,62,24,10,112,0,378,156,56,30,28,40,0,22,10,32,106,34,46,34,12,54,60,70,226,54,56,10,40,134,208,2,58,340,844,22,74,100,206,94,50,212,18,48,162,26,100,20,186,14,12,54,26,262,8,12,8,88,84,154,30,98,22,2,6,12,6,2,80,34,120,32,1326,94,244,54,0,36,90,30,14,8,0,36,262,6,44,108,222,68,12,4,88,28,112,34,216,18,108,12,12,256,116,170,162,12,86,50,44,1300,112,46,8,28,34,42,96,110,424,310,168,82,214,52,0,64,178,96,22,96,742,142,8,50,60,154,212,54,8,96,54,294,66,64,34,38,56,140,1664,2136,80,0,58,-1,78,0,-1,66,272,-1
24,100,50,268,428,8,2,16,14,4,34,20,20,0,46,0,446,0,16,22,4,44,8,20,22,0,4,160,28,30,10,26,4,1172,80,2,2,0,4,8,74,24,36,46,0,54,72,10,28,148,4,324,56,92,6,8,82,56,2,144,8,12,0,32,2,34,8,2,28,58,6,54,66,134,30,0,8,4,24,28,134,130,12,0,16,6,36,22,14,14,0,38,46,310,72,14,10,20,8,-1,68,88,16,124,138,12,112,66,20,14,46,52,28,22,56,8,28,122,4,304,164,166,128,130,60,0,64,20,24,6,30,74,36,44,62,70,54,190,14,114,0,34,136,242,0,42,296,1336,114,100,70,210,104,30,262,18,44,230,56,90,4,152,14,44,38,28,234,0,16,0,92,88,180,20,130,46,4,14,16,6,6,46,48,112,44,662,88,168,18,2,36,48,12,8,10,10,60,224,24,0,148,184,96,4,4,320,34,32,106,484,0,118,12,16,120,128,246,78,0,100,36,10,1346,50,66,114,38,18,22,58,122,526,254,142,114,420,58,2,68,14,102,4,104,540,138,4,2,34,152,410,8,0,62,56,766,144,16,14,14,38,108,1424,2138,76,0,28,-1,102,2,-1,88,186,-1
24,86,52,302,452,30,6,50,14,10,102,8,2,0,40,0,350,14,6,22,26,16,6,26,28,2,6,206,32,24,2,32,4,1530,92,0,2,10,4,2,50,2,40,28,4,92,56,8,36,140,12,320,102,36,28,28,24,38,12,232,50,6,10,26,0,72,0,2,226,48,8,54,38,98,50,0,26,8,24,58,216,100,30,18,32,22,22,76,20,36,4,22,68,276,50,0,8,8,10,-1,18,104,38,194,58,2,154,44,80,2,72,62,40,38,38,14,68,130,0,380,176,148,102,42,44,0,56,42,10,12,74,48,56,-1,48,88,42,228,4,142,2,48,132,204,2,82,488,1086,180,112,60,252,148,30,268,22,30,202,160,106,28,280,20,12,58,30,256,2,22,18,68,50,320,26,208,42,2,30,6,8,6,72,28,160,42,662,86,366,38,6,38,98,0,14,2,22,36,240,2,4,142,266,66,24,0,302,46,10,118,348,10,22,4,6,120,202,220,80,4,78,48,26,1486,82,24,108,38,26,76,74,110,496,124,60,120,234,142,0,154,230,190,0,88,414,420,10,2,24,106,326,0,2,20,64,-1,40,2,30,56,90,142,-1,1798,86,0,32,-1,60,2,-1,-1,188,-1
16,132,2,238,458,12,4,84,2,10,114,18,16,2,16,12,304,22,10,82,18,54,14,28,38,2,4,182,32,2,2,20,26,1420,62,10,2,48,16,2,14,18,42,44,0,52,44,12,22,168,14,282,30,28,2,6,10,100,16,204,48,0,38,42,14,88,14,6,82,34,18,54,28,130,42,30,32,36,18,16,264,54,26,28,14,16,6,36,10,14,16,38,6,256,56,0,34,10,2,-1,32,170,24,322,114,18,204,64,150,8,72,38,36,52,44,8,4,134,0,-1,166,152,292,94,30,0,48,24,6,130,166,66,48,-1,82,96,84,170,14,144,2,60,146,124,0,134,592,1220,118,64,102,166,134,76,332,22,40,270,254,84,0,272,30,68,58,10,486,0,6,10,110,52,284,36,274,14,2,2,8,24,28,50,64,226,42,848,20,204,36,0,44,104,44,0,20,2,48,232,6,2,6,204,44,10,48,380,14,66,48,338,6,40,30,4,42,192,-1,118,0,92,54,0,-1,142,20,106,22,38,6,54,108,674,160,42,192,124,104,-1,148,94,170,0,36,580,286,4,6,30,142,386,20,2,80,96,-1,64,12,28,50,80,104,-1,1776,168,0,20,-1,50,8,-1,-1,-1,-1
18,110,34,78,476,2,16,26,6,36,70,48,14,0,12,12,334,24,4,22,0,60,42,12,34,0,0,76,18,28,6,6,6,1474,96,6,6,68,6,0,62,6,28,36,2,150,22,24,20,178,12,240,30,38,12,2,24,26,28,248,28,36,20,78,8,36,0,0,66,68,2,40,30,82,60,6,36,42,16,22,380,42,126,36,12,14,26,132,26,30,4,38,16,404,-1,54,22,2,6,-1,64,146,10,328,46,10,192,18,78,8,18,66,14,48,122,8,2,120,34,-1,182,96,188,58,32,0,22,50,0,42,130,36,96,-1,84,76,132,-1,10,120,2,28,124,52,2,128,406,1458,92,92,76,268,298,218,244,52,32,220,404,38,10,198,4,60,28,38,448,0,14,18,130,44,270,38,204,20,8,14,26,48,38,48,40,164,24,804,60,222,36,10,36,120,2,22,34,22,16,296,8,0,168,254,84,2,70,340,8,18,154,254,32,56,24,10,30,160,-1,118,-1,56,20,46,-1,-1,44,76,16,54,12,42,52,762,370,114,226,192,134,-1,216,128,150,12,110,518,292,12,2,2,124,510,-1,0,74,82,-1,98,6,26,48,92,172,-1,-1,148,0,40,-1,112,12,-1,-1,-1,-1
10,80,18,120,428,8,24,40,6,24,36,110,32,0,32,12,402,18,10,30,22,20,28,20,64,6,4,208,10,32,6,8,6,1612,56,0,16,40,4,6,16,6,42,30,4,108,4,-1,6,246,10,370,6,94,24,10,54,38,2,188,22,38,8,26,10,56,0,0,44,92,0,38,44,54,22,4,26,22,28,16,468,68,24,32,30,4,60,140,26,64,14,62,6,622,-1,10,32,0,18,-1,26,290,18,186,78,52,168,12,42,2,24,66,36,76,114,6,0,182,0,-1,194,114,222,38,36,12,16,66,2,26,82,40,50,-1,170,94,70,-1,14,136,0,4,186,120,0,90,684,1146,176,88,138,194,282,22,322,58,80,230,328,94,4,150,4,42,52,26,480,0,36,24,92,82,290,78,166,40,8,14,8,2,26,70,54,206,30,926,38,134,26,0,8,108,4,18,96,4,28,390,-1,0,238,332,140,42,80,516,4,152,40,158,26,18,12,18,102,196,-1,128,-1,66,12,28,-1,-1,32,212,24,126,2,140,62,1600,328,88,192,92,112,-1,256,254,60,4,194,776,232,32,0,12,156,440,-1,0,48,70,-1,74,4,16,28,40,154,-1,-1,-1,-1,38,-1,74,-1,-1,-1,-1,-1
6,80,24,102,264,6,0,52,2,18,120,42,32,24,32,14,-1,8,8,80,56,8,12,28,56,6,0,180,76,2,14,24,0,992,58,34,4,38,14,4,34,0,6,54,0,126,40,-1,10,180,10,334,14,64,44,12,76,26,22,226,16,40,4,46,6,132,14,12,204,82,0,58,24,72,68,24,22,64,16,10,528,54,12,48,14,8,88,54,14,40,2,24,10,-1,-1,0,6,0,12,-1,34,206,34,-1,72,36,384,16,48,4,72,72,14,56,160,34,2,212,40,-1,108,50,156,88,62,0,8,46,0,36,86,14,50,-1,204,110,52,-1,30,258,10,2,130,186,2,66,758,1714,70,62,142,180,314,36,340,10,124,212,300,208,20,234,26,32,82,22,342,0,30,2,84,50,396,72,202,86,12,20,18,12,42,-1,114,190,0,644,92,138,20,8,30,102,4,14,10,2,22,460,-1,0,130,328,72,0,26,364,12,136,44,370,20,88,8,32,22,224,-1,58,-1,136,92,4,-1,-1,14,88,34,86,88,128,192,-1,-1,122,146,104,98,-1,352,336,98,0,106,-1,370,60,-1,54,214,440,-1,-1,90,122,-1,112,42,4,30,64,122,-1,-1,-1,-1,106,-1,114,-1,-1,-1,-1,-1
