openwebbeans,jena,etch,shindig,sanselan,rya,skywalking,stdcxx,wave,tajo,ratis,mrunit,hama,xap,datasketches,awf,tamaya,devicemap,horn,s4,freemarker,ambari,samoa,singa,guacamole,sis,tika,wookie,tashi,shardingsphere,pinot,allura,imperius,myriad,wink,airflow,daffodil,cordova,madlib,photark,trafficserver,iotdb,asterixdb,amaterasu,helix,mrql,giraph,river,droids,pivot,batchee,deltacloud,gearpump,weex,jspwiki,twill,kato,tephra,tuscany,systemml,clerezza,graffito,juneau,openwhisk,gossip,odf,mesos,quickstep,curator,blur,vxquery,bluesky,apisix,bval,lucy,nifi,predictionio,knox,trafodion,s2graph,buildr,datafu,usergrid,taverna,joshua,ranger,ariatosca,superset,kalumet,ibatis,hawq,jackrabbit,thrift,juice,climate,sentry,echarts,zeta,shiro,vcl,opennlp,cotton,tvm,pulsar,lens,uima,drill,jclouds,trafficcontrol,htrace,sling,kafka,yoko,hise,solr,bookkeeper,npanday,metron,cloudstack,brooklyn,servicecomb,adffaces,libcloud,wicket,hcatalog,stratos,tinkerpop,johnzon,falcon,slider,carbondata,fluo,atlas,directory,kitty,edgent,aurora,sirona,warble,openmeetings,bloodhound,unomi,harmony,gobblin,bigtop,nuvem,syncope,empire,xmlbeans,oodt,jdo,roller,olio,esme,qpid,click,isis,mod_ftp,abdera,felix,gora,openaz,oltu,marmotta,lokahi,synapse,deltaspike,pig,mnemonic,heraldry,derby,chukwa,dolphinscheduler,cassandra,omid,agila,storm,ignite,zeppelin,streams,pdfbox,plc4x,phoenix,ant,lucenenet,triplesoup,iceberg,flume,manifoldcf,griffin,crunch,depot,beam,celix,iota,geode,airavata,ace,any23,mynewt,ripple,druid,kylin,directmemory,stanbol,eagle,tez,spark,groovy,rocketmq,lenya,geronimo,commonsrdf,stonehenge,rcf,impala,netbeans,dubbo,ftpserver,cmda,oozie,apex,couchdb,servicemix,provisionr,parquet,hdt,samza,pubscribe,whirr,cxf,activemq,hudi,nmaven,openoffice,juddi,fineract,alois,ode,rave,commons,openjpa,pirk,olingo,aries,ivy,metamodel,flink,flex,beehive,cayenne,zipkin,struts,concerted,spamassassin,kudu,accumulo,calcite,socialsite,corinthia,ctakes,onami,sqoop,myfaces,nutch,muse,chemistry,reef,ofbiz,tapestry,subversion,kabuki
10,142,14,156,28,40,6,12,496,84,16,20,58,36,22,78,98,16,52,106,46,10,38,2,12,22,20,52,0,126,2,36,14,68,148,142,14,468,8,18,0,90,32,20,20,38,82,200,32,18,26,32,98,22,54,30,8,2,160,84,30,14,32,86,40,102,14,22,18,26,14,6,150,62,32,344,80,38,196,84,32,18,60,132,50,22,10,60,56,50,316,86,120,24,10,64,10,34,108,14,140,14,102,92,42,36,726,278,2,62,104,100,94,2,54,64,30,244,706,66,30,92,64,272,18,1220,122,28,0,32,26,30,62,124,18,182,0,44,16,144,118,20,2310,14,74,4,122,18,34,6,72,110,4,90,262,8,50,18,92,322,22,2,52,58,8,52,274,100,114,20,210,42,60,2,12,34,82,74,138,44,12,34,52,298,242,18,16,70,36,6,64,10,240,2,4,754,12,12,42,88,52,56,96,90,208,186,10,80,282,168,118,1282,86,40,0,10,516,214,14,8,8,476,198,80,14,62,24,76,2,8,250,58,68,10,1962,18,64,14,134,114,482,48,102,60,436,126,32,244,6056,0,232,78,1742,48,112,38,120,30,2,74,104,68,30,1506,0,18,52,36,0,222,542,10
26,116,34,306,28,72,4,32,468,30,32,14,38,2,6,36,100,8,32,60,48,10,46,2,4,4,12,20,20,26,14,48,10,110,110,258,32,272,36,10,4,80,86,28,10,8,52,122,2,62,6,38,68,8,166,36,34,40,98,62,50,42,32,130,28,82,0,72,56,66,6,8,66,50,22,314,106,20,360,40,92,18,86,52,82,36,16,32,28,276,398,152,74,2,6,60,26,80,112,28,96,2,14,134,104,82,218,276,66,78,154,76,108,8,86,60,18,100,1196,132,38,166,22,260,6,268,106,14,8,66,156,32,20,54,8,106,76,36,0,180,92,30,358,6,106,12,108,24,102,14,24,152,10,86,250,22,130,0,70,126,30,0,18,100,14,124,310,40,50,6,442,70,8,172,22,14,204,40,118,30,0,46,202,184,102,20,10,152,34,10,36,28,392,2,8,580,86,12,18,38,32,108,152,58,22,186,12,290,288,176,198,504,68,112,0,50,336,162,8,12,72,480,234,176,12,64,34,14,18,4,284,68,86,4,2004,0,56,16,94,226,594,30,76,28,190,44,78,326,3080,76,182,44,1322,8,2640,56,112,32,0,60,48,70,58,1442,370,6,40,62,102,-1,1098,-1
34,148,36,440,14,58,48,8,484,54,14,6,34,20,40,44,32,0,4,58,22,10,10,12,54,8,58,84,12,54,20,18,0,64,106,254,24,434,32,0,92,82,182,20,16,22,56,166,0,72,8,82,46,130,198,30,52,18,148,52,20,40,14,60,0,46,2,38,50,40,6,4,152,86,12,188,178,10,250,4,100,8,52,66,70,124,40,14,30,448,190,46,48,0,34,18,32,110,46,52,36,12,22,48,60,76,78,278,66,48,156,248,100,2,152,64,18,90,1210,100,102,302,52,268,20,182,134,28,54,52,204,30,30,16,10,164,96,8,8,178,34,40,192,6,24,12,84,12,22,2,86,140,34,118,282,54,74,0,50,194,6,38,8,52,0,102,178,72,16,40,146,42,116,58,12,6,478,96,292,16,14,20,234,192,264,12,142,118,18,18,54,48,276,10,38,362,58,28,34,26,34,102,164,42,100,182,34,578,432,188,128,252,14,88,0,104,218,224,22,48,140,812,158,268,52,80,14,20,6,10,232,252,94,10,1836,10,46,8,102,62,466,82,70,48,126,40,38,222,1534,104,166,34,2128,54,3322,114,124,64,0,68,96,68,44,1598,402,2,10,30,692,-1,-1,-1
24,126,52,600,6,28,16,6,356,20,0,0,16,10,50,8,38,2,4,32,40,12,26,6,94,2,0,32,8,94,22,46,0,72,88,182,10,390,64,4,94,62,188,2,42,0,44,150,14,60,6,72,72,148,190,34,60,0,174,24,10,22,20,32,14,38,2,42,90,16,20,8,126,72,40,164,170,12,154,72,48,14,48,76,30,50,8,32,4,428,196,144,132,0,68,24,32,14,50,86,56,-1,38,72,58,78,56,228,146,40,170,286,60,2,174,62,0,174,1552,134,68,266,38,320,26,252,124,8,14,54,210,16,26,20,16,38,102,14,0,252,20,4,198,12,64,6,70,16,46,8,58,188,50,136,238,46,22,4,48,118,44,12,6,66,16,90,206,108,26,4,472,46,34,66,4,36,486,130,358,14,16,10,342,106,126,0,46,128,30,2,44,16,548,0,8,344,66,0,84,156,50,148,154,78,78,168,16,632,288,174,146,578,8,116,0,86,116,208,4,2,128,588,262,282,2,34,10,20,24,10,188,524,56,0,1598,10,158,0,66,68,946,132,16,24,158,36,24,360,696,62,174,8,1752,8,2676,110,66,64,0,46,122,88,54,1866,266,2,8,46,520,-1,-1,-1
28,156,38,482,2,88,10,12,352,12,2,8,14,34,44,4,14,4,8,52,16,2,38,28,114,10,42,32,0,40,10,66,4,104,42,186,14,360,102,2,36,26,302,6,36,12,100,174,24,50,18,66,32,136,226,16,44,22,272,32,48,30,18,70,22,62,20,42,64,26,16,22,166,34,30,368,102,18,224,82,160,8,164,72,64,56,20,60,4,450,224,250,146,0,70,44,14,80,190,74,74,-1,18,18,80,102,76,264,196,70,160,178,80,0,150,138,32,168,1400,100,88,266,72,382,24,304,96,22,16,26,406,40,26,28,16,62,102,6,2,432,44,14,272,16,38,2,40,2,58,28,72,260,36,62,384,48,54,6,38,86,34,38,28,54,16,82,64,72,8,2,440,40,58,326,6,12,710,200,462,0,6,8,-1,176,112,4,32,124,28,40,72,18,444,4,30,248,32,12,42,116,24,114,292,38,70,146,18,768,178,66,208,134,12,140,2,224,204,178,0,4,72,704,430,296,8,48,14,16,8,14,148,488,56,26,2008,12,116,2,76,104,-1,58,14,54,194,56,34,298,934,118,112,88,-1,12,2238,136,130,76,0,24,86,-1,62,1458,-1,8,8,38,452,-1,-1,-1
22,120,38,636,18,48,10,36,114,22,0,12,4,0,86,46,36,0,2,24,44,6,16,8,116,6,76,60,4,62,14,36,2,160,34,250,12,292,34,8,42,30,280,40,86,10,84,74,6,78,6,60,42,128,148,30,28,12,506,126,42,14,16,174,26,34,6,42,-1,38,2,58,184,18,10,372,64,28,266,36,90,8,80,70,20,54,8,6,0,-1,208,312,68,0,38,50,0,72,134,60,106,-1,30,82,102,120,164,-1,154,40,158,138,66,2,142,162,36,158,1890,106,110,296,232,346,58,280,76,10,12,76,242,6,40,16,22,28,158,6,0,296,44,12,302,30,26,8,32,26,94,44,60,222,50,62,256,36,40,10,50,136,24,14,48,34,24,74,206,94,2,114,422,12,32,498,0,16,524,352,610,54,40,10,-1,146,54,0,64,68,36,34,40,50,356,2,4,380,64,32,64,104,16,70,224,16,50,68,14,1044,410,120,264,226,2,148,0,266,186,176,16,0,134,640,370,328,2,2,22,54,10,16,164,604,132,28,1648,30,176,2,92,102,-1,116,6,64,150,62,34,486,1238,112,196,28,-1,-1,-1,194,-1,46,0,42,136,-1,64,-1,-1,14,34,12,420,-1,-1,-1
8,112,18,464,24,68,0,26,110,42,0,16,12,58,20,16,24,6,4,60,18,12,14,6,72,0,54,66,6,30,6,58,4,144,16,358,10,434,8,16,104,86,284,32,48,10,88,164,20,110,0,48,44,80,262,28,12,4,566,34,36,32,4,138,26,46,16,76,-1,30,0,58,384,18,34,280,100,52,176,16,54,4,104,96,38,100,6,2,34,-1,204,274,64,0,18,80,2,54,80,32,56,-1,70,42,206,118,86,-1,206,4,210,146,42,2,280,120,54,162,1806,106,156,256,48,448,66,256,94,20,20,40,184,4,40,46,24,30,118,18,0,462,86,4,184,6,42,14,46,22,40,32,-1,234,30,50,146,150,32,0,32,148,8,6,2,26,4,84,218,150,40,104,606,16,174,334,0,32,1146,326,570,8,20,24,-1,152,112,-1,62,118,74,8,74,26,204,10,20,404,32,26,28,214,34,86,222,10,188,94,38,2250,380,114,252,152,14,136,-1,344,306,84,2,0,218,818,352,384,6,42,20,112,-1,70,252,594,168,20,1824,-1,48,0,60,118,-1,78,26,146,122,32,18,-1,1094,64,182,68,-1,-1,-1,-1,-1,92,0,58,94,-1,70,-1,-1,-1,102,46,550,-1,-1,-1
14,166,24,332,6,44,24,22,198,40,28,16,10,46,34,12,36,28,0,50,24,40,12,10,110,34,42,56,4,46,0,28,16,124,42,246,20,426,22,0,-1,76,224,62,22,8,140,190,12,90,2,54,46,64,184,26,10,22,526,66,36,14,12,44,24,18,2,24,-1,18,0,56,190,16,24,-1,106,36,706,12,82,12,116,74,112,46,50,0,40,-1,158,256,186,12,6,44,6,90,146,12,50,-1,102,78,202,106,64,-1,318,2,214,244,50,4,176,46,84,74,2778,126,260,204,34,-1,2,518,292,14,60,72,346,26,30,20,0,36,112,12,0,420,100,20,360,18,138,8,98,8,52,92,-1,300,2,104,272,84,40,8,14,246,16,2,14,40,2,76,170,82,10,20,492,12,190,346,18,0,586,448,452,20,24,58,-1,62,38,-1,66,226,48,2,-1,6,568,0,20,740,96,36,118,118,22,126,290,94,76,244,56,-1,-1,186,188,168,18,102,-1,402,568,122,2,8,102,-1,546,450,-1,58,6,50,-1,64,256,478,192,20,1734,-1,88,-1,132,132,-1,156,32,-1,76,28,6,-1,758,106,192,62,-1,-1,-1,-1,-1,120,0,112,-1,-1,126,-1,-1,-1,96,54,-1,-1,-1,-1
46,250,10,370,14,44,22,12,114,52,32,12,18,10,52,0,26,6,6,98,54,92,18,10,126,16,42,50,2,110,4,52,2,32,14,312,8,386,56,0,-1,116,140,32,36,8,-1,58,14,76,18,54,26,130,160,14,22,8,512,70,32,16,20,90,18,28,22,28,-1,26,0,8,-1,12,38,-1,122,32,380,18,80,4,120,60,28,130,62,12,0,-1,574,340,196,0,26,54,26,116,88,12,78,-1,12,42,-1,134,88,-1,144,54,190,212,28,10,224,106,6,412,3174,80,54,246,12,-1,34,798,232,16,26,34,-1,4,20,60,10,36,100,8,0,224,96,0,780,30,118,4,-1,2,76,-1,-1,206,34,80,244,46,56,0,16,196,40,2,18,76,0,82,256,50,12,14,656,8,222,782,0,44,502,484,764,20,30,38,-1,162,134,-1,168,158,12,26,-1,4,640,6,14,516,62,16,68,82,16,104,346,70,106,148,28,-1,-1,-1,400,-1,0,100,-1,276,162,168,10,40,112,-1,-1,398,-1,174,18,24,-1,36,280,450,236,20,2734,-1,174,-1,56,90,-1,158,-1,-1,88,10,24,-1,766,144,-1,-1,-1,-1,-1,-1,-1,76,-1,0,-1,-1,-1,-1,-1,-1,-1,68,-1,-1,-1,-1
46,284,2,278,34,104,58,12,114,124,38,16,2,6,14,12,24,6,0,30,34,60,16,2,132,6,26,16,6,30,2,24,2,42,72,378,16,534,50,8,-1,88,226,0,20,4,-1,66,14,-1,0,94,16,148,148,42,10,34,542,278,76,34,62,38,14,44,22,68,-1,16,0,6,-1,30,48,-1,140,22,224,28,94,0,70,20,28,48,84,10,0,-1,336,162,220,0,16,56,2,62,138,34,66,-1,20,134,-1,118,140,-1,232,4,156,510,42,0,308,90,28,236,-1,108,-1,280,70,-1,30,-1,114,18,40,72,-1,24,66,28,2,38,152,2,0,150,118,34,712,14,66,6,-1,28,-1,-1,-1,306,20,108,142,86,10,0,24,168,24,6,6,68,0,106,66,130,2,-1,422,38,120,474,6,34,558,-1,570,12,58,34,-1,80,98,-1,290,306,20,16,-1,-1,-1,4,0,516,80,16,-1,94,16,110,-1,-1,98,52,98,-1,-1,-1,438,-1,0,52,-1,270,342,330,0,0,136,-1,-1,342,-1,-1,44,76,-1,34,502,482,188,18,3398,-1,80,-1,92,168,-1,326,-1,-1,206,80,16,-1,1782,116,-1,-1,-1,-1,-1,-1,-1,214,-1,12,-1,-1,-1,-1,-1,-1,-1,134,-1,-1,-1,-1
