openwebbeans,jena,shindig,sanselan,skywalking,stdcxx,wave,tajo,ratis,mrunit,hama,xap,datasketches,awf,tamaya,devicemap,horn,s4,freemarker,ambari,samoa,singa,guacamole,sis,wookie,tashi,shardingsphere,allura,imperius,myriad,wink,airflow,daffodil,cordova,madlib,photark,trafficserver,asterixdb,amaterasu,helix,mrql,river,pivot,batchee,deltacloud,gearpump,pinot,weex,droids,jspwiki,twill,kato,tephra,tuscany,systemml,clerezza,graffito,juneau,openwhisk,gossip,odf,mesos,quickstep,curator,blur,vxquery,bluesky,apisix,bval,lucy,nifi,predictionio,knox,trafodion,buildr,usergrid,taverna,joshua,ariatosca,superset,kalumet,ibatis,hawq,jackrabbit,thrift,juice,climate,sentry,echarts,zeta,shiro,vcl,opennlp,cotton,tvm,pulsar,lens,uima,drill,jclouds,trafficcontrol,htrace,sling,s2graph,kafka,yoko,hise,solr,bookkeeper,npanday,metron,cloudstack,brooklyn,servicecomb,adffaces,libcloud,wicket,hcatalog,stratos,tinkerpop,johnzon,falcon,slider,carbondata,fluo,iotdb,atlas,rya,directory,kitty,edgent,aurora,warble,openmeetings,bloodhound,unomi,harmony,gobblin,bigtop,nuvem,syncope,empire,ranger,xmlbeans,oodt,jdo,tika,roller,olio,esme,qpid,click,isis,mod_ftp,abdera,felix,datafu,gora,openaz,oltu,marmotta,lokahi,synapse,deltaspike,etch,pig,mnemonic,heraldry,derby,chukwa,dolphinscheduler,cassandra,omid,agila,sirona,ignite,zeppelin,streams,pdfbox,plc4x,phoenix,ant,lucenenet,triplesoup,iceberg,flume,manifoldcf,griffin,crunch,depot,beam,celix,iota,geode,airavata,ace,any23,mynewt,ripple,druid,kylin,directmemory,stanbol,tez,spark,groovy,rocketmq,lenya,geronimo,commonsrdf,stonehenge,rcf,impala,netbeans,dubbo,giraph,ftpserver,cmda,oozie,apex,couchdb,servicemix,provisionr,parquet,hdt,samza,pubscribe,whirr,cxf,activemq,hudi,openoffice,juddi,nmaven,fineract,alois,rave,commons,openjpa,pirk,olingo,aries,ivy,metamodel,flink,ode,flex,eagle,beehive,cayenne,struts,concerted,spamassassin,kudu,accumulo,storm,calcite,socialsite,corinthia,ctakes,onami,sqoop,myfaces,nutch,muse,chemistry,reef,ofbiz,zipkin,tapestry,subversion,kabuki
12,144,168,28,6,12,538,84,16,20,58,36,22,80,108,16,54,106,46,10,42,2,12,22,52,0,126,56,14,68,148,146,18,472,8,18,0,32,26,20,38,200,18,26,34,100,2,24,32,54,30,8,2,166,86,36,14,38,102,40,120,14,22,18,26,14,6,154,64,34,346,80,38,202,32,80,140,50,10,60,56,66,336,90,122,24,10,66,16,34,108,16,142,14,102,92,58,42,726,322,2,62,124,90,106,94,2,56,64,30,248,716,66,30,92,64,276,18,1220,124,32,0,32,28,30,90,62,40,126,18,186,0,16,158,118,20,2312,14,84,4,124,18,22,34,6,72,20,114,8,90,272,8,50,18,92,324,20,26,2,52,72,20,56,292,14,106,114,26,232,42,60,2,12,34,44,74,140,44,12,40,52,298,242,18,16,80,36,10,72,14,256,2,4,796,12,12,42,90,52,58,98,90,208,10,84,298,184,118,1316,86,40,0,10,516,216,82,14,8,16,484,280,82,14,62,24,78,2,8,288,60,70,2160,18,10,66,14,138,494,48,102,60,436,130,32,244,134,6164,190,0,238,1802,48,126,40,124,82,34,4,74,104,72,32,1564,0,18,60,36,0,80,250,594,10
26,116,332,32,4,32,410,40,32,16,38,2,8,34,100,8,30,62,48,8,42,2,4,10,24,20,34,42,10,110,114,262,28,278,36,10,4,98,26,6,14,114,66,12,52,74,14,6,2,188,38,34,40,92,60,36,44,18,122,28,76,2,74,58,66,12,8,54,56,24,326,138,20,366,96,66,62,86,32,24,30,306,406,158,76,2,14,58,22,88,114,30,94,2,18,134,82,92,208,278,70,76,144,38,96,108,8,114,58,18,136,1250,142,44,210,22,250,6,292,122,16,10,68,178,32,86,20,74,54,8,100,76,0,184,100,32,364,6,102,20,118,26,36,104,14,32,26,168,10,96,278,26,132,0,60,134,16,26,0,18,88,2,130,276,40,38,50,6,458,74,8,188,22,14,26,42,114,26,2,42,234,214,104,20,12,142,34,10,34,28,418,2,8,548,94,22,18,26,32,118,164,56,28,14,338,328,184,230,478,64,116,0,84,344,200,50,8,30,90,500,208,182,12,84,30,20,18,4,272,70,98,1874,0,4,54,16,216,618,50,76,26,212,44,78,362,96,3036,234,94,188,1538,8,2954,70,116,312,32,0,62,50,70,56,1506,424,6,38,64,260,44,-1,1226,-1
34,156,448,12,54,12,478,38,14,2,38,20,48,42,32,0,4,48,22,10,12,8,80,2,86,12,30,28,0,64,102,276,24,452,80,0,116,206,26,22,16,166,64,2,70,52,34,166,6,192,30,52,18,156,42,20,42,14,58,0,42,2,48,48,40,6,4,122,80,10,198,208,14,250,96,80,62,66,30,22,22,504,216,44,98,0,52,18,34,106,46,54,46,12,28,50,74,72,108,284,76,66,166,48,238,106,2,144,74,14,40,1372,92,106,300,62,270,22,206,142,22,58,52,210,24,132,34,58,14,10,158,108,8,190,34,38,186,6,30,10,70,12,124,36,2,82,52,138,34,128,314,62,72,2,62,168,6,6,42,6,64,0,104,170,64,94,16,42,130,34,122,68,12,14,6,110,314,20,16,24,256,186,308,12,186,142,22,18,54,48,380,10,38,414,56,18,34,42,34,146,166,42,110,32,600,422,182,110,406,14,132,0,88,216,216,60,24,44,126,818,180,278,50,68,14,16,6,14,234,306,88,1916,10,8,104,8,68,496,96,68,42,142,42,38,244,102,1532,140,88,166,2170,54,3520,112,130,402,64,0,66,98,82,42,1738,372,2,16,28,676,38,-1,-1,-1
24,128,658,6,10,8,444,10,0,0,12,22,40,8,38,2,6,32,40,12,34,8,94,2,36,14,98,40,0,102,90,190,10,416,64,4,94,188,6,40,0,180,64,10,74,68,12,138,20,228,34,74,0,224,26,22,24,20,60,22,44,2,38,88,16,26,8,146,76,40,196,138,4,142,66,82,84,62,14,34,4,436,242,164,90,0,60,50,32,16,68,84,68,-1,36,76,54,110,40,236,184,30,186,54,320,62,2,180,76,8,196,1660,152,60,306,38,332,30,284,138,28,8,52,280,18,48,40,46,24,16,50,90,2,344,22,2,264,14,58,2,56,16,50,38,8,84,10,218,58,102,274,44,34,8,34,128,12,44,2,6,56,22,96,192,44,94,26,0,524,64,26,128,4,34,14,152,378,2,8,4,306,114,110,0,32,128,38,10,42,20,532,2,16,312,66,2,94,164,50,98,196,82,92,22,724,280,174,154,390,8,148,0,152,184,202,78,2,2,140,584,336,322,2,32,10,20,22,6,170,546,58,1760,14,2,122,0,92,952,122,16,30,202,44,24,358,60,968,174,78,186,1732,0,2820,122,64,628,74,0,46,108,-1,58,1880,302,4,6,56,458,18,-1,-1,-1
32,160,542,4,10,16,290,16,2,12,14,26,66,16,28,4,4,56,16,2,28,30,148,12,54,2,32,74,4,156,52,228,16,340,60,2,34,312,4,44,14,136,48,18,86,32,32,164,22,236,22,22,30,354,32,40,32,18,102,14,58,18,48,70,44,10,40,192,34,30,378,118,18,258,174,134,54,46,16,38,4,-1,198,356,144,0,74,24,6,134,190,76,72,-1,10,34,94,110,98,298,176,76,176,102,204,110,0,166,160,36,188,1454,92,128,268,106,390,26,300,110,0,16,44,420,34,12,12,100,20,12,52,138,0,374,44,16,330,16,34,6,42,10,58,74,30,58,52,254,50,36,360,44,46,2,60,112,8,40,44,32,56,6,58,44,16,66,10,52,488,20,70,312,6,10,6,188,620,4,32,6,-1,168,94,4,44,110,32,44,76,12,408,4,22,292,32,14,74,114,24,132,284,6,60,12,874,178,84,244,172,20,132,2,190,154,198,94,0,4,74,754,484,306,8,50,14,22,8,14,186,526,64,1888,14,32,102,2,120,-1,86,14,50,176,68,40,338,80,1038,122,116,132,-1,-1,2380,182,168,722,78,0,22,86,-1,72,-1,-1,8,20,28,442,88,-1,-1,-1
20,132,600,32,10,46,130,30,0,12,6,6,58,48,14,6,2,22,56,6,8,8,110,0,44,8,62,46,2,104,22,294,14,392,24,16,68,276,44,86,8,74,84,2,48,54,0,102,8,178,36,30,6,602,124,44,14,12,204,18,40,18,54,-1,18,2,52,182,20,16,350,94,38,230,84,64,80,32,6,0,34,-1,238,290,78,0,32,86,0,42,190,62,112,-1,80,74,124,122,170,-1,210,28,196,22,112,40,2,172,150,50,158,1900,122,118,332,176,402,72,298,62,10,18,62,268,8,46,56,34,20,22,30,158,0,358,82,8,280,26,30,8,32,24,110,88,42,60,66,246,44,74,250,60,38,10,22,170,10,6,12,42,32,28,106,284,38,154,42,120,554,12,84,516,0,18,16,420,600,56,10,14,-1,170,76,0,54,84,52,12,20,58,286,0,2,450,50,44,34,202,10,54,216,10,74,32,1506,536,100,260,210,0,150,0,284,254,160,70,16,0,184,926,296,350,2,6,28,100,16,34,198,602,140,2238,-1,24,178,2,98,-1,114,12,110,138,50,32,734,100,1134,68,98,200,-1,-1,-1,182,-1,858,28,0,42,146,-1,62,-1,-1,14,40,20,474,34,-1,-1,-1
10,112,420,0,0,24,130,50,24,18,14,70,14,4,32,6,4,78,4,18,20,0,70,34,80,0,34,54,2,174,42,232,10,426,16,8,114,280,44,50,14,220,116,0,66,42,6,88,12,220,16,14,24,634,28,32,30,8,64,32,34,4,50,-1,16,0,72,370,16,40,-1,94,48,280,68,134,82,34,22,2,40,-1,198,218,98,0,10,62,2,56,68,24,58,-1,100,48,278,136,70,-1,274,4,158,22,226,36,2,296,90,56,124,2024,94,188,212,32,414,32,278,240,20,36,74,262,26,80,22,60,48,20,24,104,0,512,78,14,206,22,116,12,72,22,66,40,48,-1,58,234,16,96,192,148,34,0,34,114,6,10,6,12,30,0,40,176,28,122,0,56,582,12,198,444,12,26,16,368,510,6,18,38,-1,140,94,-1,90,166,74,6,94,8,398,10,22,522,22,22,70,136,52,80,278,90,202,44,-1,-1,198,230,160,14,134,-1,418,372,120,144,0,0,182,-1,486,450,-1,58,14,86,-1,70,246,640,198,1450,-1,14,50,4,146,-1,134,44,130,106,34,4,-1,96,1026,212,90,186,-1,-1,-1,-1,-1,940,116,0,106,138,-1,128,-1,-1,-1,94,48,-1,84,-1,-1,-1
44,234,380,6,24,18,166,38,36,20,16,26,52,12,38,28,0,46,52,102,12,18,122,0,44,4,80,56,16,80,20,292,18,466,42,0,-1,200,72,38,2,158,82,14,32,46,10,98,20,168,16,22,4,486,86,38,12,14,76,34,32,4,38,-1,18,0,14,-1,14,40,-1,126,44,688,80,86,70,114,56,12,0,-1,282,244,170,12,26,58,26,124,138,6,42,-1,48,78,-1,76,66,-1,232,30,236,14,210,38,12,180,34,78,216,3270,126,204,220,36,-1,18,696,224,28,40,50,356,6,104,30,36,30,10,48,134,0,360,100,6,622,12,80,10,-1,6,80,64,-1,-1,54,294,20,80,322,54,48,8,12,322,6,32,2,16,36,0,74,174,12,62,10,4,612,14,194,718,0,6,8,524,510,36,32,48,-1,78,84,-1,176,212,26,8,-1,2,696,6,24,652,98,40,100,82,0,120,332,64,82,24,-1,-1,142,308,236,18,98,-1,328,444,140,-1,6,24,112,-1,-1,450,-1,70,8,38,-1,58,340,462,244,2488,-1,24,176,-1,102,-1,162,-1,-1,82,10,20,-1,96,940,182,160,-1,-1,-1,-1,-1,-1,584,120,-1,56,-1,-1,-1,-1,-1,-1,128,68,-1,-1,-1,-1,-1
48,312,298,44,74,16,174,124,14,10,14,8,38,2,22,6,6,96,60,44,20,0,118,16,26,2,92,32,4,26,52,320,12,482,32,0,-1,158,0,12,10,58,94,6,78,20,2,154,16,170,22,8,24,576,112,58,44,44,58,16,34,26,56,-1,26,0,10,-1,34,36,-1,110,8,338,122,140,46,16,74,2,0,-1,628,324,316,0,14,42,2,122,58,22,72,-1,12,92,-1,162,76,-1,198,30,202,18,454,44,2,290,142,22,364,3194,90,-1,274,72,-1,40,646,222,2,40,56,-1,4,108,52,64,60,0,18,124,0,226,132,32,744,36,116,6,-1,20,116,118,-1,-1,30,318,18,120,174,100,48,0,34,206,4,34,6,10,100,0,104,254,8,58,10,-1,606,30,198,466,0,74,0,486,842,10,42,24,-1,148,148,-1,138,222,18,30,-1,-1,-1,4,2,538,76,4,-1,96,22,116,330,-1,68,34,-1,-1,-1,490,-1,0,82,-1,276,88,286,-1,6,20,112,-1,-1,394,-1,212,34,70,-1,34,340,460,168,2324,-1,10,120,-1,150,-1,194,-1,-1,164,40,28,-1,76,1626,136,84,-1,-1,-1,-1,-1,-1,614,74,-1,12,-1,-1,-1,-1,-1,-1,-1,102,-1,-1,-1,-1,-1
64,268,526,4,28,10,118,112,66,34,4,0,30,8,24,8,12,44,4,52,4,10,142,6,12,6,166,14,2,58,62,272,18,726,54,8,-1,226,2,38,2,120,-1,0,80,26,0,110,4,144,38,22,22,422,332,74,40,38,58,6,34,28,50,-1,26,2,4,-1,4,48,-1,140,-1,316,54,30,16,28,60,8,2,-1,250,172,202,0,-1,76,6,18,206,58,144,-1,54,106,-1,132,224,-1,214,30,124,38,316,112,0,456,86,30,236,-1,108,-1,336,80,-1,82,-1,70,18,38,52,-1,30,100,68,140,46,6,46,198,0,214,104,34,666,4,94,6,-1,38,116,-1,-1,-1,18,228,44,122,168,36,20,0,22,150,4,24,0,18,-1,12,74,72,8,-1,28,-1,-1,20,110,564,8,10,20,-1,518,12,90,50,-1,72,90,-1,216,420,28,16,-1,-1,-1,2,18,548,74,12,-1,88,46,162,-1,-1,150,98,-1,-1,-1,298,-1,18,40,-1,240,546,284,-1,2,6,156,-1,-1,302,-1,-1,22,40,-1,80,756,494,234,4594,-1,42,102,-1,158,-1,342,-1,-1,222,-1,12,-1,96,-1,130,122,-1,-1,-1,-1,-1,-1,-1,230,-1,-1,-1,-1,-1,-1,-1,-1,-1,176,-1,-1,-1,-1,-1
