openwebbeans,jena,shindig,sanselan,skywalking,wave,tajo,ratis,mrunit,hama,datasketches,awf,tamaya,devicemap,ambari,singa,guacamole,wookie,tashi,shardingsphere,myriad,sis,airflow,daffodil,cordova,photark,asterixdb,amaterasu,helix,river,batchee,deltacloud,gearpump,pinot,droids,jspwiki,twill,kato,systemml,clerezza,horn,wink,s4,graffito,juneau,openwhisk,gossip,odf,mesos,curator,blur,imperius,bval,lucy,nifi,predictionio,knox,usergrid,taverna,ariatosca,madlib,hawq,jackrabbit,juice,climate,sentry,echarts,zeta,shiro,vcl,cotton,pulsar,jclouds,trafficcontrol,htrace,sling,kafka,yoko,tephra,hise,solr,bookkeeper,npanday,samoa,joshua,uima,brooklyn,servicecomb,adffaces,trafodion,libcloud,wicket,vxquery,tinkerpop,johnzon,falcon,slider,carbondata,fluo,iotdb,stdcxx,rya,directory,kitty,edgent,kalumet,warble,openmeetings,allura,unomi,gobblin,bigtop,nuvem,empire,oodt,tika,bluesky,roller,olio,quickstep,qpid,click,xmlbeans,mod_ftp,abdera,felix,isis,datafu,gora,openaz,oltu,marmotta,esme,superset,metron,deltaspike,etch,s2graph,pig,mnemonic,heraldry,bloodhound,stratos,derby,chukwa,dolphinscheduler,agila,drill,sirona,ignite,zeppelin,pdfbox,plc4x,lokahi,omid,ant,lucenenet,triplesoup,synapse,flume,mrql,griffin,aurora,depot,iceberg,apisix,celix,iota,freemarker,geode,ace,any23,mynewt,weex,ibatis,harmony,ripple,druid,kylin,directmemory,atlas,spark,groovy,rocketmq,lenya,geronimo,commonsrdf,stonehenge,rcf,netbeans,dubbo,giraph,tuscany,beam,cmda,oozie,tez,couchdb,servicemix,streams,manifoldcf,stanbol,whirr,ranger,impala,cxf,activemq,hudi,hdt,juddi,nmaven,cassandra,fineract,pubscribe,thrift,trafficserver,parquet,rave,openjpa,pirk,airavata,cloudstack,olingo,alois,apex,commons,samza,ivy,ftpserver,metamodel,buildr,eagle,crunch,aries,pivot,hcatalog,kudu,provisionr,ode,accumulo,calcite,socialsite,openoffice,tvm,xap,concerted,jdo,ctakes,onami,corinthia,syncope,sqoop,myfaces,lens,nutch,flink,opennlp,struts,muse,beehive,storm,reef,chemistry,cayenne,flex,ofbiz,spamassassin,zipkin,phoenix,tapestry,subversion,kabuki
22,176,282,32,8,774,92,16,24,58,22,80,130,18,10,4,12,52,12,130,104,22,254,26,544,18,74,34,20,224,26,50,122,10,32,154,38,20,116,40,54,182,116,22,38,154,48,154,14,40,42,16,70,38,468,122,42,104,176,16,32,412,152,24,10,100,20,54,156,18,14,118,396,20,74,172,130,136,32,4,70,76,34,42,86,78,96,48,152,400,66,382,14,142,36,4,56,76,40,102,28,56,130,20,220,56,16,236,70,22,14,126,10,28,10,22,12,148,10,42,314,14,66,18,108,368,56,30,32,2,54,82,102,80,274,376,24,92,120,118,28,172,1314,456,58,60,34,772,46,80,178,12,54,20,14,410,258,22,84,136,40,14,36,16,22,158,2,6,56,1022,12,44,92,24,170,2390,60,106,176,106,72,154,352,236,184,1432,86,40,0,684,292,104,184,464,12,52,12,322,158,54,50,210,10,38,20,370,80,108,34,18,10,78,84,14,162,0,62,240,56,120,50,1156,62,16,608,698,84,134,18,54,42,270,76,454,58,22,56,14,162,160,42,4,2794,104,38,50,74,112,78,98,132,56,2122,102,92,338,178,2310,18,20,136,56,72,296,7616,0,1450,80,98,294,890,10
38,182,538,30,48,526,74,40,16,58,44,46,64,6,16,12,52,88,12,60,110,10,314,26,472,10,204,20,16,206,12,92,70,22,0,214,48,56,60,42,28,120,84,58,14,108,8,60,2,76,58,4,100,20,322,240,20,68,72,40,40,470,116,0,32,18,32,160,84,60,14,138,380,100,90,186,256,136,36,8,190,100,28,52,78,90,154,110,362,370,62,318,12,176,30,56,66,284,34,122,26,92,48,10,176,42,8,252,36,58,10,66,16,22,10,62,6,196,36,76,362,64,100,0,76,222,164,14,22,38,10,102,132,22,106,248,50,36,74,44,40,52,232,338,90,120,20,224,12,104,304,14,30,2,22,282,290,26,158,164,20,20,126,60,110,158,10,42,46,524,30,38,20,130,590,422,44,142,202,60,38,744,556,244,234,554,52,158,0,320,252,66,174,384,64,156,42,272,324,30,26,100,10,126,146,316,252,120,28,10,10,172,54,8,72,92,128,120,76,96,104,1636,48,18,906,674,22,52,24,62,160,242,58,240,80,18,132,54,126,154,74,0,2456,22,20,54,88,114,102,74,140,58,2138,78,646,360,68,2610,8,162,592,52,40,242,2578,722,4516,58,344,-1,-1,-1
32,170,764,6,20,502,20,0,2,20,54,14,38,2,12,8,166,46,14,102,126,2,276,14,508,4,310,12,50,236,10,92,72,24,32,320,40,78,40,30,8,108,56,38,22,96,22,62,6,94,16,4,88,40,294,210,14,120,100,18,136,292,196,0,92,54,32,16,90,96,-1,78,374,212,62,206,384,84,0,2,216,106,22,48,62,132,176,106,400,240,60,420,26,166,30,16,58,394,24,90,10,58,34,18,56,4,2,426,66,6,14,76,6,18,10,10,8,258,66,52,454,62,56,10,60,134,44,14,52,12,10,76,152,94,252,248,76,94,142,26,4,32,338,590,70,42,42,86,14,200,490,16,18,22,4,170,214,0,108,172,2,12,120,28,128,160,2,28,44,428,10,94,174,210,638,330,50,176,280,84,46,960,372,200,214,610,8,172,2,236,236,94,292,692,4,166,32,514,406,14,42,104,14,56,204,224,676,80,18,16,14,198,208,26,164,122,58,98,160,16,74,2150,40,2,720,-1,24,64,4,36,98,202,64,266,64,34,134,2,74,110,86,0,2276,56,28,8,86,128,-1,46,84,64,2482,86,366,440,84,-1,4,118,778,60,12,208,1236,698,3796,36,422,-1,-1,-1
24,212,796,18,8,294,24,2,18,16,102,54,38,2,2,32,162,62,2,70,166,12,320,20,392,8,336,36,100,128,18,88,46,24,16,222,32,28,130,52,4,62,50,20,24,152,28,56,22,-1,50,2,22,26,552,148,22,166,88,12,56,304,424,0,62,60,6,154,236,90,-1,84,-1,244,82,214,170,110,36,2,220,218,52,30,46,150,128,136,364,320,254,452,10,116,10,22,78,408,32,30,38,94,20,22,68,0,0,476,74,18,32,32,10,26,60,88,56,330,58,70,332,58,128,10,66,198,54,16,34,44,64,50,68,8,186,168,36,86,120,10,114,56,356,632,18,74,16,194,8,350,860,44,12,24,6,228,72,4,84,130,16,54,190,46,80,240,4,6,28,440,34,80,150,190,-1,452,28,94,318,16,48,1348,464,146,354,296,20,170,2,200,266,118,534,490,2,134,12,532,422,56,36,82,16,94,328,244,816,146,22,34,36,584,196,12,144,54,32,144,124,12,68,2326,80,2,900,-1,58,80,12,44,194,154,66,198,76,66,258,8,120,-1,78,0,2478,32,18,-1,78,142,-1,42,56,96,-1,118,-1,562,118,-1,18,154,996,26,40,230,1510,556,-1,84,-1,-1,-1,-1
10,146,620,24,6,206,56,24,20,14,24,36,34,12,24,6,112,96,6,38,188,34,452,16,534,16,350,54,62,226,0,88,54,6,20,334,36,20,34,42,4,44,84,34,8,176,32,50,16,-1,32,4,18,46,-1,148,74,146,114,38,22,266,362,0,24,92,2,58,140,50,-1,56,-1,320,6,254,288,58,24,2,348,130,66,30,44,176,130,212,326,472,56,558,0,266,22,38,80,338,26,92,32,88,56,24,34,44,0,598,62,16,24,120,14,22,52,64,82,328,30,78,220,170,70,0,38,178,38,6,12,16,14,46,108,2,218,288,32,26,186,42,116,120,362,776,16,244,32,96,24,488,730,20,38,6,12,194,124,-1,122,184,14,12,142,30,96,398,10,28,34,692,30,82,246,106,-1,316,54,102,332,90,48,-1,-1,212,290,198,14,160,-1,526,138,170,808,468,0,270,60,564,598,10,88,206,76,116,470,310,764,214,30,-1,24,578,74,-1,122,134,64,156,158,44,32,2606,164,-1,-1,-1,132,46,4,18,78,232,96,158,144,66,-1,-1,122,-1,122,0,2356,150,74,-1,-1,158,-1,110,72,152,-1,320,-1,-1,80,-1,-1,98,1382,50,110,236,1380,-1,-1,90,-1,-1,-1,-1
50,322,492,18,30,202,50,36,22,22,60,0,42,28,102,18,180,58,10,132,86,16,408,20,584,0,228,72,42,166,18,54,58,10,26,204,16,24,86,48,6,28,104,24,22,114,38,34,20,-1,30,18,16,40,-1,158,38,158,76,66,64,594,458,0,28,66,26,150,140,16,-1,96,-1,268,54,292,312,54,8,12,254,114,80,18,120,148,144,206,306,710,34,-1,0,324,28,56,54,428,6,136,20,54,62,10,58,0,0,424,56,6,34,158,10,6,-1,60,20,350,34,42,350,62,80,8,20,368,58,8,48,2,20,66,94,12,420,284,14,16,76,14,14,112,932,808,16,280,16,112,8,656,956,52,48,0,0,164,126,-1,102,250,8,26,158,6,180,-1,6,24,66,756,40,114,106,152,-1,888,14,144,438,96,30,-1,-1,-1,458,-1,18,154,-1,462,196,-1,652,792,40,146,36,-1,580,36,32,120,64,124,408,418,650,296,20,-1,34,872,220,-1,276,-1,122,148,200,-1,122,4076,-1,-1,-1,-1,46,16,8,26,110,234,-1,98,108,36,-1,-1,122,-1,144,0,3452,44,30,-1,-1,-1,-1,36,-1,-1,-1,-1,-1,-1,88,-1,-1,176,820,78,-1,-1,1030,-1,-1,-1,-1,-1,-1,-1
74,394,514,38,72,206,152,70,34,10,20,18,24,8,74,2,186,16,6,166,60,6,424,22,772,8,278,0,38,128,0,116,28,2,16,204,54,20,348,104,12,88,36,54,66,54,14,58,38,-1,24,2,30,58,-1,198,-1,88,32,88,62,410,234,12,58,90,8,100,212,54,-1,138,-1,282,36,210,590,128,34,0,550,134,38,16,36,188,126,-1,384,338,130,-1,2,158,18,46,84,-1,30,110,22,144,64,6,50,2,0,242,34,38,14,130,10,38,-1,30,6,408,44,72,204,106,-1,0,36,242,30,4,32,6,20,-1,144,10,314,158,10,42,164,26,-1,140,-1,-1,44,180,72,194,20,-1,738,78,56,12,8,112,132,-1,118,488,4,20,220,-1,306,-1,4,6,52,666,16,-1,140,180,-1,932,22,168,-1,-1,104,-1,-1,-1,550,-1,18,52,-1,490,402,-1,644,-1,8,208,112,-1,474,12,20,148,80,112,286,832,692,228,44,-1,38,712,142,-1,350,-1,-1,206,390,-1,108,-1,-1,-1,-1,-1,92,-1,0,24,112,130,-1,308,-1,76,-1,-1,108,-1,254,0,4516,32,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,136,-1,-1,146,-1,192,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,272,714,6,60,280,-1,4,74,6,50,-1,22,28,52,12,224,14,2,202,38,2,276,14,-1,6,316,60,106,116,16,78,50,24,16,158,4,44,50,30,4,46,58,26,42,64,20,26,78,-1,68,20,14,62,-1,158,-1,94,52,108,46,472,322,0,-1,72,68,18,158,70,-1,102,-1,164,12,116,294,38,0,0,-1,182,36,44,30,186,226,-1,-1,426,126,-1,0,172,14,60,112,-1,28,174,30,94,186,12,14,2,0,320,68,22,28,90,4,40,-1,10,8,206,34,38,264,32,-1,0,32,298,32,2,42,58,58,-1,220,12,358,212,6,0,-1,12,-1,214,-1,-1,50,118,36,274,8,-1,1134,106,46,16,4,240,94,-1,52,-1,12,20,178,-1,62,-1,8,48,22,634,10,-1,256,90,-1,1128,52,178,-1,-1,152,-1,-1,-1,728,-1,18,50,-1,960,330,-1,568,-1,66,-1,84,-1,398,18,52,98,92,114,318,1048,664,320,0,-1,42,-1,224,-1,208,-1,-1,-1,-1,-1,96,-1,-1,-1,-1,-1,82,-1,20,34,62,240,-1,214,-1,84,-1,-1,216,-1,116,-1,4394,410,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,170,-1,-1,154,-1,206,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,406,434,4,188,148,-1,74,-1,4,64,-1,32,66,46,28,150,60,2,196,94,4,418,12,-1,10,-1,2,-1,28,8,104,46,0,8,188,42,22,144,84,16,26,40,20,54,178,16,28,72,-1,92,22,32,38,-1,156,-1,126,32,100,76,374,400,0,-1,50,42,24,152,38,-1,222,-1,230,16,148,370,14,32,6,-1,-1,26,22,28,144,248,-1,-1,396,78,-1,0,194,36,112,56,-1,-1,122,32,82,210,0,22,38,0,-1,56,30,18,-1,2,32,-1,22,110,318,14,12,206,64,-1,16,100,254,74,4,64,102,4,-1,134,16,502,92,28,8,-1,54,-1,-1,-1,-1,10,180,26,202,0,-1,1426,104,66,44,18,186,98,-1,120,-1,34,78,208,-1,286,-1,28,2,6,574,10,-1,268,120,-1,1470,54,144,-1,-1,50,-1,-1,-1,624,-1,46,22,-1,1172,-1,-1,644,-1,24,-1,390,-1,568,48,36,156,-1,94,348,844,-1,400,6,-1,16,-1,152,-1,202,-1,-1,-1,-1,-1,168,-1,-1,-1,-1,-1,132,-1,26,60,116,-1,-1,-1,-1,136,-1,-1,142,-1,210,-1,3076,398,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,754,26,-1,112,-1,44,-1,26,46,-1,36,68,84,18,180,46,6,142,18,0,334,14,-1,22,-1,20,-1,58,12,-1,20,80,24,256,12,0,124,82,0,94,48,10,-1,142,6,50,56,-1,46,12,2,158,-1,-1,-1,50,120,42,134,508,334,0,-1,46,18,6,108,80,-1,-1,-1,184,26,192,-1,50,0,2,-1,-1,28,18,40,188,262,-1,-1,180,92,-1,0,-1,22,118,48,-1,-1,154,28,58,-1,6,54,0,0,-1,94,6,38,-1,6,24,-1,10,24,182,20,20,204,-1,-1,-1,118,370,30,6,-1,30,32,-1,22,160,-1,312,6,6,-1,12,-1,-1,-1,-1,66,232,6,184,6,-1,-1,72,-1,0,2,132,160,-1,150,-1,2,70,460,-1,166,-1,12,12,130,428,2,-1,370,122,-1,1422,6,226,-1,-1,138,-1,-1,-1,-1,-1,0,12,-1,1614,-1,-1,586,-1,2,-1,-1,-1,456,52,50,258,-1,130,384,828,-1,-1,24,-1,82,-1,-1,-1,108,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,258,-1,44,58,-1,-1,-1,-1,-1,82,-1,-1,186,-1,310,-1,-1,76,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
