openwebbeans,jena,shindig,sanselan,skywalking,wave,tajo,ratis,mrunit,hama,datasketches,awf,tamaya,ambari,singa,guacamole,tashi,shardingsphere,myriad,sis,airflow,daffodil,cordova,photark,asterixdb,amaterasu,helix,river,batchee,deltacloud,gearpump,pinot,droids,jspwiki,twill,kato,systemml,clerezza,horn,wink,s4,graffito,juneau,gossip,odf,mesos,curator,blur,imperius,bval,lucy,nifi,predictionio,knox,usergrid,taverna,ariatosca,madlib,hawq,jackrabbit,juice,climate,sentry,echarts,zeta,shiro,vcl,cotton,pulsar,jclouds,trafficcontrol,htrace,kafka,yoko,tephra,hise,solr,bookkeeper,npanday,samoa,joshua,uima,brooklyn,servicecomb,adffaces,trafodion,libcloud,wicket,vxquery,tinkerpop,johnzon,falcon,slider,carbondata,fluo,iotdb,stdcxx,rya,openwhisk,directory,kitty,edgent,warble,openmeetings,allura,unomi,gobblin,bigtop,kalumet,nuvem,empire,oodt,tika,bluesky,roller,olio,quickstep,click,xmlbeans,devicemap,mod_ftp,abdera,felix,isis,datafu,gora,openaz,wookie,oltu,marmotta,esme,superset,metron,deltaspike,etch,s2graph,pig,mnemonic,heraldry,bloodhound,stratos,derby,chukwa,dolphinscheduler,sling,agila,drill,sirona,ignite,zeppelin,pdfbox,plc4x,lokahi,omid,ant,lucenenet,triplesoup,synapse,flume,mrql,griffin,aurora,iceberg,apisix,celix,iota,freemarker,geode,ace,any23,mynewt,weex,ibatis,harmony,druid,kylin,directmemory,atlas,spark,groovy,rocketmq,qpid,lenya,geronimo,commonsrdf,stonehenge,rcf,netbeans,dubbo,giraph,tuscany,beam,cmda,oozie,tez,couchdb,ripple,streams,manifoldcf,stanbol,whirr,ranger,impala,cxf,activemq,hudi,hdt,nmaven,cassandra,fineract,pubscribe,thrift,trafficserver,parquet,rave,openjpa,pirk,airavata,cloudstack,olingo,alois,apex,commons,samza,ivy,ftpserver,metamodel,buildr,eagle,crunch,aries,pivot,hcatalog,kudu,provisionr,ode,accumulo,calcite,socialsite,openoffice,tvm,servicemix,xap,concerted,depot,jdo,ctakes,onami,corinthia,syncope,sqoop,myfaces,lens,nutch,flink,opennlp,struts,muse,beehive,storm,reef,chemistry,cayenne,flex,ofbiz,spamassassin,juddi,zipkin,phoenix,tapestry,subversion,kabuki
22,180,324,32,8,796,96,18,24,58,22,80,130,14,4,12,16,130,104,22,282,26,570,18,74,34,20,224,26,50,126,10,32,158,38,34,118,40,66,188,118,22,38,48,156,14,44,52,16,70,38,472,126,42,104,176,16,44,438,162,24,10,100,20,56,156,18,14,122,404,26,74,132,138,34,4,76,84,34,44,90,78,100,48,156,412,66,388,14,142,36,4,56,76,40,110,30,60,164,132,20,220,16,258,70,30,14,128,56,10,28,16,22,12,164,10,52,14,90,24,18,108,378,56,30,38,2,56,54,84,102,84,274,386,26,92,120,118,28,172,1322,472,62,62,172,34,780,46,82,188,12,56,20,16,436,262,22,114,152,40,14,52,22,158,2,6,70,1022,12,44,94,28,176,2404,112,184,108,74,174,366,236,314,192,1438,88,40,0,688,292,104,184,484,12,52,16,344,60,54,50,214,10,40,26,378,82,120,34,10,90,84,14,162,0,62,248,56,120,64,1282,66,16,614,748,84,136,20,60,44,272,76,454,60,22,56,14,164,168,42,4,2840,104,168,38,50,16,76,120,78,98,136,56,2220,108,120,366,192,2404,18,32,144,66,74,312,7778,0,1632,18,80,132,296,966,10
38,190,550,30,54,578,72,32,16,60,54,48,64,16,12,74,12,60,114,10,360,26,470,10,238,26,22,208,12,94,66,26,6,244,50,52,60,36,22,132,82,62,14,8,54,2,76,56,4,100,20,324,278,24,92,74,40,82,462,114,0,62,18,34,158,86,66,14,134,404,110,100,276,126,36,8,196,98,28,42,74,98,152,112,390,400,70,332,12,198,32,60,66,296,34,152,24,90,102,48,10,176,8,250,44,52,10,66,42,20,22,2,62,6,190,36,88,70,78,0,2,90,222,164,12,16,42,86,10,106,134,28,116,232,70,66,94,36,42,56,252,328,86,126,190,22,238,12,112,328,16,40,2,20,276,324,26,154,180,24,20,132,186,158,10,42,34,578,30,38,44,166,640,392,170,218,52,40,770,584,248,404,228,706,48,206,0,302,268,70,180,466,64,166,36,268,44,32,26,110,14,132,148,352,316,118,26,10,192,108,8,114,120,130,96,100,92,72,1760,48,18,918,686,24,52,26,60,158,256,60,294,80,22,138,54,122,160,78,0,2454,32,364,20,54,60,86,112,106,74,142,58,2286,92,662,364,66,2800,4,156,622,40,38,246,2508,824,4784,10,66,330,-1,-1,-1
34,194,790,6,14,524,18,2,2,22,50,12,44,12,8,164,14,108,132,2,266,12,508,4,338,6,54,246,14,102,68,28,40,298,40,80,44,38,8,98,64,40,22,22,72,6,102,18,4,88,48,356,164,8,128,98,22,112,296,280,0,84,56,34,28,108,98,-1,78,372,246,80,380,96,2,2,248,110,28,44,76,126,176,126,398,206,52,496,26,162,28,12,52,470,36,50,10,60,94,44,18,66,2,476,86,14,20,84,4,2,16,22,18,12,312,66,52,68,50,2,8,50,170,46,12,62,12,44,24,74,124,88,274,224,62,102,146,26,0,50,390,668,72,38,234,42,78,14,216,580,8,6,22,6,228,176,0,118,178,4,30,126,38,178,4,30,44,396,12,94,178,198,652,350,158,312,82,44,1002,332,204,464,252,470,8,178,2,238,252,108,308,634,6,152,32,588,56,2,42,98,12,70,230,224,756,84,18,24,232,180,26,180,100,68,116,146,30,72,2038,48,2,884,-1,26,64,2,38,134,226,88,274,64,42,160,6,86,122,96,0,2698,42,418,30,0,28,94,138,-1,46,78,66,2466,72,-1,422,86,-1,6,134,950,66,6,218,1292,648,3676,18,78,500,-1,-1,-1
24,208,800,32,12,278,34,0,18,6,106,58,36,8,36,172,6,64,182,12,416,22,446,16,326,48,94,112,12,84,68,14,12,298,48,28,126,56,2,50,44,16,18,28,58,32,-1,52,2,26,28,502,156,44,126,88,12,58,334,462,0,58,88,6,134,270,98,-1,88,-1,270,50,200,102,36,2,196,246,58,32,36,182,130,152,428,348,260,488,10,118,10,26,78,374,22,50,46,106,238,20,26,68,0,470,44,12,30,28,0,14,26,54,90,64,352,74,66,58,146,6,10,66,200,52,16,24,36,76,48,60,78,8,252,280,38,48,164,42,158,84,370,728,22,114,232,16,216,16,426,938,42,16,28,0,214,102,4,120,122,14,46,200,82,250,2,4,54,552,44,92,222,172,-1,486,94,342,16,62,1916,554,138,292,356,282,18,176,2,296,238,124,708,488,0,208,26,470,16,58,62,86,36,124,350,278,840,156,28,30,662,214,18,114,72,18,130,124,6,70,2550,120,2,1046,-1,100,82,16,44,162,104,50,184,88,76,246,2,124,-1,56,0,2628,80,488,20,-1,58,84,156,-1,44,40,106,-1,138,-1,820,130,-1,20,138,1096,32,42,238,1666,632,-1,-1,54,-1,-1,-1,-1
18,212,576,6,16,212,62,26,22,22,14,14,38,48,0,142,2,60,190,34,360,16,558,8,350,52,50,274,0,76,60,6,24,296,26,16,82,50,4,46,86,38,12,38,48,10,-1,42,20,30,46,-1,148,62,178,112,44,24,258,330,0,12,74,6,62,156,26,-1,86,-1,366,4,288,60,24,2,380,96,94,24,94,142,168,266,312,726,56,-1,0,316,26,54,88,390,26,106,36,78,112,54,20,36,0,666,64,16,26,140,44,16,24,84,78,82,366,18,60,186,60,28,0,38,220,48,12,18,6,88,14,38,118,2,146,228,32,22,140,8,74,114,536,778,22,252,268,30,86,18,466,804,34,54,2,18,170,106,-1,76,246,14,6,154,114,428,10,34,12,798,40,116,176,106,-1,282,152,360,100,32,-1,-1,274,286,320,272,30,172,-1,632,168,180,744,608,2,204,68,724,52,22,78,216,98,76,546,374,834,258,18,26,522,100,-1,222,-1,68,170,164,46,94,3486,-1,-1,-1,-1,102,38,0,8,102,266,-1,152,148,36,-1,-1,156,-1,176,0,2166,134,626,78,-1,12,-1,-1,-1,122,82,162,-1,316,-1,-1,68,-1,-1,150,1248,70,160,252,1306,-1,-1,-1,98,-1,-1,-1,-1
54,394,488,44,78,240,126,46,16,20,60,0,34,112,18,176,10,120,38,16,452,20,624,0,212,72,42,102,18,78,26,12,26,242,24,28,142,62,6,32,106,42,42,20,38,26,-1,26,4,34,56,-1,176,32,156,70,84,62,694,420,12,40,74,28,208,100,22,-1,106,-1,230,56,342,56,24,12,342,154,36,24,78,202,114,-1,328,452,78,-1,0,278,20,48,72,-1,4,146,16,70,104,68,10,52,0,322,62,34,42,138,0,8,18,-1,56,12,390,34,60,106,158,6,8,32,364,58,6,48,6,56,20,104,118,14,458,320,18,24,84,12,-1,134,894,820,18,278,294,66,100,8,696,998,56,44,0,0,180,166,-1,124,286,10,36,172,256,-1,6,14,94,694,16,-1,112,198,-1,1098,122,494,-1,70,-1,-1,-1,288,630,-1,0,106,-1,242,256,-1,666,740,40,170,42,-1,20,28,24,124,54,138,350,440,612,254,34,24,1038,212,-1,348,-1,258,182,240,-1,98,4386,-1,-1,-1,-1,60,40,12,36,122,190,-1,170,116,52,-1,-1,104,-1,108,0,3634,22,610,22,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,-1,-1,86,-1,-1,168,908,96,-1,-1,1980,-1,-1,-1,-1,-1,-1,-1,-1
92,338,690,4,52,144,136,68,54,6,48,18,24,58,12,200,6,212,64,8,370,22,-1,8,332,44,52,158,16,98,32,2,20,188,40,24,340,84,12,88,68,52,58,14,48,58,-1,30,2,6,62,-1,194,-1,60,38,76,60,486,286,0,-1,116,36,28,272,84,-1,154,-1,284,32,526,116,24,0,-1,164,34,12,46,200,136,-1,516,412,132,-1,2,124,18,60,96,-1,34,138,26,150,64,82,6,50,0,330,20,34,24,108,2,6,42,-1,20,4,318,46,52,60,-1,8,0,36,184,28,4,42,42,16,24,-1,158,14,308,190,8,38,-1,28,-1,166,-1,-1,58,152,176,24,312,24,-1,864,102,52,12,12,140,138,-1,74,-1,2,20,220,252,-1,8,48,12,690,18,-1,160,140,-1,990,204,-1,-1,84,-1,-1,-1,222,454,-1,24,66,-1,856,396,-1,540,-1,24,200,134,-1,54,14,42,158,80,142,340,1100,634,284,30,50,712,218,-1,252,-1,-1,212,484,-1,90,-1,-1,-1,-1,-1,58,-1,6,30,88,218,-1,296,-1,92,-1,-1,150,-1,250,-1,5736,210,378,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,174,-1,-1,176,-1,192,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,302,562,8,38,310,-1,10,-1,4,50,-1,36,34,14,232,2,166,56,0,254,20,-1,10,-1,22,-1,36,6,106,56,22,6,190,12,48,128,36,4,50,50,28,32,24,26,60,-1,108,20,24,62,-1,146,-1,104,40,106,46,352,368,0,-1,42,68,30,128,36,-1,70,-1,178,10,308,18,28,6,-1,-1,32,48,54,128,316,-1,-1,336,98,-1,0,192,34,82,110,-1,-1,150,34,80,88,230,12,10,0,-1,94,22,10,180,30,4,50,-1,22,106,234,28,22,48,-1,46,6,68,406,38,4,44,38,18,58,-1,228,10,420,110,4,6,-1,36,-1,230,-1,-1,24,162,128,40,210,2,-1,1150,102,62,54,12,246,58,-1,84,-1,28,50,178,84,-1,28,10,20,622,16,-1,256,86,-1,1220,184,-1,-1,148,-1,-1,-1,260,802,-1,26,20,-1,1260,326,-1,700,-1,60,-1,128,-1,22,18,26,146,100,102,366,958,752,302,4,34,-1,190,-1,230,-1,-1,-1,-1,-1,128,-1,-1,-1,-1,-1,106,-1,28,24,54,-1,-1,216,-1,126,-1,-1,188,-1,178,-1,3450,358,504,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,200,-1,-1,-1,-1,224,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,420,602,22,184,128,-1,108,-1,26,46,-1,32,82,20,180,6,188,74,2,418,8,-1,22,-1,18,-1,16,10,98,38,28,26,198,54,6,126,98,16,62,44,6,-1,8,54,90,-1,94,18,16,114,-1,186,-1,92,54,92,106,606,398,0,-1,58,34,2,140,82,-1,-1,-1,250,22,-1,18,6,2,-1,-1,34,16,44,190,234,-1,-1,330,60,-1,0,202,22,130,44,-1,-1,154,40,66,204,-1,0,48,0,-1,84,14,16,-1,26,6,24,-1,4,32,268,18,10,-1,-1,86,16,130,244,58,4,-1,104,62,10,-1,86,48,518,274,30,2,-1,36,-1,-1,-1,-1,24,136,172,28,298,4,-1,1208,106,96,0,12,198,142,-1,178,-1,30,88,420,390,-1,4,8,110,522,4,-1,380,148,-1,1508,222,-1,-1,108,-1,-1,-1,152,498,-1,38,18,-1,760,-1,-1,634,-1,0,-1,440,-1,42,46,52,216,-1,120,378,974,-1,-1,8,42,-1,-1,-1,120,-1,-1,-1,-1,-1,196,-1,-1,-1,-1,-1,282,-1,48,78,-1,-1,-1,-1,-1,98,-1,-1,196,-1,236,-1,3708,304,528,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,700,20,-1,128,-1,62,-1,18,24,-1,34,142,12,206,2,-1,16,2,380,32,-1,28,-1,4,-1,48,12,-1,18,70,12,290,34,2,120,68,0,90,50,14,-1,6,50,50,-1,28,12,14,102,-1,-1,-1,52,96,34,150,492,398,2,-1,34,16,60,144,58,-1,-1,-1,236,36,-1,64,34,10,-1,-1,24,24,30,154,312,-1,-1,234,122,-1,0,-1,18,174,34,-1,-1,162,20,54,156,-1,6,32,2,-1,70,2,38,-1,12,0,62,-1,50,16,328,16,26,-1,-1,38,-1,74,310,46,4,-1,36,44,26,-1,28,170,-1,-1,4,6,-1,194,-1,-1,-1,-1,80,244,294,0,90,6,-1,-1,80,-1,0,0,102,200,-1,-1,-1,26,50,-1,414,-1,20,36,94,706,50,-1,322,120,-1,-1,128,-1,-1,86,-1,-1,-1,330,-1,-1,12,16,-1,2232,-1,-1,556,-1,20,-1,-1,-1,32,80,44,220,-1,134,416,766,-1,-1,22,92,-1,-1,-1,188,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,34,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,338,518,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
