Blur,VXQuery,SkyWalking,Hama,Wookie,HAWQ,Mnemonic,Graffito,TVM,SINGA,Flex,Tez,Gobblin,Atlas,PhotArk,Celix,DataFu,Wink,IoTDB,Sentry,Allura,Geode,Solr,NMaven,ActiveMQ,Alois,Jena,Airavata,Iceberg,Traffic Control,Synapse,TinkerPop,Tuscany,Joshua,Droids,Qpid,stdcxx,Syncope,River,Mesos,Yoko,Lens,Thrift,NPanday,Libcloud,Harmony,Tephra,Clerezza,Quickstep,HCatalog,Unomi,VCL,Pinot,APISIX,S2Graph,Deltacloud,Stanbol,UIMA,Flume,Etch,Amaterasu,Cordova,Click,Shiro,Buildr,Empire-db,Daffodil,Omid,Knox,Hermes,Derby,Falcon,Olingo,Edgent,Rya,Open Climate Workbench,JDO,MADlib,Tashi,Kudu,OFBiz,Parquet,Samza,Juneau,Mynewt,OpenJPA,Ranger,Isis,Kato,Druid,Bloodhound,AriaTosca,Openmeetings,Crunch,Onami,DolphinScheduler,ODF Toolkit,CXF,Griffin,Shindig,ServiceComb,Bluesky,Jackrabbit,ManifoldCF,Fluo,Trafodion,ACE,Slider,Twill,DeltaSpike,SAMOA,Stonehenge,Imperius,Eagle,ECharts,Whirr,AsterixDB,Chemistry,Superset,REEF,Olio,Lucene.NET,Aries,JSPWiki,Cayenne,Phoenix,Storm,Pulsar,Amber,jclouds,Kalumet,HTrace,Metron,Curator,DataSketches,Impala,Pirk,Giraph,cTAKES,Oozie,Streams,Ambari,OpenWhisk,OpenWebBeans,Wave,Dubbo,Trinidad,Calcite,Tajo,Ivy,Accumulo,Pig,Ripple,Taverna,Chukwa,Fineract,Abdera,Corinthia,FtpServer,Zeta Components,ESME,PDFBox,CouchDB,OODT,ShardingSphere,Heraldry,BatchEE,Apex,Drill,Gearpump,Sqoop,Gossip,Cassandra,DeviceMap,Provisionr,Zipkin,DistributedLog,Lucy,FreeMarker,Gora,XAP,Ignite,Tika,SystemML,Agila,Subversion,Aurora,Kylin,WebWork 2,Nutch,Ode,Bigtop,EasyAnt,OpenAz,Wicket,Felix,Ratis,Lokahi,HISE,Brooklyn,MRQL,Bean Validation,NetBeans,Zeppelin,Stratos,Tamaya,Composer,Flink,Sling,OpenOffice.org,Hadoop Development Tools (HDT),Nuvem,Beehive,Rave,CloudStack,Roller,Sirona,Johnzon,Myriad,Helix,TripleSoup,Any23,OpenNLP,PLC4X,Kafka,NiFi,SIS,MyFaces,Sanselan,Airflow,S4,Spark,Kitty,Usergrid,Muse,MRUnit,iota,HORN,RocketMQ,DirectMemory,mod_ftp,Kabuki,iBATIS,Pivot,Traffic Server,MetaModel,Climate Model Diagnostic Analyzer,AWF,ServiceMix,Guacamole,PredictionIO,Concerted,CarbonData,Hudi,Groovy,OGNL,Warble,CommonsRDF,RCF,Weex,Directory,JuiCE,Beam
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
1285,776.0,4121.0,661.0,714.0,1756.0,267.0,558.0,6981.0,1173.0,1005.0,1249.0,2494.0,1632.0,272.0,994.0,474.0,2288.0,55548.0,1132.0,762.0,812.0,337.0,571.0,5424.0,374.0,2385,2256.0,2499.0,957,863.0,1553,13157.0,303.0,689.0,6136,1190.0,887.0,2090.0,2288.0,1807.0,814.0,1465.0,1067.0,379.0,1778,203.0,1146.0,800.0,1055.0,140.0,269.0,9976,549.0,114.0,1183.0,3853.0,3717.0,1019.0,1652.0,2689.0,2282.0,837.0,934.0,152.0,646.0,2386.0,368.0,334.0,274.0,623.0,716.0,641.0,863.0,461.0,285.0,1199.0,107.0,155,855.0,1606.0,270.0,917.0,597,504.0,115.0,2050.0,4115,962.0,9818.0,400,377.0,1007.0,621.0,644.0,1192.0,777.0,5066.0,786.0,2907.0,2118.0,603.0,1597.0,629.0,314.0,2551.0,482.0,1259,545.0,1349.0,654.0,679.0,362.0,1522.0,4962.0,250.0,982.0,221.0,8104.0,1849.0,549.0,1763.0,1797.0,1929,1956,522.0,415.0,2920,394.0,838.0,394.0,483.0,839.0,64.0,1583.0,1587.0,269.0,248.0,741.0,507.0,1618.0,4330,4488.0,892.0,776.0,7164.0,1600.0,548.0,1109.0,659.0,1128.0,820.0,350.0,670.0,284.0,225.0,874.0,611.0,174.0,1474.0,440.0,422.0,266.0,1765.0,69.0,694.0,396.0,621.0,1087.0,515.0,325.0,219.0,852.0,604.0,67.0,823.0,241.0,865.0,148.0,356.0,1552.0,1768.0,354.0,1400.0,256.0,869.0,1380,405.0,1958.0,123.0,2339.0,216.0,1216.0,173.0,397.0,1132.0,299.0,161.0,219.0,229.0,109.0,883.0,,114.0,1713.0,522.0,458.0,1204.0,1528.0,14227,98.0,285.0,1370,1425.0,23077,1845.0,730.0,119.0,282.0,2086.0,306.0,666.0,799.0,1689,1080.0,1840.0,50.0,2264.0,229.0,,423.0,1162.0,98.0,3335.0,261.0,77.0,39.0,43.0,135.0,365.0,53.0,,89.0,1720.0,201.0,59.0,15.0,172.0,1038.0,182.0,,21.0,76.0,165.0,121.0,792.0,,,,,2.0,18.0,
300,127.0,482.0,124.0,160.0,151.0,46.0,93.0,882.0,90.0,77.0,155.0,148.0,209.0,84.0,55.0,16.0,125.0,7664.0,106.0,329.0,122.0,41.0,169.0,723.0,,228,290.0,144.0,43,314.0,519,2664.0,27.0,69.0,1243,141.0,72.0,149.0,191.0,132.0,46.0,101.0,183.0,70.0,176,9.0,218.0,283.0,67.0,53.0,39.0,542,57.0,10.0,58.0,484.0,491.0,69.0,440.0,,515.0,118.0,84.0,59.0,140.0,241.0,27.0,61.0,40.0,91.0,104.0,94.0,80.0,9.0,47.0,95.0,7.0,77,55.0,97.0,8.0,96.0,79,131.0,,327.0,636,155.0,346.0,64,220.0,215.0,285.0,50.0,82.0,198.0,792.0,130.0,440.0,106.0,44.0,217.0,190.0,26.0,107.0,44.0,213,27.0,221.0,8.0,71.0,38.0,142.0,256.0,47.0,13.0,89.0,889.0,100.0,36.0,127.0,247.0,428,244,78.0,12.0,391,,71.0,13.0,35.0,48.0,17.0,84.0,41.0,31.0,14.0,39.0,35.0,884.0,637,409.0,168.0,20.0,701.0,156.0,54.0,128.0,98.0,128.0,162.0,8.0,16.0,,7.0,277.0,58.0,86.0,,63.0,33.0,33.0,6.0,3.0,0.0,37.0,86.0,21.0,38.0,30.0,34.0,74.0,29.0,5.0,62.0,,260.0,80.0,11.0,211.0,267.0,34.0,126.0,,52.0,169,60.0,109.0,31.0,203.0,87.0,67.0,9.0,50.0,97.0,66.0,86.0,35.0,,13.0,82.0,,4.0,218.0,76.0,,34.0,382.0,418,12.0,45.0,244,189.0,5248,417.0,192.0,118.0,9.0,165.0,4.0,,116.0,712,92.0,547.0,,128.0,54.0,,121.0,143.0,10.0,492.0,67.0,32.0,10.0,10.0,31.0,56.0,14.0,,4.0,431.0,23.0,3.0,,6.0,40.0,3.0,,0.0,8.0,6.0,,132.0,,,,,,,
86,34.0,67.0,29.0,16.0,48.0,32.0,23.0,174.0,6.0,11.0,47.0,14.0,27.0,21.0,32.0,,12.0,326.0,6.0,125.0,38.0,,39.0,232.0,,46,40.0,17.0,12,58.0,121,573.0,5.0,,361,26.0,6.0,43.0,52.0,55.0,10.0,13.0,49.0,29.0,9,,28.0,75.0,10.0,12.0,19.0,59,5.0,6.0,12.0,79.0,75.0,18.0,26.0,,78.0,16.0,12.0,30.0,,,,10.0,,26.0,31.0,19.0,,,9.0,16.0,,17,3.0,10.0,,14.0,38,52.0,,53.0,105,48.0,255.0,27,111.0,67.0,19.0,,21.0,16.0,173.0,6.0,104.0,31.0,,42.0,87.0,,11.0,7.0,50,,27.0,0.0,5.0,12.0,,74.0,9.0,,29.0,58.0,39.0,10.0,37.0,51.0,94,25,21.0,,87,,,,11.0,7.0,,14.0,3.0,6.0,2.0,14.0,14.0,36.0,173,68.0,44.0,,56.0,31.0,1.0,27.0,5.0,22.0,53.0,4.0,4.0,,,75.0,10.0,32.0,,25.0,2.0,18.0,,0.0,,,14.0,,,,10.0,16.0,6.0,,12.0,,163.0,7.0,,39.0,51.0,5.0,40.0,,13.0,38,13.0,25.0,,39.0,9.0,7.0,0.0,,19.0,12.0,9.0,7.0,,15.0,13.0,,,44.0,16.0,,48.0,57.0,75,,33.0,51,34.0,331,107.0,71.0,,,21.0,,,18.0,331,8.0,27.0,,22.0,14.0,,20.0,5.0,,129.0,11.0,,2.0,5.0,,,,,,77.0,,1.0,,,10.0,0.0,,,0.0,17.0,,34.0,,,,,,,
21,7.0,10.0,16.0,5.0,9.0,5.0,11.0,103.0,10.0,2.0,14.0,4.0,7.0,3.0,29.0,,8.0,36.0,1.0,43.0,9.0,,13.0,23.0,,9,14.0,,3,26.0,38,192.0,1.0,,85,4.0,,2.0,3.0,24.0,2.0,2.0,,4.0,1,,12.0,23.0,,18.0,11.0,12,,,,19.0,10.0,8.0,1.0,,23.0,9.0,,10.0,,,,,,2.0,,0.0,,,2.0,6.0,,4,,,,6.0,5,18.0,,11.0,15,8.0,6.0,7,43.0,18.0,,,,,54.0,0.0,31.0,,,10.0,21.0,,1.0,1.0,13,,,,,,,21.0,2.0,,10.0,23.0,8.0,,,10.0,12,16,6.0,,24,,,,3.0,,,7.0,,,,,0.0,36.0,101,52.0,10.0,,16.0,10.0,,4.0,,9.0,15.0,0.0,0.0,,,19.0,,3.0,,10.0,,11.0,,,,,0.0,,,,4.0,11.0,,,,,20.0,4.0,,15.0,15.0,4.0,32.0,,,7,0.0,7.0,,11.0,3.0,,,,4.0,,,5.0,,,3.0,,,22.0,,,1.0,29.0,32,,2.0,21,8.0,97,30.0,52.0,,,0.0,,,1.0,175,1.0,5.0,,7.0,0.0,,,5.0,,29.0,,,,7.0,,,,,,34.0,,,,,2.0,,,,,1.0,,,,,,,,,
12,1.0,,5.0,1.0,1.0,0.0,2.0,,1.0,,12.0,,,,6.0,,,64.0,,20.0,2.0,,6.0,7.0,,8,8.0,,1,10.0,11,58.0,0.0,,36,4.0,,1.0,6.0,7.0,,0.0,,0.0,1,,1.0,19.0,,1.0,5.0,7,,,,,9.0,,,,3.0,2.0,,3.0,,,,,,2.0,,,,,3.0,,,5,,,,,0,9.0,,9.0,12,16.0,12.0,8,25.0,6.0,,,,,11.0,0.0,11.0,,,2.0,8.0,,,,7,,,,,,,11.0,,,2.0,32.0,3.0,,,5.0,8,2,1.0,,29,,,,2.0,,,6.0,,,,,0.0,3.0,39,5.0,4.0,,3.0,,,,,,6.0,0.0,,,,6.0,,10.0,,3.0,,4.0,,,,,,,,,,2.0,,,,,5.0,,,6.0,1.0,,5.0,,,3,0.0,1.0,,7.0,1.0,,,,1.0,,,1.0,,,0.0,,,4.0,,,8.0,,8,,0.0,11,1.0,22,13.0,7.0,,,,,,0.0,78,,7.0,,,,,,,,6.0,,,,2.0,,,,,,15.0,,,,,0.0,,,,,,,,,,,,,,
9,,,10.0,,2.0,,0.0,,,,1.0,,,,1.0,,,,,9.0,0.0,,3.0,4.0,,2,,,0,,8,22.0,,,17,2.0,,0.0,,1.0,,,,,0,,1.0,,,0.0,0.0,2,,,,,7.0,,,,5.0,0.0,,,,,,,,0.0,,,,,1.0,,,1,,,,,0,4.0,,,5,1.0,0.0,0,17.0,,,,,,12.0,1.0,5.0,,,0.0,2.0,,,,2,,,,,,,28.0,,,1.0,4.0,,,,,2,3,0.0,,73,,,,0.0,,,,,,,,,3.0,19,4.0,1.0,,2.0,,,,,,2.0,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,4.0,,,3.0,1.0,,,,,0,0.0,,,1.0,1.0,,,,1.0,,,0.0,,,0.0,,,4.0,,,,,4,,,3,5.0,20,5.0,,,,,,,2.0,29,,,,,,,,,,7.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,
1,,,0.0,,,,0.0,,,,,,,,,,,,,4.0,,,2.0,3.0,,4,,,0,,0,13.0,,,7,5.0,,0.0,,,,,,,0,,,,,,1.0,0,,,,,1.0,,,,4.0,,,,,,,,,0.0,,,,,0.0,,,0,,,,,0,0.0,,,4,,,2,5.0,,,,,,3.0,,2.0,,,2.0,,,,,0,,,,,,,2.0,,,1.0,1.0,,,,,0,0,0.0,,1,,,,,,,,,,,,,0.0,17,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,1.0,,,,,,0,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,,,0,,,1,0.0,11,2.0,,,,,,,,4,,,,,,,,,,4.0,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,
1,,,1.0,,,,0.0,,,,,,,,,,,,,2.0,,,,1.0,,2,,,0,,1,4.0,,,8,,,,,,,,,,0,,,,,,0.0,0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,3.0,,,2,,,2,0.0,,,,,,,,,,,3.0,,,,,3,,,,,,,,,,0.0,,,,,,1,0,,,3,,,,,,,,,,,,,0.0,2,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,1,,,2,,8,0.0,,,,,,,,0,,,,,,,,,,1.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,1.0,,,,0.0,,0,,,0,,0,1.0,,,3,,,,,,,,,,0,,,,,,,1,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1,,,,,0,4.0,,,1,,,1,2.0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,1,,,0,,,,,,,,,,,,,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,0.0,,,,,,,,,,,,,,1,,,0,,9,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
