SkyWalking,HAWQ,Tez,Hama,Atlas,Celix,DataFu,Wink,IoTDB,Geode,Solr,ActiveMQ,Jena,Airavata,Graffito,Iceberg,Traffic Control,Synapse,TinkerPop,Tuscany,Joshua,Mesos,VXQuery,Thrift,NPanday,Libcloud,Gobblin,Clerezza,Quickstep,VCL,S2Graph,Stanbol,UIMA,Flume,Etch,Cordova,Shiro,Empire-db,Derby,Falcon,Olingo,Edgent,HCatalog,Rya,Open Climate Workbench,Daffodil,JDO,MADlib,NMaven,Tashi,OFBiz,Parquet,Mynewt,Lens,OpenJPA,Ranger,Blur,Isis,Kato,Bloodhound,Click,AriaTosca,Yoko,Openmeetings,Crunch,Onami,DolphinScheduler,ODF Toolkit,Griffin,Shindig,ServiceComb,Fluo,ACE,Qpid,DeltaSpike,Stonehenge,SAMOA,Imperius,ECharts,AsterixDB,Chemistry,Superset,REEF,Olio,Lucene.NET,Slider,JSPWiki,Cayenne,Phoenix,Druid,Amber,Metron,Giraph,cTAKES,Oozie,Streams,Wave,Calcite,PhotArk,Tajo,Kudu,Ivy,Accumulo,Impala,Allura,Taverna,Chukwa,Wookie,stdcxx,PDFBox,CouchDB,OODT,ManifoldCF,ShardingSphere,Omid,HTrace,Samza,Drill,Gearpump,Sqoop,Gossip,DeviceMap,Provisionr,Zipkin,OpenWebBeans,DistributedLog,Tephra,Lucy,BatchEE,Gora,XAP,ESME,SystemML,Subversion,Aries,CXF,Nutch,Bigtop,DataSketches,Deltacloud,SINGA,FreeMarker,Hermes,Trinidad,Wicket,Ambari,Curator,Trafodion,Felix,OpenWhisk,Pinot,Abdera,Pig,Storm,Stratos,Tamaya,Composer,Juneau,Corinthia,River,Sling,EasyAnt,Zeppelin,OpenOffice.org,Hadoop Development Tools (HDT),Beehive,Rave,Zeta Components,CloudStack,TVM,jclouds,Sentry,Dubbo,Myriad,FtpServer,Helix,Pulsar,Jackrabbit,Apex,Roller,MRQL,Whirr,Twill,Kafka,NiFi,Any23,SIS,MyFaces,Flink,Kylin,Bluesky,Eagle,Aurora,Spark,Alois,Kitty,Lokahi,Sanselan,Usergrid,Ignite,Mnemonic,Muse,Knox,Fineract,Droids,HISE,APISIX,Ode,OpenNLP,Buildr,Ratis,Flex,iota,Bean Validation,Sirona,HORN,Nuvem,RocketMQ,S4,Kabuki,MRUnit,Airflow,Traffic Server,Climate Model Diagnostic Analyzer,Cassandra,Harmony,Johnzon,AWF,Ripple,Syncope,Unomi,DirectMemory,Kalumet,Pivot,ServiceMix,PLC4X,OpenAz,Tika,WebWork 2,Pirk,Concerted,Heraldry,Amaterasu,Guacamole,OGNL,Hudi,mod_ftp,iBATIS,CarbonData,Warble,Agila,RCF,TripleSoup,Brooklyn,MetaModel,Directory,CommonsRDF,JuiCE,NetBeans,Groovy,Beam,PredictionIO
0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
4026,1754,844.0,648,1596.0,954,485.0,2135.0,53796.0,827.0,335.0,5180.0,2330,2287.0,558.0,2169.0,937.0,936.0,1609,13019.0,303.0,2251.0,724.0,1412.0,1066.0,348.0,2449.0,1146.0,810,256,116.0,3809.0,3689,990.0,1660.0,2177,907.0,655.0,645,714.0,646.0,780.0,987.0,459.0,283.0,2357.0,1147.0,106.0,562.0,163,1593.0,273.0,512,790.0,,1983.0,1261,3913.0,953.0,384.0,798,384,1802.0,989.0,608.0,604.0,1173.0,734.0,814.0,2791.0,2026,321.0,498.0,6005,1376.0,665.0,644.0,351.0,4919.0,960.0,256.0,8021,1816.0,555.0,1755.0,1217.0,1797,2003.0,519.0,9635.0,391.0,832.0,233.0,721.0,495.0,1553.0,757.0,548.0,282.0,1041.0,851.0,624.0,1116,1539.0,815.0,652.0,282.0,742.0,1154.0,415.0,225.0,1704.0,589.0,62.0,345.0,477.0,938.0,1039.0,498.0,323.0,226.0,535.0,70.0,842.0,791,234.0,196.0,929.0,408.0,365.0,1534,394.0,1344.0,858.0,1773.0,4955.0,121.0,215,1482.0,998,1140.0,188.0,243.0,1475.0,382.0,4147,68.0,2510.0,1122.0,4431.0,9227,936.0,678.0,402.0,1684.0,503.0,458.0,555,619.0,2021.0,1449.0,1208.0,95.0,14126,77.0,1333,1427.0,1460.0,23269,6780.0,861.0,1121.0,6802,273.0,164.0,1028.0,2791,1515,643.0,1704,105.0,223.0,401.0,793.0,2250.0,625.0,43.0,2256.0,1205.0,430.0,593.0,1537.0,1381,1123.0,378.0,74.0,188.0,224.0,3182.0,1828.0,262.0,277.0,335.0,213.0,627.0,226.0,541.0,1512,792.0,141.0,285.0,984.0,37.0,874.0,776.0,41.0,294.0,153.0,77.0,,86.0,17.0,109.0,15.0,839.0,1828.0,222.0,166.0,347.0,855.0,148.0,377.0,391.0,1356.0,1015.0,1644,170.0,339.0,1757.0,251.0,15.0,691.0,2686.0,177.0,821.0,110.0,60.0,86.0,69.0,,250.0,,301.0,224.0,53.0,,0.0,,,122.0,,
526,174,175.0,90,218.0,108,5.0,265.0,9491.0,129.0,32.0,925.0,274,266.0,89.0,481.0,60.0,221.0,466,2604.0,21.0,192.0,163.0,123.0,196.0,100.0,185.0,216.0,289,53,13.0,510.0,477,92.0,414.0,545,99.0,122.0,63,111.0,91.0,129.0,96.0,15.0,44.0,203.0,136.0,,153.0,54,105.0,,108,61.0,,355.0,306,771.0,186.0,83.0,140,242,131.0,226.0,242.0,38.0,85.0,240.0,84.0,504.0,166,20.0,31.0,1275,190.0,83.0,11.0,53.0,261.0,31.0,76.0,737,157.0,35.0,154.0,241.0,542,189.0,90.0,685.0,7.0,50.0,20.0,69.0,39.0,922.0,34.0,32.0,68.0,168.0,48.0,113.0,144,76.0,336.0,34.0,14.0,124.0,167.0,24.0,56.0,14.0,225.0,1.0,20.0,34.0,76.0,,46.0,29.0,34.0,92.0,,52.0,274,26.0,,289.0,27.0,,224,97.0,172.0,56.0,251.0,901.0,30.0,90,176.0,229,96.0,49.0,47.0,253.0,,733,,134.0,104.0,422.0,1169,202.0,207.0,21.0,232.0,97.0,0.0,128,49.0,203.0,425.0,69.0,22.0,490,25.0,255,182.0,,5000,695.0,52.0,109.0,860,,68.0,104.0,466,285,65.0,383,31.0,62.0,47.0,108.0,125.0,,,133.0,30.0,43.0,56.0,105.0,147,164.0,,13.0,62.0,53.0,674.0,238.0,46.0,57.0,59.0,,134.0,31.0,61.0,194,112.0,57.0,77.0,97.0,14.0,78.0,222.0,15.0,58.0,,117.0,,31.0,,,,70.0,119.0,14.0,10.0,15.0,97.0,23.0,45.0,,690.0,62.0,433,8.0,34.0,322.0,31.0,,,,6.0,119.0,,,7.0,,,3.0,,9.0,10.0,3.0,,,,,,,
93,21,50.0,49,49.0,41,,33.0,134.0,16.0,5.0,152.0,44,42.0,22.0,,15.0,70.0,111,689.0,12.0,53.0,38.0,21.0,35.0,17.0,20.0,27.0,74,14,2.0,88.0,75,20.0,44.0,118,23.0,,17,25.0,16.0,,16.0,0.0,18.0,58.0,25.0,,52.0,24,9.0,,44,17.0,,77.0,87,140.0,40.0,23.0,27,111,54.0,67.0,75.0,11.0,26.0,,18.0,116.0,32,2.0,5.0,421,31.0,10.0,,8.0,85.0,,11.0,314,18.0,4.0,12.0,51.0,113,31.0,8.0,91.0,,,8.0,4.0,21.0,75.0,,23.0,26.0,23.0,11.0,23.0,25,13.0,95.0,1.0,0.0,16.0,32.0,18.0,36.0,0.0,67.0,3.0,2.0,8.0,26.0,,9.0,3.0,6.0,11.0,,,27,,,91.0,,,44,25.0,58.0,4.0,68.0,176.0,,5,20.0,13,17.0,,5.0,40.0,,236,,21.0,19.0,95.0,104,75.0,51.0,,50.0,12.0,,25,12.0,36.0,82.0,12.0,,93,,78,28.0,,385,369.0,0.0,10.0,221,,38.0,27.0,156,44,7.0,148,1.0,17.0,6.0,14.0,30.0,,,32.0,41.0,5.0,,27.0,48,22.0,,,6.0,17.0,74.0,27.0,11.0,2.0,7.0,,5.0,7.0,12.0,55,13.0,33.0,8.0,11.0,,23.0,41.0,6.0,11.0,,34.0,,0.0,,,,34.0,9.0,1.0,,0.0,15.0,31.0,1.0,,168.0,12.0,722,,12.0,,9.0,,,,,,,,,,,,,,0.0,,,,,,,,
26,8,17.0,24,7.0,6,,,19.0,5.0,1.0,82.0,17,7.0,9.0,,3.0,27.0,31,240.0,0.0,28.0,14.0,6.0,7.0,7.0,,13.0,18,7,,20.0,22,12.0,,37,4.0,,14,,,,7.0,,2.0,0.0,,,17.0,7,2.0,,15,4.0,,22.0,27,43.0,11.0,15.0,11,30,30.0,17.0,2.0,37.0,8.0,,1.0,52.0,16,,0.0,121,4.0,,,0.0,46.0,,5.0,16,6.0,1.0,5.0,10.0,19,20.0,11.0,17.0,,,3.0,,1.0,17.0,,,4.0,4.0,0.0,2.0,2,2.0,23.0,,,5.0,11.0,,8.0,,42.0,0.0,1.0,14.0,1.0,,,0.0,2.0,3.0,,,15,,,8.0,,,17,12.0,22.0,0.0,16.0,52.0,,1,,6,23.0,,2.0,26.0,,99,,2.0,7.0,60.0,14,30.0,36.0,,26.0,,,7,,4.0,31.0,,,22,,18,17.0,,114,282.0,,2.0,44,,32.0,8.0,99,10,7.0,59,0.0,5.0,,5.0,7.0,,,,,0.0,,,12,4.0,,,0.0,,33.0,,10.0,,3.0,,3.0,4.0,,15,3.0,9.0,4.0,3.0,,6.0,3.0,3.0,1.0,,3.0,,,,,,5.0,7.0,,,,,4.0,,,35.0,,70,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
11,4,6.0,9,3.0,3,,,81.0,1.0,,35.0,5,5.0,6.0,,1.0,1.0,17,71.0,0.0,5.0,7.0,3.0,,6.0,,,10,8,,8.0,7,,,11,0.0,,1,,,,0.0,,0.0,0.0,,,3.0,6,5.0,,9,,,7.0,16,18.0,,1.0,2,19,7.0,9.0,,,,,,19.0,5,,,37,1.0,,,,9.0,,2.0,8,3.0,,2.0,7.0,9,2.0,0.0,,,,0.0,,,4.0,,,,3.0,,,0,,14.0,,,7.0,3.0,,4.0,,4.0,,,,14.0,,,,2.0,,,,5,,,0.0,,,7,6.0,,,2.0,16.0,,3,,5,,,0.0,1.0,,37,,1.0,2.0,17.0,3,5.0,6.0,,8.0,,,2,,2.0,6.0,,,5,,11,2.0,,27,0.0,,1.0,7,,2.0,1.0,10,6,2.0,21,0.0,,,1.0,2.0,,,,,0.0,,,5,1.0,,,,,9.0,,5.0,,,,,,,3,2.0,7.0,2.0,,,,,1.0,1.0,,0.0,,,,,,7.0,0.0,,,,,1.0,,,19.0,,30,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,4.0,4,,4,,,34.0,3.0,,44.0,7,1.0,2.0,,,,11,35.0,0.0,6.0,,0.0,,,,,1,4,,,6,,,13,,,1,,,,,,,,,,4.0,3,,,10,,,2.0,6,5.0,,3.0,2,10,1.0,5.0,,,,,,6.0,3,,,22,,,,,33.0,,3.0,4,,,,2.0,2,0.0,0.0,,,,0.0,,,2.0,,,,2.0,,,1,,3.0,,,,4.0,,3.0,,3.0,,,,0.0,,,,0.0,,,,3,,,,,,1,6.0,,,,5.0,,1,,2,,,,1.0,,36,,0.0,,1.0,2,3.0,10.0,,4.0,,,0,,0.0,4.0,,,3,,5,4.0,,18,0.0,,,9,,1.0,0.0,3,8,,6,,,,,2.0,,,,,0.0,,,1,,,,,,6.0,,10.0,,,,,,,4,0.0,6.0,,,,,,,0.0,,,,,,,,,0.0,,,,,0.0,,,11.0,,26,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,,2,,0,,,0.0,2.0,,,5,,1.0,,,,0,13.0,,2.0,,,,,,,0,0,,,1,,,6,,,0,,,,,,,,,,0.0,0,,,2,,,3.0,7,6.0,,2.0,1,2,1.0,1.0,,,,,,,3,,,8,,,,,,,,1,,,,3.0,0,2.0,,,,,0.0,,,0.0,,,,,,,0,,5.0,,,,,,,,,,,,0.0,,,,,,,,2,,,,,,2,0.0,,,,4.0,,0,,1,,,,,,21,,0.0,,2.0,0,1.0,3.0,,,,,1,,0.0,0.0,,,0,,2,1.0,,10,,,,1,,,,2,3,,3,,,,,,,,,,,,,2,,,,,,3.0,,,,,,,,,0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,30,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,,2,,1,,,,0.0,,,1,,,,,,5,5.0,,2.0,,,,,,,0,0,,,2,,,2,,,0,,,,,,,,,,0.0,0,,,2,,,1.0,1,,,,1,2,,1.0,,,,,,,0,,,4,,,,,,,,3,,,,1.0,0,,,,,,,,,,,,,,,,0,,4.0,,,,,,,,,,,,,,,,,,,,2,,,,,,0,0.0,,,,3.0,,0,,1,,,,,,9,,0.0,,,3,,1.0,,,,,0,,0.0,2.0,,,0,,1,,,3,,,,0,,,,0,0,,0,,,,,,,,,,,,,1,,,,,,0.0,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,31,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,,2,,0,,,,1.0,,,1,,,,,,1,,,,,,,,,,0,1,,,1,,,1,,,1,,,,,,,,,,1.0,0,,,1,,,,1,,,,0,1,,0.0,,,,,,,1,,,4,,,,,,,,2,,,,1.0,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0,1.0,,,,,,1,,0,,,,,,5,,,,,0,,,,,,,0,,0.0,,,,0,,0,,,0,,,,0,,,,0,0,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,
