Blur,VXQuery,SkyWalking,Hama,HAWQ,SINGA,Flex,Tez,DataFu,Geode,NMaven,Alois,Solr,Airavata,Synapse,stdcxx,Mesos,Lens,Tephra,HCatalog,UIMA,Shiro,Qpid,JDO,Empire-db,MADlib,Tashi,Bloodhound,Click,Yoko,Onami,DolphinScheduler,CXF,Griffin,Shindig,Tuscany,Isis,ServiceComb,ManifoldCF,Rya,Trafodion,Twill,SAMOA,TVM,Wink,Chemistry,Superset,REEF,Olio,Quickstep,Slider,Aries,Droids,IoTDB,Celix,jclouds,Falcon,Curator,Pinot,Clerezza,DataSketches,Impala,Giraph,Ambari,Buildr,ActiveMQ,JSPWiki,Stonehenge,Allura,Crunch,PhotArk,Ripple,Taverna,Fineract,AsterixDB,Pig,Wookie,Corinthia,Oozie,Zeta Components,CouchDB,ShardingSphere,Mnemonic,Kato,Samza,Apex,Gearpump,Sqoop,Streams,Gossip,Cassandra,VCL,Provisionr,Zipkin,DistributedLog,Lucy,Gora,Tika,SystemML,Agila,Pulsar,Kylin,Ode,Ranger,Bigtop,Daffodil,DeviceMap,ODF Toolkit,Abdera,Hermes,Wicket,Libcloud,Deltacloud,Derby,OpenWhisk,HTrace,XAP,Omid,Lokahi,TinkerPop,BatchEE,Etch,Gobblin,Jackrabbit,Ivy,Edgent,Stratos,Composer,Juneau,River,FtpServer,Iceberg,Atlas,OpenOffice.org,CloudStack,Metron,Dubbo,ECharts,Felix,Thrift,Helix,EasyAnt,HISE,Imperius,ESME,AriaTosca,Graffito,Amber,Sentry,Roller,Traffic Control,Stanbol,OpenNLP,Wave,ACE,NiFi,Kafka,Any23,Fluo,MyFaces,Open Climate Workbench,Flink,Bluesky,Eagle,NPanday,Aurora,Spark,Sling,Flume,Knox,Jena,Drill,Storm,Sanselan,Hadoop Development Tools (HDT),Druid,FreeMarker,Usergrid,Myriad,Kudu,Tamaya,APISIX,Muse,Joshua,Beehive,Lucene.NET,Tajo,Cayenne,cTAKES,Rave,S2Graph,DeltaSpike,PLC4X,Nuvem,Bean Validation,DirectMemory,S4,Sirona,MRUnit,Cordova,Openmeetings,Trinidad,PDFBox,Pivot,Syncope,Parquet,AWF,Harmony,Chukwa,Nutch,ServiceMix,Kalumet,OpenAz,Guacamole,Accumulo,Whirr,MRQL,OpenWebBeans,Ratis,Ignite,Heraldry,Phoenix,Unomi,Calcite,OFBiz,Pirk,OODT,Zeppelin,Traffic Server,Climate Model Diagnostic Analyzer,mod_ftp,PredictionIO,CarbonData,iota,Amaterasu,Brooklyn,Groovy,SIS,Hudi,WebWork 2,MetaModel,Mynewt,Kitty,iBATIS,HORN,OGNL,Olingo,RocketMQ,Subversion,TripleSoup,Directory,CommonsRDF,OpenJPA,NetBeans,Warble,Johnzon,Beam,Concerted,JuiCE,Airflow
0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
1223,728.0,4032.0,599,1754.0,1135.0,1028.0,814.0,462.0,786.0,522.0,365.0,333.0,2262.0,802.0,1117.0,2118.0,774.0,178.0,962.0,3660,904.0,5922.0,1180.0,702.0,101.0,178,403.0,745.0,1816.0,588.0,1182.0,4954.0,811.0,2816.0,13047.0,3900.0,2013.0,606.0,461.0,2447.0,359.0,641.0,6511.0,2121.0,240.0,7992,1775.0,523.0,867.0,1179.0,1839.0,607.0,54845.0,929.0,800.0,687.0,78.0,9234.0,1135.0,1618.0,1539.0,237.0,4140,142.0,5282.0,1834,635.0,825.0,779.0,250.0,355.0,671.0,217.0,958.0,692.0,650.0,623.0,470.0,393.0,218.0,47.0,273.0,633.0,893.0,623.0,509.0,311.0,2220.0,237.0,815.0,248.0,39.0,843.0,238.0,824.0,342.0,291.0,1328.0,257.0,2790.0,431.0,1460.0,2009.0,222.0,2400.0,553.0,862.0,871.0,200.0,352.0,384.0,996,635.0,4286.0,460.0,1519.0,338.0,139.0,1633.0,396.0,1816.0,2440.0,1500.0,539.0,786.0,1633.0,282.0,580.0,2093.0,171.0,2087.0,1553.0,14165.0,24888.0,815.0,6888.0,4948.0,1078.0,1350,995.0,1193.0,228.0,216.0,381.0,470.0,524.0,365.0,1083.0,1596.0,925.0,3781.0,848.0,762.0,507.0,2255.0,759.0,624.0,319.0,2229.0,284.0,1199.0,588.0,1473.0,1039.0,1336.0,1170.0,1450.0,963.0,331.0,2287.0,1009.0,394.0,224.0,85.0,9510.0,162.0,3245.0,273.0,833.0,537.0,552.0,250.0,298.0,1329.0,1746.0,1042.0,1948.0,719.0,1440.0,119.0,1382.0,1339,273.0,880.0,375.0,62.0,910.0,74.0,2261.0,858.0,1456.0,393.0,1638.0,861.0,266.0,159.0,1812.0,278.0,120.0,1004.0,324.0,120.0,175.0,1127.0,220.0,97,800,286.0,1893.0,324.0,487.0,123.0,486.0,1616.0,202.0,1644.0,99.0,,,54.0,,74.0,36.0,,227.0,119.0,26.0,,1757.0,41.0,502.0,69.0,84.0,36.0,873.0,650.0,139.0,787.0,278.0,,,112.0,,,220.0,,,,
313,141.0,435.0,124,165.0,100.0,56.0,175.0,30.0,166.0,180.0,19.0,29.0,287.0,322.0,201.0,323.0,73.0,11.0,122.0,454,109.0,1337.0,106.0,73.0,8.0,46,58.0,176.0,108.0,31.0,69.0,866.0,88.0,472.0,2629.0,792.0,135.0,186.0,9.0,178.0,82.0,16.0,856.0,255.0,76.0,909,154.0,35.0,252.0,242.0,220.0,124.0,8495.0,133.0,41.0,157.0,,1131.0,207.0,53.0,73.0,14.0,724,59.0,780.0,503,73.0,336.0,137.0,81.0,5.0,8.0,,35.0,133.0,184.0,49.0,58.0,,55.0,16.0,40.0,166.0,96.0,81.0,40.0,26.0,273.0,24.0,114.0,45.0,2.0,46.0,15.0,428.0,24.0,90.0,201.0,1.0,537.0,44.0,221.0,326.0,69.0,183.0,79.0,49.0,263.0,50.0,,55.0,219,74.0,542.0,41.0,197.0,17.0,24.0,376.0,37.0,250.0,178.0,233.0,176.0,169.0,202.0,,101.0,148.0,54.0,553.0,259.0,454.0,3478.0,63.0,944.0,253.0,145.0,110,121.0,82.0,27.0,31.0,79.0,204.0,105.0,,132.0,482.0,62.0,532.0,54.0,27.0,26.0,101.0,106.0,47.0,20.0,134.0,46.0,33.0,33.0,146.0,225.0,171.0,110.0,413.0,109.0,44.0,293.0,84.0,22.0,60.0,23.0,821.0,73.0,595.0,,57.0,43.0,56.0,78.0,31.0,268.0,138.0,145.0,213.0,67.0,172.0,10.0,191.0,1062,82.0,77.0,44.0,133.0,56.0,10.0,444.0,224.0,247.0,58.0,443.0,81.0,,13.0,117.0,18.0,,54.0,,,8.0,134.0,60.0,30,224,59.0,190.0,,99.0,34.0,107.0,57.0,46.0,11.0,10.0,,,6.0,,,,,5.0,,,,298.0,,109.0,6.0,,19.0,,83.0,,50.0,,,,,,,,,,,
102,54.0,145.0,50,26.0,15.0,5.0,60.0,0.0,18.0,48.0,,10.0,39.0,79.0,25.0,47.0,16.0,,15.0,120,19.0,370.0,19.0,17.0,,15,36.0,32.0,57.0,47.0,38.0,189.0,19.0,119.0,657.0,146.0,39.0,88.0,,30.0,,,421.0,40.0,24.0,142,44.0,8.0,52.0,56.0,35.0,30.0,75.0,32.0,,6.0,,105.0,51.0,20.0,14.0,9.0,260,30.0,253.0,91,5.0,76.0,5.0,31.0,,,,,45.0,38.0,,11.0,,29.0,,14.0,74.0,15.0,12.0,,14.0,60.0,7.0,14.0,25.0,,,7.0,55.0,,,48.0,,125.0,3.0,62.0,73.0,16.0,23.0,9.0,,69.0,4.0,,26.0,21,14.0,145.0,11.0,59.0,1.0,30.0,125.0,,47.0,30.0,63.0,41.0,22.0,57.0,,29.0,19.0,30.0,15.0,49.0,63.0,353.0,3.0,66.0,106.0,25.0,25,32.0,,9.0,,52.0,60.0,29.0,,17.0,142.0,20.0,83.0,11.0,4.0,0.0,46.0,24.0,1.0,4.0,18.0,13.0,9.0,,14.0,34.0,67.0,30.0,76.0,22.0,14.0,62.0,,,12.0,,69.0,5.0,105.0,,10.0,4.0,3.0,,4.0,60.0,26.0,37.0,55.0,5.0,36.0,,18.0,201,8.0,19.0,,5.0,41.0,14.0,127.0,114.0,73.0,,99.0,15.0,,4.0,27.0,,,11.0,,,,19.0,16.0,6,58,12.0,,,22.0,32.0,9.0,19.0,,,,,,,,,,,,,,,,,24.0,2.0,,8.0,,17.0,,8.0,,,,,,,,,,,
37,20.0,42.0,24,11.0,,3.0,14.0,,8.0,31.0,,,16.0,12.0,17.0,17.0,1.0,,,23,1.0,137.0,,,,11,8.0,21.0,19.0,3.0,0.0,69.0,,52.0,229.0,29.0,13.0,34.0,,8.0,,,323.0,15.0,9.0,35,6.0,,24.0,14.0,15.0,8.0,26.0,15.0,,,,12.0,8.0,,0.0,1.0,110,8.0,65.0,34,,32.0,6.0,7.0,,,,,44.0,16.0,,,,14.0,,16.0,15.0,7.0,4.0,,1.0,10.0,1.0,6.0,11.0,,,,9.0,,,9.0,,33.0,0.0,16.0,20.0,5.0,1.0,,,25.0,,,,8,7.0,36.0,,14.0,,,42.0,,4.0,11.0,36.0,7.0,3.0,17.0,,3.0,5.0,25.0,,11.0,36.0,66.0,,34.0,42.0,3.0,2,13.0,,3.0,,11.0,34.0,12.0,,,57.0,7.0,29.0,5.0,,0.0,9.0,14.0,,,8.0,3.0,2.0,,,,15.0,,28.0,14.0,3.0,22.0,,,2.0,,24.0,0.0,22.0,,,,3.0,,0.0,27.0,8.0,11.0,17.0,3.0,8.0,,6.0,250,1.0,3.0,,22.0,,3.0,39.0,22.0,10.0,,32.0,3.0,,,,,,,,,,7.0,4.0,0,14,8.0,,,5.0,8.0,1.0,3.0,,,,,,,,,,,,,,,,,12.0,,,3.0,,4.0,,,,,,,,,,,,,
14,3.0,24.0,8,3.0,,,10.0,,3.0,5.0,,,3.0,11.0,6.0,13.0,,,,11,0.0,51.0,,,,3,3.0,6.0,16.0,,,17.0,,12.0,55.0,21.0,4.0,18.0,,3.0,,,3.0,,2.0,11,,,3.0,7.0,1.0,,86.0,5.0,,,,10.0,4.0,,2.0,,27,11.0,31.0,3,,12.0,,3.0,,,,,21.0,2.0,,,,13.0,,7.0,,1.0,2.0,,,7.0,,,3.0,,,,1.0,,,1.0,,26.0,0.0,10.0,12.0,1.0,0.0,,,12.0,,,,4,2.0,14.0,,9.0,,,18.0,,,1.0,7.0,,0.0,10.0,,2.0,1.0,19.0,,1.0,5.0,28.0,,7.0,1.0,1.0,4,,,1.0,,12.0,17.0,4.0,,,20.0,,4.0,3.0,,1.0,4.0,2.0,,,,,29.0,,,,3.0,,7.0,7.0,,11.0,,,,,6.0,,8.0,,,,0.0,,,15.0,0.0,4.0,8.0,,6.0,,5.0,52,,2.0,,,,,28.0,6.0,8.0,,24.0,0.0,,,,,,,,,,1.0,5.0,0,13,0.0,,,,,2.0,4.0,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,
10,,5.0,6,4.0,,,8.0,,3.0,2.0,,,1.0,3.0,3.0,8.0,,,,2,0.0,24.0,,,,0,3.0,2.0,7.0,,,10.0,,4.0,26.0,7.0,2.0,2.0,,2.0,,,,,1.0,7,,,4.0,4.0,,,26.0,0.0,,,,3.0,,,,,30,1.0,5.0,0,,4.0,,0.0,,,,,10.0,2.0,,,,3.0,,,,,1.0,,,,,,8.0,,,,0.0,,,2.0,,6.0,0.0,3.0,4.0,1.0,0.0,,,9.0,,,,3,11.0,6.0,,6.0,,,12.0,,,0.0,1.0,,,0.0,,3.0,0.0,,,1.0,4.0,7.0,,1.0,0.0,0.0,1,,,0.0,,4.0,11.0,,,,20.0,,3.0,,,,0.0,,,,,,0.0,,,,2.0,,4.0,,,4.0,,,,,1.0,,6.0,,,,0.0,,,3.0,,2.0,2.0,,0.0,,,72,,0.0,,,,,4.0,4.0,1.0,,14.0,,,,,,,,,,,0.0,1.0,0,3,0.0,,,,,,1.0,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,
11,,0.0,3,1.0,,,1.0,,,1.0,,,0.0,3.0,1.0,3.0,,,,4,,5.0,,,,2,,0.0,1.0,,,5.0,,4.0,7.0,1.0,2.0,1.0,,,,,,,1.0,1,,,0.0,1.0,,,8.0,0.0,,,,0.0,,,,,21,4.0,1.0,3,,4.0,,,,,,,6.0,,,,,,,,,,,,,,,,0.0,,,,,,,2.0,,1.0,,0.0,3.0,0.0,,,,0.0,,,,1,1.0,,,2.0,,,4.0,,,,0.0,,,0.0,,0.0,,,,0.0,1.0,2.0,,0.0,0.0,1.0,0,,,0.0,,2.0,3.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,2.0,,,4.0,,,,,1.0,,0.0,,,,,,,1.0,,0.0,3.0,,,,,17,,0.0,,,,,1.0,2.0,1.0,,4.0,,,,,,,,,,,0.0,1.0,0,3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,0,1.0,,,,,,3.0,,,0.0,,0.0,4.0,,,,1,,7.0,,,,1,,0.0,1.0,,,1.0,,1.0,3.0,0.0,0.0,0.0,,,,,,,0.0,2,,,,1.0,,,,0.0,,,,1.0,,,,,4,0.0,,1,,2.0,,,,,,,3.0,,,,,,,,,,,,,,,,3.0,,,,,,,0.0,,1.0,,0.0,,0.0,,,,2.0,,,,1,,,,,,,1.0,,,,0.0,,,,,0.0,,,,,1.0,2.0,,4.0,3.0,,0,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,3.0,,1.0,,5.0,,,,,,,,,,,,1.0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,1,,,,,,,1.0,,,,,1.0,2.0,,,,1,,4.0,,,,2,,0.0,,,,0.0,,,3.0,,,0.0,,,,,,,0.0,0,,,,0.0,,,,0.0,,,,0.0,,,,,3,1.0,,3,,3.0,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,0.0,,0.0,,0.0,,0.0,,,,1.0,,,,1,,,,,,,0.0,,,,0.0,,,,,0.0,,,,,1.0,1.0,,,,,0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,0.0,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
