openwebbeans,drill,jena,etch,wave,shindig,droids,netbeans,sanselan,zeppelin,rya,skywalking,freemarker,stdcxx,openwhisk,usergrid,samza,tajo,ratis,reef,mrunit,ofbiz,singa,nmaven,hama,zipkin,xap,datasketches,clerezza,atlas,awf,tamaya,wookie,devicemap,celix,horn,jspwiki,s4,ambari,openoffice,guacamole,sis,photark,tika,gora,unomi,tashi,shardingsphere,pinot,allura,imperius,myriad,wink,airflow,hudi,daffodil,cordova,madlib,fluo,trafficserver,activemq,tez,jackrabbit,qpid,iotdb,yoko,ariatosca,servicemix,gobblin,asterixdb,subversion,amaterasu,griffin,helix,tuscany,mrql,graffito,eagle,giraph,commonsrdf,omid,river,pivot,batchee,deltacloud,beam,gearpump,weex,falcon,slider,sling,carbondata,twill,tephra,druid,systemml,npanday,juneau,tvm,gossip,hawq,manifoldcf,odf,mesos,quickstep,bval,flink,curator,streams,blur,vxquery,sirona,geode,thrift,bigtop,pulsar,stanbol,predictionio,apisix,isis,libcloud,lucy,nifi,knox,trafodion,s2graph,buildr,datafu,any23,taverna,joshua,ranger,deltaspike,superset,solr,apex,mynewt,ibatis,aries,syncope,climate,sentry,echarts,zeta,shiro,vcl,felix,opennlp,cassandra,lens,uima,jclouds,roller,edgent,trafficcontrol,parquet,htrace,kafka,hise,pdfbox,bookkeeper,tinkerpop,mnemonic,samoa,storm,cloudstack,metron,adffaces,brooklyn,servicecomb,ignite,wicket,hcatalog,oozie,iceberg,click,stratos,johnzon,abdera,calcite,kitty,aurora,synapse,openmeetings,kylin,bloodhound,harmony,kalumet,nuvem,empire,oltu,oodt,jdo,sqoop,bluesky,olio,flex,esme,mod_ftp,plc4x,openaz,chemistry,lucenenet,marmotta,lokahi,pubscribe,pig,dolphinscheduler,heraldry,derby,chukwa,myfaces,kato,fineract,agila,flume,ace,phoenix,ant,triplesoup,crunch,airavata,accumulo,iota,rave,whirr,ripple,olingo,directmemory,spark,groovy,rocketmq,stonehenge,impala,dubbo,ftpserver,ivy,couchdb,provisionr,hdt,cxf,ode,commons,alois,onami,openjpa,pirk,struts,metamodel,cmda,beehive,cayenne,kudu,corinthia,ctakes,muse,nutch,juice,directory,warble
53,58,18,66,18,55,112,9,6,22,582,160,60,9,1,159,306,672,584,1106,30,388,1184,57,54,1,306,586,115,117,100,396,33,4,126,1,3,4,235,145,982,21,18,14,157,58,44,67,1,149,257,249,977,68,1,198,413,11,199,100,387,380,224,213,45,16,95,215,2419,1371,252,2659,3737,1455,141,28,85,1,85,67,623,19,681,541,439,1667,745,1898,279,210,80,1187,238,183,3696,389,14,1496,5,44,3438,10,396,1364,160,436,1024,333,11,374,1,309,3581,218,95,2,47,97,290,384,8,1,1813,111,236,301,46,322,596,6,336,1006,137,32,59,760,254,46,243,135,13,40,134,1119,11,50,198,175,470,229,196,8316,608,592,1349,11,1,413,68,1,29,82,99,933,18,1280,662,66,466,517,6443,212,112,50,338,53,2446,172,213,160,44,12,13,235,2086,11,14,115,1,329,60,234,70,17,13,40,123,106,7,678,1179,102,19,7,205,118,221,107,346,124,1,106,364,7,10,119,1,49,129,50,139,99,276,64,351,18,2,777,113,483,1330,1250,106,158,243,54,144,186,240,56,527,828,673,379,277,75,609,132,537,459,389,308,1704,5317,19,10,22,9,452,87
96,103,5,4,10,90,13,10,1,13,6,891,78,1,2,189,76,11,138,28,5,378,59,10,6,40,109,359,110,482,12,478,28,2,58,17,1,411,206,57,660,13,4,9,11,212,2,31,351,137,91,348,385,113,150,9,286,94,209,77,879,6,269,480,746,2,342,106,311,145,270,4,56,72,132,4,24,1063,37,171,205,1,330,16,48,790,540,2376,107,322,104,635,369,2,1135,2585,42,308,70,12,142,108,242,186,122,25,2151,11,21,25,9,418,14,54,5,2,84,658,34,1474,28,166,826,67,187,26,2,2,48,17,540,108,115,67,38,896,474,34,24,124,6,108,1235,9,16,20,3,38,197,55,356,112,94,606,1206,28,74,29,35,49,19,3105,30,46,554,3420,9,25,550,2154,2394,482,25,12,339,212,657,139,266,929,4,104,13,46,632,13,13,92,11,126,14,11,705,37,11,147,26,29,3,624,1148,64,25,1509,4,9,21,34,317,55,22,168,1,2593,4,58,266,16,91,8,547,16,271,2,125,11,324,773,1,1,81,349,95,355,641,87,176,64,1,49,504,278,527,23,4,12,692,139,24,768,414,66,218,201,1,1,18,4,-1,-1
210,1,17,2,16,108,3,9,198,2,584,70,22,14,1,1,144,283,126,78,1,118,59,33,33,40,115,95,117,51,5,300,85,2,78,14,621,9,75,207,666,6,17,21,12,3,2,3,292,153,16,186,308,366,557,139,798,4,66,144,119,177,317,368,656,50,77,107,391,57,87,65,4,104,618,69,16,42,7,31,70,28,152,9,67,2652,102,3254,44,135,180,466,14,273,191,122,126,1491,260,51,140,71,27,190,518,58,1877,19,16,65,9,62,21,40,172,2,14,411,69,242,41,87,5169,23,5113,26,51,154,18,13,678,1467,52,121,67,568,199,42,23,54,15,92,31,2,8,11,1,38,106,42,381,218,198,308,293,89,49,124,11,26,36,499,67,20,17,3157,786,33,9240,330,28809,332,40,24,14,498,178,62,47,116,7,594,31,126,2869,9,15,13,1,28,55,65,113,12,54,2,13,52,1,489,78,98,121,4702,8,64,88,119,8,58,1,109,11,2615,5,68,3,2426,19,25,138,386,266,3,45,1,10,778,1,128,462,87,15,365,147,114,193,25,172,1,289,46,675,8,119,3,435,317,31,65,181,44,154,1,11,101,30,-1,-1,-1
333,138,45,1,2,176,2,1,9,91,594,385,463,48,2,927,69,1,91,18,5,123,108,135,44,1,135,127,140,106,22,139,48,4,2,12,257,47,15,858,43,1,14,1,2,6,6,21,29,39,18,22,125,314,114,48,351,1,3,120,248,232,219,469,342,378,88,183,159,608,266,2,389,46,642,77,55,16,35,9,290,2,159,79,13,2524,45,2401,20,304,257,1491,152,9,3723,218,13,1151,160,9,293,54,37,9,376,72,551,19,11,290,2,35,3136,9,7,2,116,41,49,365,16,299,5252,2,850,56,55,1,6,6,1012,136,163,78,11,97,94,48,94,343,25,8,49,4,224,4,2,62,180,32,184,969,164,238,571,18,49,160,25,38,277,820,4,296,119,2776,113,140,511,1153,54695,240,6,5,46,105,85,6,119,964,9,428,67,95,1194,46,3,1,5,10,1,5,140,17,5,33,13,8,2,696,5,21,3,576,13,20,21,98,1,66,4,263,283,22,7,73,47,1437,15,219,77,260,118,46,183,15,14,80,11,717,202,13,1,123,249,111,39,84,7,2,431,14,547,7,175,1,218,83,2,22,159,60,343,539,10,111,25,-1,-1,-1
77,1,37,438,2,168,11,3,30,61,22,924,8,8,125,3443,66,16,106,42,29,95,107,69,26,1,93,69,121,58,10,128,32,7,96,1,65,82,118,497,105,4,1,2,4,2,3,37,6730,222,2,22,181,65,25,870,261,3,41,131,836,309,512,413,371,135,50,153,62,1550,296,15,1060,47,332,2,32,84,56,28,120,10,216,34,156,711,142,6074,47,503,313,304,16,12,293,172,12,1143,138,3,1262,21,4,2,346,5,715,102,33,137,18,3,3300,12,19,2,121,26,40,298,43,487,425,53,224,196,39,2,35,15,107,327,85,129,29,301,252,-1,91,110,16,5,673,16,35,27,25,2,124,437,590,254,125,694,384,46,78,58,25,16,37,448,30,4,66,1571,379,511,342,394,30677,510,11,48,15,15,442,85,147,138,3,383,88,137,520,40,1,22,30,6,13,38,114,32,15,14,21,7,28,560,1,77,144,437,59,35,47,1574,38,134,11,268,90,129,5,606,12,1925,17,56,19,208,151,65,19,23,15,1639,62,242,79,100,205,85,427,135,60,60,25,2,362,1,395,1,140,13,415,213,4,-1,320,239,135,1473,317,11,77,-1,-1,-1
120,2,65,177,1,196,17,1,87,198,67,397,125,41,164,5670,97,12,51,1715,14,1068,4,81,44,1,90,446,80,5,109,174,20,6,1,3,480,85,52,547,56,4,1,7,2,8,16,2,1097,132,2,18,136,115,12,164,473,1,98,355,691,163,267,726,320,406,58,95,71,80,246,9,309,66,496,67,3,52,29,11,1,74,645,56,22,531,8,3332,8,584,226,292,15,10,1089,103,12,7,29,4,375,38,47,1,332,83,324,20,1,82,25,9,3416,5,47,2,128,191,12,664,27,84,800,20,249,6,70,6,17,2828,664,159,194,100,17,732,514,-1,109,51,64,17,530,10,9,34,3,10,60,211,231,360,135,930,378,36,38,24,1,39,78,732,22,5,5,1338,75,277,591,190,25387,232,36,80,23,22,38,127,124,103,1,175,245,90,621,30,1,1,44,2,7,40,27,139,2,15,27,6,3,117,15,113,228,103,82,76,104,306,6,230,26,571,41,68,5,49,4,247,46,-1,108,78,214,16,70,5,17,147,36,1601,1309,1272,1,366,1402,96,121,39,94,4,194,35,429,1,135,4,35,1237,1,-1,549,458,182,1327,56,6,94,-1,-1,-1
127,14,15,172,17,143,4,1,55,37,2,337,384,20,509,5174,12,581,59,752,1,69,91,37,24,1,125,185,78,1,107,124,29,95,2,6,82,100,16,131,199,1,1,1,6,4,31,7,303,84,1,10,25,55,167,48,555,1,185,610,222,54,62,656,436,138,152,170,82,128,-1,1,853,109,812,4,35,176,25,11,13,1,123,4,191,259,51,4022,55,1043,145,324,21,3,875,57,5,46,150,5,317,27,4,6,1296,53,3594,29,7,214,16,134,1076,8,48,178,471,11,42,153,20,22,1433,9,617,1,42,56,31,2814,9,44,174,63,14,117,749,-1,264,23,114,53,22,35,60,16,14,2,141,143,234,476,111,43,221,4,78,60,5,1,10,1250,14,5,16,849,258,70,874,163,25672,328,35,1,214,46,664,53,60,78,1,124,73,112,562,79,252,3,1,1,108,430,37,12,13,8,13,6,1,271,32,43,27,154,6,109,98,325,3,161,5,578,175,254,4,54,3,112,48,-1,91,385,145,2,189,36,3,75,43,759,33,55,31,1442,438,66,139,33,9,8,190,1,466,-1,133,2,32,349,1,-1,396,237,146,54,203,191,48,-1,-1,-1
54,126,87,11,7,108,1,555,12,8,3,820,95,59,336,5321,35,204,39,248,16,162,78,100,27,20,177,178,18,213,6,12,116,1,75,17,37,57,18,859,229,1,2,3,11,1,10,2,174,100,5,3,31,14,35,7,609,5,90,234,139,70,54,663,187,62,130,87,51,3677,-1,21,453,35,885,6,73,1316,51,11,38,1,194,2,24,2349,2665,4499,47,434,269,360,7,1,334,185,102,493,391,30,668,40,68,1,204,10,437,43,13,110,18,77,1306,21,31,51,1023,112,156,121,13,11,1063,71,311,3,61,112,29,2575,69,465,11,116,46,262,1010,-1,114,67,26,41,80,8,330,69,1,6,149,142,72,514,486,844,126,12,17,11,1,1,31,734,3,10,99,4205,183,29,586,298,9296,424,34,49,417,71,378,10,58,95,3,131,59,128,666,18,83,173,1,2,1,425,33,42,1,66,20,3,15,93,1,5,11,114,12,11,114,108,1,179,18,264,139,341,24,23,4,140,3,-1,49,224,241,4,79,2,11,454,142,175,20,429,16,266,159,3,33,43,-1,70,144,44,866,-1,-1,1,-1,140,2,-1,223,302,203,1357,75,139,-1,-1,-1,-1
81,13,91,7,3,399,1,199,9,10,22,499,472,26,165,3880,64,273,10,77,1,101,164,102,53,12,166,127,40,93,3,60,61,56,9,19,119,6,25,5305,150,1,11,29,1,15,2,2,252,250,5,1,30,29,513,29,358,6,44,118,459,77,165,516,657,74,122,365,87,3732,-1,11,250,162,768,42,14,92,8,10,31,1,304,32,65,1004,53,2414,95,230,149,359,363,522,340,389,5,465,2550,2,123,37,6,10,1152,4,401,4,8,74,3,54,432,12,13,9,135,3,63,180,4,19,3503,1,723,1,103,11,15,148,847,240,56,134,3,166,828,-1,165,35,35,69,69,54,103,67,7,151,128,241,124,775,62,374,115,6,25,1,38,5,34,335,14,318,113,2596,466,231,656,306,7368,577,22,108,28,49,500,67,89,1215,1,258,71,152,548,47,89,2,20,2,1,317,144,70,68,75,102,9,1,474,299,9,23,112,1,-1,140,464,5,84,38,644,30,51,3,17,18,135,4,-1,30,209,159,12,168,6,4,519,101,230,49,77,133,145,517,13,72,74,-1,24,204,313,-1,-1,-1,5,-1,-1,2,-1,151,192,295,15,33,-1,-1,-1,-1,-1
84,1,206,242,13,260,7,37,1,51,69,130,20,31,339,1,83,269,11,151,9,247,312,163,29,20,183,96,32,13,-1,194,28,7,48,3,145,1,29,1026,64,9,14,1,3,3,9,-1,235,252,13,2,18,24,7,49,517,8,5,200,343,106,143,262,1251,183,219,358,23,220,-1,3,128,330,491,17,6,88,22,11,17,1,296,45,20,531,4,355,2,459,205,812,7,22,144,127,24,141,1219,6,109,47,147,6,100,28,501,11,9,132,35,8,1507,15,25,1,134,7,34,218,86,40,2947,121,686,26,26,6,1,1,203,186,240,89,24,569,501,-1,190,50,66,89,211,2,33,16,72,49,176,43,153,220,40,41,274,58,140,74,16,25,432,210,47,40,330,1467,285,211,647,2044,7522,320,10,34,97,104,1661,9,9,278,25,294,30,131,422,83,7,26,24,1,1,4,162,27,2,92,101,47,18,232,20,32,87,77,20,-1,181,463,4,35,9,236,50,63,14,40,10,-1,5,-1,78,329,160,3,118,3,24,705,1,2065,28,325,21,341,703,3,110,61,-1,1,414,114,-1,-1,-1,6,-1,-1,7,-1,76,269,378,11,50,-1,-1,-1,-1,-1
