openwebbeans,drill,jena,etch,wave,shindig,droids,netbeans,sanselan,zeppelin,rya,skywalking,freemarker,stdcxx,openwhisk,usergrid,samza,tajo,ratis,reef,mrunit,ofbiz,singa,nmaven,hama,zipkin,xap,datasketches,clerezza,atlas,awf,tamaya,wookie,devicemap,horn,jspwiki,s4,ambari,openoffice,guacamole,sis,photark,tika,gora,unomi,tashi,shardingsphere,pinot,allura,imperius,myriad,wink,airflow,hudi,daffodil,cordova,madlib,fluo,trafficserver,tez,jackrabbit,iotdb,yoko,servicemix,gobblin,asterixdb,amaterasu,griffin,helix,mrql,graffito,eagle,giraph,commonsrdf,omid,river,pivot,batchee,deltacloud,gearpump,weex,falcon,slider,sling,carbondata,twill,tephra,tuscany,druid,systemml,npanday,juneau,gossip,hawq,manifoldcf,odf,mesos,quickstep,bval,flink,curator,streams,blur,vxquery,sirona,thrift,subversion,bigtop,pulsar,stanbol,predictionio,apisix,lucy,nifi,knox,trafodion,s2graph,buildr,datafu,taverna,joshua,ranger,deltaspike,ariatosca,superset,solr,mynewt,aries,syncope,climate,sentry,echarts,zeta,shiro,vcl,felix,opennlp,tvm,cassandra,lens,uima,jclouds,roller,trafficcontrol,parquet,celix,htrace,kafka,hise,bookkeeper,mnemonic,samoa,storm,cloudstack,metron,brooklyn,beam,servicecomb,adffaces,ignite,libcloud,wicket,hcatalog,oozie,iceberg,click,stratos,tinkerpop,johnzon,abdera,calcite,kitty,edgent,aurora,synapse,openmeetings,kylin,bloodhound,harmony,kalumet,nuvem,empire,oltu,oodt,jdo,sqoop,bluesky,olio,flex,esme,qpid,isis,mod_ftp,openaz,chemistry,lucenenet,marmotta,lokahi,geode,pig,heraldry,derby,chukwa,dolphinscheduler,myfaces,kato,fineract,agila,flume,ace,pdfbox,plc4x,phoenix,ant,triplesoup,crunch,airavata,accumulo,iota,any23,ibatis,whirr,ripple,olingo,directmemory,spark,groovy,rocketmq,stonehenge,impala,dubbo,ftpserver,apex,activemq,ivy,couchdb,provisionr,hdt,pubscribe,cxf,commons,alois,ode,rave,onami,openjpa,pirk,struts,metamodel,cmda,cayenne,kudu,corinthia,ctakes,nutch,juice,muse,beehive,directory,warble
53,58,18,69,18,55,112,9,6,22,582,164,60,9,1,209,309,672,587,1106,30,669,1184,58,54,1,308,588,115,117,100,433,33,4,1,3,4,284,150,982,21,18,14,157,255,44,67,115,152,257,249,1011,71,1,198,443,11,199,103,380,233,45,16,215,2439,1373,2659,3737,1455,28,85,1,95,67,623,19,711,541,440,749,1898,280,248,102,1193,238,183,169,3702,389,14,1496,44,3500,36,396,1364,160,436,1035,333,11,374,1,309,218,265,95,2,88,97,290,1,1823,111,280,312,46,322,6,336,1023,137,104,35,71,257,243,135,13,40,636,1119,27,50,198,183,5,473,235,220,8316,608,1359,13,126,1,422,74,29,112,933,22,1391,662,636,1675,517,81,7633,8,221,112,51,338,53,2531,1745,172,213,160,44,594,12,13,237,2086,11,14,115,1,329,61,234,692,31,15,40,125,106,213,384,7,1179,102,20,8,205,3581,221,663,129,1,109,124,364,7,10,119,1,1,691,49,130,50,352,109,312,65,596,47,18,2,778,113,483,1330,1259,106,158,243,57,760,770,144,190,240,56,118,599,694,379,828,382,277,75,617,136,548,459,308,1707,5327,19,22,9,10,421,464,88
122,103,5,1,10,105,13,10,40,13,6,892,79,1,2,144,124,27,161,36,5,128,58,5,7,40,115,248,153,484,12,430,56,2,17,1,411,174,52,660,13,5,9,11,1,2,32,399,141,90,348,367,135,150,9,412,94,238,102,74,332,1065,2,105,294,176,4,56,91,4,24,1063,23,171,206,1,266,16,110,540,3436,66,292,106,631,369,1,208,1190,2670,57,1110,12,82,123,243,186,247,44,2157,11,21,32,9,430,59,270,6,2,50,663,90,166,839,69,1058,13,35,2,17,587,132,121,348,89,93,554,24,142,6,123,761,9,8,22,3,32,70,197,33,482,172,101,1263,108,75,100,21,30,29,89,46,553,5393,793,431,820,2184,18,205,28,526,46,23,339,212,559,1651,38,261,929,4,708,129,13,46,629,13,13,92,11,135,61,11,112,26,10,147,26,29,493,1547,3,1148,88,41,2237,4,14,68,3,54,22,36,178,1,2593,4,57,266,49,719,13,96,8,573,12,244,3,48,38,11,325,791,1,1,114,381,95,406,680,102,930,527,178,46,1,49,16,493,659,23,278,103,72,12,599,141,18,768,77,212,199,4,24,4,1,435,-1,-1
266,1,17,2,16,133,3,9,202,2,586,111,24,14,1,150,90,272,83,71,1,95,132,33,38,40,138,72,111,40,15,341,76,2,14,624,56,45,316,664,6,16,21,12,3,2,18,185,147,23,190,303,408,566,139,801,4,39,191,152,262,238,427,176,482,264,65,4,105,69,25,42,10,31,114,28,184,9,10,137,2565,44,191,381,1625,27,273,699,3764,147,118,1622,60,229,33,60,190,515,75,2251,20,17,162,9,51,41,193,174,2,31,439,19,87,5199,20,5154,26,54,154,13,661,1463,94,88,130,11,140,33,343,21,83,69,2,207,9,2,85,272,155,41,316,1018,199,318,8,32,45,130,23,26,13,20,131,1299,417,9375,2843,1188,62,32855,41,319,8,14,41,557,200,941,62,74,121,14,339,575,56,129,2869,9,15,13,1,17,5,65,131,17,59,2,14,47,455,177,1,24,84,111,4519,8,31,38,5,56,1,131,136,137,2620,5,83,3,26,637,2689,11,244,136,425,306,13,22,54,1,24,776,12,668,594,43,15,357,299,108,568,122,215,52,172,1,61,343,788,8,46,136,136,3,384,299,31,65,73,292,1,8,26,-1,109,137,-1,-1
305,138,45,384,2,182,12,1,5,91,592,757,462,52,77,2475,75,1,190,59,5,134,59,151,48,1,174,106,133,138,18,112,52,8,13,270,84,53,1086,103,1,14,1,2,7,6,5,1753,133,14,34,172,256,69,154,248,1,10,135,238,374,467,32,134,106,1806,2,1155,41,77,54,67,47,9,233,2,191,90,18,46,4005,51,596,243,352,147,9,527,242,203,12,154,3,1047,54,2,9,287,46,971,1,35,253,2,3,4,309,9,2,116,12,74,352,3693,35,392,60,46,1,8,965,378,139,96,45,30,138,96,126,25,12,134,14,42,14,8,14,250,186,159,501,199,145,475,52,88,76,138,20,278,16,298,59,3523,374,484,2570,334,127,50363,8,414,13,25,19,43,337,438,6,173,970,3,394,579,81,148,1553,52,3,1,33,7,1,5,114,33,8,33,18,4,541,391,2,5,47,8,434,27,6368,21,1,119,15,1560,271,219,134,7,639,47,38,708,1597,28,56,60,232,155,70,3,-1,26,15,1644,7,265,36,80,1,87,269,141,222,433,42,82,7,2,20,494,593,7,14,127,175,1,435,113,4,22,80,270,732,310,76,-1,105,324,-1,-1
73,1,37,184,2,229,1,4,89,218,22,848,24,13,156,7340,108,24,15,1724,29,247,96,61,46,1,85,436,104,36,10,163,24,3,3,30,37,117,434,68,4,1,2,4,9,12,37,5048,206,2,5,241,143,16,784,459,3,119,126,350,428,321,111,161,44,155,15,349,22,2,26,33,50,28,119,10,625,56,161,105,6742,21,343,347,346,29,12,408,1053,145,10,1047,4,737,37,5,2,382,78,738,114,1,86,18,2,11,291,28,2,131,189,21,395,713,33,194,196,38,2,19,701,108,171,40,178,17,260,95,33,14,1,1056,6,35,43,19,12,18,100,461,329,512,156,570,15,9,51,49,21,77,25,1,12,1252,153,152,572,428,619,22002,58,403,27,45,36,11,185,593,129,131,179,1,758,301,190,108,620,48,1,22,4,7,13,38,43,35,9,15,17,6,789,338,28,11,125,269,432,90,3292,114,38,195,3,202,709,78,59,5,57,15,16,281,1574,33,-1,109,217,73,24,51,-1,6,17,130,84,1270,87,1256,205,336,1723,108,269,1023,93,60,28,2,80,257,383,1,1,44,122,13,203,1004,1,-1,471,124,793,54,113,-1,12,418,-1,-1
169,6,65,81,1,178,17,1,61,95,67,190,182,42,447,3369,6,576,102,1292,14,964,84,97,23,1,122,67,97,4,109,178,29,6,6,492,48,28,346,34,4,1,7,2,4,36,7,1279,86,1,18,48,64,133,48,763,1,32,654,83,171,419,520,152,94,33,9,68,147,67,35,129,37,11,1,74,233,2,188,54,4089,9,1057,146,299,15,10,739,554,73,8,46,5,197,28,45,1,1377,51,3443,20,1,209,25,106,8,-1,70,2,425,197,39,33,1601,9,251,6,81,14,3097,8,133,240,134,78,21,964,322,41,150,68,33,13,11,19,16,1,150,94,152,319,411,162,292,29,1,88,61,5,1,26,10,15,1691,230,1118,352,155,186,28759,25,366,38,60,36,44,300,1295,41,95,25,1,264,145,245,134,115,56,168,1,44,1,7,40,29,123,13,20,31,7,479,632,3,5,38,116,122,43,607,97,6,232,26,402,303,7,268,5,31,3,39,189,101,36,-1,102,176,280,16,8,-1,34,3,124,3,1275,1301,69,1,143,325,79,714,403,163,30,89,4,136,171,412,1,35,144,152,4,45,704,1,-1,318,228,1326,209,59,-1,153,534,-1,-1
64,136,58,154,17,130,4,555,5,10,5,906,315,55,379,5388,42,205,4,256,1,141,68,43,25,1,99,288,28,213,107,84,69,95,17,28,106,18,416,368,1,1,1,6,1,9,2,170,92,5,10,26,20,85,7,600,1,251,402,101,44,342,65,120,62,3789,1,1268,27,4,1,1251,49,11,51,1,192,4,26,2665,2771,73,554,327,335,14,3,1013,809,203,106,496,30,889,42,2,6,1234,20,665,52,7,114,34,96,18,-1,32,178,946,112,156,11,637,73,832,1,33,158,1945,71,44,15,128,49,40,1021,111,54,21,40,83,41,379,67,1,7,336,165,171,89,468,39,192,10,2,22,9,1,41,3,10,100,4165,226,713,2242,325,31,14056,12,345,9,49,558,76,673,1018,21,30,142,3,71,126,46,115,574,53,186,3,1,1,108,689,58,36,1,67,20,4,825,98,1,32,34,21,182,12,1207,143,3,199,17,111,494,188,359,4,45,4,1,195,171,31,-1,46,471,161,2,48,-1,12,11,436,119,263,13,450,31,1586,266,2,130,183,37,54,-1,8,12,233,820,-1,35,162,49,2,-1,180,2,-1,193,188,1314,81,-1,-1,139,240,-1,-1
81,8,108,7,7,358,2,199,12,10,22,587,468,39,243,4138,54,278,49,100,16,130,164,133,54,31,262,140,44,93,6,60,119,1,19,133,6,25,5800,192,1,2,3,11,15,3,2,268,116,5,3,34,25,513,29,404,11,44,145,78,103,603,76,357,91,3732,21,250,135,6,87,198,14,11,31,1,331,32,65,53,2658,95,220,166,411,363,523,801,342,378,5,465,22,123,37,73,1,1154,7,387,4,13,81,3,61,14,-1,15,51,335,3,78,19,3595,1,491,4,115,11,1098,820,469,59,126,179,17,827,170,48,48,75,61,54,104,67,7,151,2601,151,196,126,891,494,144,12,75,26,6,38,34,14,318,22,2606,466,716,996,331,237,7368,6,693,49,107,107,49,532,526,67,115,1215,1,1150,274,81,180,1032,47,86,173,1,2,1,475,147,76,1,76,113,10,530,258,15,1,9,23,112,1,1118,146,5,92,40,468,718,140,57,24,19,18,1,393,136,4,-1,37,217,235,4,21,-1,5,4,501,134,272,54,80,129,182,544,3,320,469,91,70,-1,70,-1,196,-1,-1,320,191,-1,1,-1,-1,2,-1,316,330,71,32,-1,-1,-1,207,-1,-1
85,7,228,242,3,308,7,37,9,51,69,153,20,32,357,1,92,269,11,162,1,261,313,167,29,21,190,100,32,13,3,197,42,56,3,180,1,29,1037,79,1,11,29,1,3,9,-1,245,255,13,1,18,31,18,51,521,8,6,210,106,216,1297,187,391,23,220,11,128,385,42,6,88,22,10,17,1,484,46,20,20,367,2,465,223,837,7,22,559,151,154,24,141,6,130,52,147,10,111,28,578,27,8,132,35,9,15,-1,26,9,206,7,37,53,3463,121,988,26,28,6,1,316,186,240,246,103,24,521,190,50,69,89,211,2,33,18,73,68,1254,256,260,153,222,40,361,58,50,140,77,16,433,47,40,417,1529,310,660,547,2096,222,7645,88,346,24,35,114,104,1693,249,9,19,278,25,41,311,30,133,538,84,627,2,20,2,1,8,162,31,68,93,101,47,287,233,1,299,32,87,78,20,10118,191,4,73,9,503,256,50,63,3,40,10,5,322,-1,5,-1,84,348,201,12,1,-1,7,24,869,1,2088,29,337,45,801,717,13,577,343,134,68,-1,24,-1,471,-1,-1,119,123,-1,5,-1,-1,7,-1,285,425,11,52,-1,-1,-1,76,-1,-1
29,185,193,7,13,564,6,44,1,130,79,661,3,96,426,424,74,350,29,300,9,-1,9,56,33,342,87,587,60,83,-1,74,56,7,11,210,79,5,839,2,9,14,100,3,36,12,-1,226,213,4,2,21,43,77,89,259,2,5,-1,272,107,781,41,426,59,625,3,96,143,21,180,69,8,11,6,1,370,20,32,145,692,139,310,166,1021,5,9,586,126,144,62,533,9,130,21,103,9,174,157,401,-1,9,117,8,5,20,-1,25,258,115,8,47,68,508,133,828,8,23,77,45,307,227,64,220,85,58,566,171,113,43,349,2,5,2,35,19,52,1474,94,293,56,-1,147,181,10,35,32,70,10,938,22,320,979,783,147,543,3580,304,143,10924,20,1421,131,233,39,74,1160,266,7,14,105,2,51,307,147,97,397,5,83,26,24,9,1,13,120,46,2,6,8,30,334,117,18,20,53,101,164,2,19371,154,-1,-1,4,367,-1,27,456,14,78,2,25,340,-1,2,-1,59,125,-1,3,23,-1,39,3,565,6,3209,113,1168,49,315,447,10,206,442,117,54,-1,1,-1,296,-1,-1,134,120,-1,6,-1,-1,39,-1,79,252,90,51,-1,-1,-1,-1,-1,-1
