openwebbeans,jena,etch,shindig,sanselan,rya,skywalking,stdcxx,usergrid,samza,wave,tajo,ratis,mrunit,nmaven,hama,xap,datasketches,awf,tamaya,wookie,devicemap,horn,jspwiki,freemarker,ambari,singa,openoffice,guacamole,sis,photark,tika,unomi,tashi,shardingsphere,pinot,allura,myriad,wink,gora,airflow,daffodil,cordova,madlib,trafficserver,tez,iotdb,gobblin,asterixdb,amaterasu,griffin,helix,mrql,giraph,river,pivot,batchee,deltacloud,gearpump,weex,slider,droids,clerezza,twill,tephra,tuscany,druid,systemml,s4,graffito,juneau,openwhisk,gossip,manifoldcf,odf,mesos,quickstep,bval,curator,streams,blur,vxquery,imperius,subversion,apisix,lucy,nifi,predictionio,knox,trafodion,buildr,yoko,datafu,taverna,ranger,hudi,ariatosca,superset,solr,hawq,aries,jackrabbit,thrift,syncope,climate,sentry,echarts,zeta,shiro,vcl,opennlp,tvm,pulsar,lens,uima,drill,jclouds,falcon,roller,trafficcontrol,celix,htrace,sling,s2graph,kafka,hise,bookkeeper,npanday,samoa,joshua,metron,cloudstack,brooklyn,servicecomb,adffaces,ignite,libcloud,wicket,hcatalog,click,stratos,cassandra,tinkerpop,johnzon,carbondata,fluo,calcite,atlas,zeppelin,kitty,edgent,aurora,synapse,sirona,openmeetings,bloodhound,harmony,bigtop,kalumet,nuvem,empire,oltu,oodt,jdo,bluesky,olio,flex,esme,qpid,isis,mod_ftp,abdera,felix,openaz,chemistry,marmotta,geode,deltaspike,servicemix,pig,mnemonic,heraldry,derby,chukwa,dolphinscheduler,omid,agila,storm,beam,ace,iceberg,pdfbox,plc4x,lokahi,lucenenet,kylin,phoenix,ant,triplesoup,flume,commonsrdf,crunch,myfaces,accumulo,iota,airavata,any23,mynewt,ibatis,ripple,olingo,directmemory,stanbol,eagle,spark,groovy,rocketmq,stonehenge,impala,netbeans,dubbo,oozie,apex,kato,couchdb,whirr,parquet,hdt,pubscribe,cxf,activemq,fineract,ode,rave,commons,openjpa,pirk,metamodel,alois,ivy,ftpserver,flink,cayenne,zipkin,struts,kudu,provisionr,corinthia,ctakes,reef,onami,sqoop,nutch,juice,muse,beehive,ofbiz,directory,cmda
112,18,70,78,6,582,601,9,307,309,20,672,607,30,61,54,380,730,105,500,43,4,1,3,94,316,1227,161,982,21,19,14,256,44,93,274,214,516,1232,157,88,202,552,11,116,380,45,2491,1507,2659,3737,1464,28,113,19,753,543,453,772,1898,345,124,146,369,183,191,4399,2884,4,85,1496,1,45,97,426,1452,160,447,333,31,377,1,296,332,306,1,2056,668,114,309,46,18,322,9,1079,149,151,49,75,3513,260,289,240,202,13,53,655,1119,27,53,186,68,2,235,468,58,8330,346,633,1651,126,61,115,315,435,87,48,37,933,692,662,1582,719,838,86,7680,35,315,135,167,2781,621,2807,178,1258,322,168,117,22,44,971,82,13,417,237,11,14,97,124,12,383,61,245,728,20,40,131,109,303,993,7,315,198,1754,103,9,3584,179,237,221,128,663,137,1,109,670,10,552,2093,1,371,1,797,205,20,2298,51,147,50,133,223,555,184,380,65,109,596,514,55,2,858,113,127,802,483,1332,1269,201,158,9,277,51,788,365,193,20,31,63,123,744,874,7,828,430,907,75,905,552,379,161,59,1195,333,1,231,1758,240,5389,19,1118,279,35,31,9,10,575,735,542,459
228,5,2,135,199,591,668,15,2,146,24,288,198,5,33,34,120,138,5,516,95,2,31,622,45,155,61,266,666,13,18,9,3,2,7,371,153,265,354,21,459,141,824,94,220,183,1106,624,65,4,58,123,4,7,1,302,11,104,582,4361,300,3,181,14,273,674,651,207,420,25,1580,2,66,84,185,44,548,71,30,18,112,9,19,376,87,166,5170,796,58,5181,52,50,156,14,1482,557,321,158,96,149,32,451,64,89,5,143,748,11,8,22,96,269,2,63,457,103,264,44,218,521,79,80,207,26,128,15,36,126,64,805,798,5617,9452,2070,37,28888,41,613,41,520,555,133,1069,73,866,114,957,502,13,10,516,610,13,268,167,18,15,173,88,1,52,64,65,143,54,147,21,58,739,998,3,183,2,712,139,5063,32,96,178,102,67,8,86,22,119,79,4,566,3044,266,37,49,633,4,136,3208,2427,95,33,91,72,168,200,409,3,397,66,359,64,326,781,1,14,308,128,534,380,15,711,19,614,28,1379,119,50,10,97,9,71,489,443,2615,278,135,977,12,454,31,12,290,155,2135,100,40,353,359,173,14,12,87,121,28,36,-1,102,286,140,-1,768
374,17,385,216,39,592,873,52,2527,75,2,1,190,1,160,51,195,122,22,164,60,9,13,272,464,78,126,1172,125,6,14,21,7,2,21,5737,150,38,251,2,315,154,425,4,197,258,547,192,2114,65,1155,71,69,50,28,242,90,43,82,5938,598,12,214,154,9,749,3899,330,95,59,1491,100,7,64,39,190,433,76,19,36,311,9,20,355,80,532,5334,54,51,1010,58,413,1,29,418,81,98,76,30,1133,101,468,12,449,43,13,180,19,234,22,26,269,2,174,602,1,1003,51,179,513,88,106,460,199,192,33,278,24,298,1026,376,3864,764,1258,318,59840,12,468,14,110,359,227,986,6,1666,34,973,142,93,12,742,606,130,35,158,57,3,21,1,33,9,1,5,223,20,2,21,7,655,579,1,186,11,5,47,739,6379,177,237,25,18,1,128,15,1607,304,5,170,2812,49,42,26,885,64,40,1553,2649,29,275,653,9,85,322,224,71,332,21,165,-1,14,1661,19,163,67,791,204,87,185,110,3,343,44,284,236,94,26,52,3,21,599,593,135,46,139,720,4,459,2,7,54,151,975,115,40,114,343,7,732,313,59,252,38,90,-1,111,342,184,-1,-1
136,45,244,258,94,22,844,42,8432,109,2,566,73,5,110,48,123,462,10,262,31,6,3,505,130,107,104,711,64,1,1,1,9,19,37,1487,230,5,201,4,149,815,703,5,375,383,396,97,175,2,390,109,77,63,2,653,56,144,105,6649,723,18,108,30,12,658,1196,156,85,26,7,186,4,42,47,9,491,88,114,1,138,2,2,-1,21,129,908,200,26,281,81,517,16,3011,174,21,83,201,31,820,213,465,12,51,68,37,1053,1,32,45,13,67,2,525,541,139,524,24,209,727,9,57,301,173,35,20,78,13,5,701,187,1792,676,461,593,27903,63,530,37,24,189,70,1018,129,415,107,164,39,249,1,961,314,248,12,145,55,3,53,22,4,7,13,78,45,2,43,34,8,848,771,2,171,17,16,130,485,3422,261,181,139,40,38,300,26,402,1,7,8,737,15,38,38,278,94,320,689,1621,50,-1,57,28,121,849,224,24,213,36,633,-1,15,159,87,235,76,1906,1352,1297,20,401,1,1732,89,811,68,62,15,44,2,102,324,1062,78,15,76,539,13,212,4,1,134,114,1204,595,1,1380,223,108,2106,134,1724,179,151,122,-1,25,752,1080,-1,-1
151,88,159,186,26,72,774,63,6815,35,1,209,50,29,54,32,152,333,109,135,70,95,6,65,346,13,123,153,293,4,1,2,4,35,7,376,107,18,27,2,63,17,748,1,741,100,547,91,3803,15,1270,68,2,57,10,201,6,207,2694,4443,1168,4,90,28,13,1260,1057,112,106,36,534,640,16,38,4,2,1334,53,59,1,255,59,1,-1,107,19,1658,113,48,912,47,167,151,1185,55,182,185,78,40,813,303,88,18,55,126,51,75,52,385,18,2,361,2,190,95,142,816,78,121,280,2,90,294,6,65,5,41,96,15,76,245,4911,1175,317,82,26824,24,468,37,81,770,203,1414,59,426,267,153,75,44,1,80,188,98,176,162,78,335,52,1,44,1,7,430,57,13,56,26,6,895,127,28,64,16,32,48,208,1699,161,202,169,2,6,289,20,274,51,5,115,2118,3,590,16,321,6,33,575,198,46,-1,56,11,123,591,254,16,544,51,1234,-1,20,426,52,1159,1293,586,34,474,1,1612,1,559,50,184,191,60,34,8,4,116,222,272,361,70,234,811,4,-1,1,1,159,66,3449,313,1,448,222,9,1314,169,948,135,13,-1,-1,235,366,159,-1,-1
109,176,7,450,12,22,838,44,5252,80,17,298,49,14,145,60,268,313,107,127,155,1,17,178,472,18,166,6182,321,4,1,7,1,3,-1,344,286,10,54,6,33,29,632,12,221,87,1346,110,3748,10,250,191,73,17,74,416,32,69,92,2905,383,2,48,365,527,978,480,485,6,87,466,362,29,72,73,1,1172,8,4,7,106,20,5,-1,158,47,5243,3,25,744,124,90,8,1687,506,516,159,218,22,447,215,233,18,74,50,92,82,54,108,121,156,2790,178,244,220,13,984,95,499,162,77,26,276,5,14,1,44,33,318,894,545,2690,923,2094,295,10786,11,809,55,58,772,165,731,67,598,44,1222,201,28,3,1150,292,99,71,214,50,89,17,3,1,2,108,735,152,1,91,116,10,779,292,3,135,8,1,9,132,1174,60,450,204,50,5,121,40,622,31,5,311,1192,24,110,41,477,12,25,1112,163,11,-1,62,11,50,829,323,2,309,22,940,-1,20,626,179,370,198,291,64,106,168,382,555,721,113,335,143,86,8,14,8,-1,313,612,291,336,224,-1,2,-1,4,-1,141,3,566,355,31,-1,389,-1,71,54,113,-1,87,-1,-1,-1,219,207,-1,-1
86,268,242,623,9,127,268,70,424,100,7,438,23,1,181,50,226,158,6,234,66,56,19,310,20,25,318,1069,28,1,2,85,26,16,-1,357,317,3,38,11,46,134,585,8,204,270,749,45,270,21,224,416,57,26,1,643,57,34,59,509,617,7,42,5,19,702,169,142,1,106,579,370,15,45,152,21,191,146,29,13,148,43,5,-1,63,64,493,15,126,1199,34,197,17,1,262,54,258,140,73,210,262,115,25,128,78,235,210,2,29,37,97,1422,66,268,124,1,-1,64,154,425,52,146,318,27,107,38,1204,33,40,373,349,2000,956,554,248,11713,89,1283,152,136,2200,266,342,13,1245,9,292,82,121,1,44,419,151,11,184,82,678,33,173,20,3,1,2,173,68,98,101,55,292,274,1,22,77,299,78,201,15351,254,467,209,28,4,-1,12,528,17,28,870,3770,4,140,5,421,22,141,485,-1,5,-1,64,11,127,-1,-1,16,403,18,583,-1,4,631,1,255,155,2926,118,1450,23,697,199,889,121,605,59,68,31,68,70,-1,551,433,121,124,170,-1,1,-1,22,-1,140,17,641,305,136,-1,492,-1,101,75,356,-1,32,-1,-1,-1,-1,273,-1,-1
174,209,32,266,1,2,797,125,264,113,3,408,76,16,30,24,59,688,3,8,46,7,3,73,517,29,39,1626,2,1,11,113,36,13,-1,287,784,3,6,1,73,15,455,1564,-1,639,1065,101,762,16,14,126,28,9,1,539,6,77,189,1879,769,6,116,6,9,641,632,159,122,82,1102,555,8,88,28,2,226,81,-1,8,252,11,13,-1,119,126,1836,306,287,1669,30,41,77,45,453,620,250,75,13,433,103,166,13,122,58,231,31,49,29,25,17,3351,701,199,195,295,-1,189,116,312,69,7,171,4,115,38,93,106,320,82,346,2876,551,390,108,11000,12,701,38,227,1444,106,395,17,4053,5,165,102,80,33,56,1343,31,4,54,18,149,20,2,24,57,1,102,134,2,8,32,29,631,624,15,13,98,20,56,49,26076,169,354,274,9,-1,-1,5,268,6,3,389,2684,2,117,26,411,6,98,1156,-1,35,-1,59,10,44,-1,-1,3,101,17,783,-1,3,650,15,157,24,3235,79,173,47,830,37,532,226,214,58,50,32,11,24,-1,545,911,420,256,158,-1,-1,-1,97,-1,244,8,-1,111,1277,-1,-1,-1,41,63,242,-1,53,-1,-1,-1,-1,-1,-1,-1
220,222,244,722,2,120,430,61,2,193,13,421,118,1,73,30,238,198,-1,38,9,2,29,278,14,5,186,1250,20,1,14,109,1,29,-1,444,1036,24,27,3,35,16,597,3,-1,143,768,54,510,9,404,79,2,16,1,328,5,64,1205,1474,98,1,80,11,21,941,491,257,70,45,1080,247,32,76,10,55,112,23,-1,9,189,1,4,-1,271,228,1900,352,20,1457,15,179,2,190,493,150,181,157,48,971,118,179,113,35,5,7,3,3,74,27,112,1318,800,297,155,294,-1,13,167,365,104,129,184,5,92,54,20,31,11,62,61,7533,341,724,229,16589,3,377,17,213,1182,143,736,15,693,44,233,241,162,4,48,247,230,2,243,20,522,26,26,52,84,1,149,129,2,31,344,18,388,306,1,28,171,24,45,307,14595,339,177,246,11,-1,-1,1,149,8,14,327,2353,7,510,4,372,3,97,1882,-1,58,-1,74,11,53,-1,-1,47,204,-1,1011,-1,11,3254,8,570,748,722,-1,355,83,923,44,1425,60,506,199,28,36,523,1,-1,711,501,242,137,253,-1,-1,-1,4,-1,75,16,-1,864,-1,-1,-1,-1,4965,135,1368,-1,23,-1,-1,-1,-1,-1,-1,-1
86,286,245,500,9,168,362,45,483,139,2,402,17,9,137,40,453,895,-1,100,169,1,35,159,16,313,168,416,1183,9,2,11,57,23,-1,619,238,25,121,12,118,111,875,3,-1,167,1040,278,583,36,602,19,6,68,1,308,12,44,20,3431,87,82,95,175,26,1204,700,204,245,79,626,293,44,80,3,56,1584,7,-1,8,75,6,7,-1,160,141,-1,380,23,1084,39,160,1,115,737,116,582,311,20,1861,150,156,218,317,11,101,21,16,37,27,127,1158,788,718,139,191,-1,36,146,649,12,32,341,60,66,81,91,107,10,15,189,15348,660,539,363,4534,42,498,51,134,1830,129,208,17,459,2,179,85,104,5,327,125,203,9,271,11,318,41,16,40,6,4,9,-1,29,26,39,25,417,208,18,25,112,-1,91,981,6288,19,254,245,19,-1,-1,1,293,9,18,571,4727,9,489,18,715,35,1,2570,-1,106,-1,91,42,-1,-1,-1,39,67,-1,347,-1,40,3704,59,460,203,-1,-1,716,114,679,21283,917,83,-1,222,-1,89,79,1,-1,737,1501,100,334,69,-1,-1,-1,95,-1,45,14,-1,-1,-1,-1,-1,-1,-1,-1,555,-1,-1,-1,-1,-1,-1,-1,-1,-1
