openwebbeans,jena,shindig,sanselan,skywalking,stdcxx,wave,tajo,ratis,mrunit,hama,datasketches,awf,tamaya,devicemap,freemarker,ambari,singa,guacamole,sis,tika,wookie,tashi,shardingsphere,pinot,allura,wink,airflow,myriad,daffodil,cordova,madlib,photark,asterixdb,xap,amaterasu,helix,mrql,river,batchee,deltacloud,gearpump,weex,droids,jspwiki,twill,tuscany,systemml,clerezza,horn,s4,graffito,juneau,openwhisk,odf,mesos,quickstep,curator,blur,vxquery,imperius,apisix,bval,lucy,nifi,predictionio,knox,trafodion,buildr,datafu,usergrid,taverna,ranger,ariatosca,superset,hawq,jackrabbit,thrift,climate,sentry,echarts,zeta,shiro,vcl,opennlp,pulsar,lens,uima,drill,jclouds,trafficcontrol,htrace,sling,kafka,yoko,tephra,hise,solr,bookkeeper,npanday,joshua,metron,cloudstack,brooklyn,servicecomb,adffaces,libcloud,wicket,hcatalog,stratos,tinkerpop,johnzon,falcon,slider,carbondata,fluo,iotdb,atlas,rya,kitty,edgent,aurora,openmeetings,bloodhound,unomi,harmony,gobblin,bigtop,kalumet,samoa,nuvem,syncope,empire,oodt,jdo,bluesky,roller,olio,esme,qpid,click,isis,mod_ftp,abdera,felix,gora,openaz,oltu,marmotta,synapse,deltaspike,etch,s2graph,pig,mnemonic,heraldry,derby,chukwa,dolphinscheduler,cassandra,omid,agila,sirona,ignite,zeppelin,streams,pdfbox,plc4x,lokahi,phoenix,ant,lucenenet,triplesoup,iceberg,flume,manifoldcf,griffin,crunch,beam,celix,iota,geode,airavata,ace,any23,mynewt,ibatis,ripple,druid,kylin,directmemory,stanbol,eagle,tez,spark,groovy,rocketmq,commonsrdf,stonehenge,impala,netbeans,dubbo,giraph,oozie,apex,couchdb,servicemix,parquet,samza,whirr,cxf,activemq,hudi,hdt,openoffice,nmaven,fineract,pubscribe,trafficserver,rave,commons,gossip,openjpa,pirk,kato,olingo,alois,aries,ivy,ftpserver,metamodel,ode,flex,pivot,struts,kudu,provisionr,accumulo,storm,calcite,corinthia,tvm,ctakes,onami,sqoop,myfaces,nutch,flink,juice,muse,chemistry,beehive,reef,cayenne,ofbiz,zipkin,subversion,cmda
145,18,133,7,1019,9,28,674,667,30,56,753,105,734,4,103,359,1227,1616,21,14,50,44,93,381,254,1336,179,573,202,574,11,20,1529,391,2659,1479,28,19,544,480,1251,4185,124,3,369,276,2943,218,1,4,96,1906,1,581,1496,199,344,385,1,298,320,456,1,2245,712,141,367,46,324,307,20,1121,379,95,3575,419,254,17,133,1312,1119,27,65,204,2,252,602,58,8393,1868,101,187,437,18,184,90,86,48,57,884,670,4663,980,2507,93,35,702,156,3022,3122,182,346,453,1542,335,914,535,582,44,1035,117,278,21,256,15,2714,98,201,972,12,232,387,245,750,20,658,40,122,647,230,1778,7,389,198,158,1757,82,1944,13,193,70,315,264,129,666,156,1,110,643,674,14,575,7697,23,32,1,944,205,51,219,43,50,381,145,117,3790,569,2454,126,65,3588,115,1,603,682,79,325,4757,2650,113,127,1064,394,483,1398,1605,230,201,525,9,750,113,60,1587,196,302,39,361,23,965,1158,150,64,166,61,2600,127,174,461,1111,48,75,914,365,861,382,267,260,135,552,828,146,800,252,1827,240,529,564,998,5392,75,20,281,54,255,39,3093,9,10,133,632,1131,375,754,1,505,459
393,5,227,206,430,55,16,284,254,5,50,158,24,380,6,480,73,138,703,13,9,110,2,22,310,199,436,520,223,218,1096,98,17,644,249,4,116,4,1,85,80,148,4822,3,638,166,1072,313,242,44,450,68,1625,71,60,190,660,20,309,9,31,115,116,554,5302,449,24,5772,66,154,928,20,1534,118,165,1160,478,44,38,86,136,16,232,14,98,2,162,561,104,1142,739,75,417,239,427,273,31,71,298,138,1277,969,5590,9604,1409,171,42,543,18,512,1088,65,44,574,1807,58,866,165,599,16,454,964,217,56,8,16,569,177,13,314,24,424,38,70,185,59,277,147,50,736,567,559,4,168,3,12,63,40,4674,105,199,3,69,63,67,5,122,31,202,221,345,5,55,56406,2,43,49,834,24,2723,29,121,246,60,685,103,406,209,4278,166,59,6304,625,312,24,229,76,24,3944,3934,12,130,57,359,807,623,47,31,15,439,19,369,40,46,638,96,249,110,175,25,624,349,582,1,1034,161,2656,83,237,216,1036,63,13,463,293,854,8,116,223,150,33,278,26,293,402,495,172,360,131,987,656,372,39,260,38,364,52,2636,-1,159,94,305,121,144,228,40,345,808
199,17,308,101,1277,47,2,566,80,1,53,492,10,285,7,148,148,125,151,6,21,46,19,37,7014,230,284,173,7,828,771,5,1,1632,160,65,150,69,28,32,172,142,8731,27,521,31,749,240,163,3,97,32,1145,220,51,9,545,114,197,11,2,49,92,493,1071,206,71,432,88,16,8683,3016,489,118,215,896,686,19,93,42,1120,16,41,57,13,2,580,803,141,610,800,94,457,80,558,9,25,43,80,17,717,444,2975,894,608,745,65,776,48,205,1230,129,75,804,507,130,617,50,22,3,1075,351,190,71,9,3,114,71,1,8,18,122,8,78,134,22,224,45,9,959,32,892,2,215,25,2,21,1,525,294,335,511,196,150,46,1,315,32,1849,152,120,7,23,38182,260,5,26,549,102,2039,65,337,53,50,84,53,1139,121,1061,9,43,3479,275,15,51,712,-1,15,1280,1016,92,283,127,384,1930,1364,1362,9,205,429,4,1813,79,107,888,70,228,79,113,22,480,1274,37,4,1028,128,183,107,465,87,735,4,13,445,110,1703,8,244,161,155,4,15,45,682,1460,278,114,324,71,181,2205,211,431,258,159,934,158,1830,-1,26,135,880,2011,612,1135,41,-1,-1
129,208,243,26,1191,80,2,316,76,5,47,430,109,144,6,796,9,209,446,1,1,158,35,7,479,181,56,66,18,44,1074,1,1,3803,307,17,67,77,2,61,208,2713,4676,4,104,28,1549,256,95,6,106,122,535,794,4,2,1360,59,277,73,2,207,59,29,1850,113,73,923,108,158,8894,2729,490,204,174,952,126,23,105,74,88,43,403,78,7,2,218,146,147,949,244,86,370,69,204,547,5,58,41,106,75,551,5162,1639,505,153,25,662,70,942,1626,64,104,1229,680,273,789,218,73,1,906,233,238,93,4,344,135,40,22,15,45,92,1,1067,70,13,556,83,6,1095,83,183,28,104,20,4,32,13,228,106,134,159,9,188,4,46,314,24,525,226,52,5,196,28776,40,1,38,443,12,204,49,33,-1,616,78,74,1287,135,2582,2,16,2233,585,3,65,1444,-1,20,1349,964,193,1382,1409,122,665,78,539,28,31,1685,1,609,67,126,442,75,249,17,100,29,356,679,473,4,988,123,601,114,808,263,1277,31,4,-1,209,474,1,331,164,68,4,119,40,286,301,311,9,363,117,1225,1359,507,195,-1,53,769,-1,3042,-1,634,51,419,698,470,213,32,-1,-1
183,258,559,12,456,63,1,424,19,29,59,126,107,245,95,26,18,357,186,4,41,74,11,-1,496,327,37,62,12,55,655,17,1,3948,282,29,462,94,10,87,74,73,2747,9,381,365,1026,430,75,17,7,6,508,448,148,19,164,31,158,38,6,100,115,70,5306,10,122,1855,101,17,2694,6,192,281,215,278,293,23,90,167,248,56,105,80,224,178,452,249,7,979,480,163,304,77,207,22,1,71,602,38,1109,466,4030,1078,2296,321,90,820,132,2407,446,69,137,600,1230,44,1573,100,145,1,347,427,261,97,26,684,78,33,1,322,21,123,4,108,288,1,178,141,54,650,139,403,3,83,76,8,1,7,270,112,299,247,28,281,65,4,153,47,763,305,31,5,46,12256,64,7,48,577,21,-1,9,107,-1,134,69,65,130,114,3595,90,17,10363,527,28,6,968,-1,24,279,900,40,308,113,186,2250,106,339,11,149,911,555,1242,37,63,583,98,539,64,108,10,577,421,169,8,6298,184,136,-1,291,254,-1,7,2,-1,70,1152,-1,358,174,16,13,367,193,831,-1,692,-1,459,435,387,109,2884,64,-1,79,790,-1,879,-1,-1,36,214,267,390,342,27,-1,-1
188,288,666,9,933,159,17,581,88,14,46,738,6,81,1,517,25,52,2,4,174,84,19,-1,384,1065,20,86,3,94,529,1564,2,900,87,16,245,28,74,6,89,192,2155,6,88,9,882,231,121,19,122,193,1310,642,108,5,266,-1,261,8,5,147,124,130,1860,8,292,1879,36,77,424,46,543,280,89,780,172,33,74,348,31,49,30,30,42,854,233,211,295,-1,351,78,273,138,94,9,68,34,965,124,154,360,3260,807,478,167,13,1639,65,1639,541,21,189,802,4143,8,1253,226,122,35,56,1404,119,19,36,187,114,25,3,322,24,187,93,102,164,68,162,8,34,706,254,681,1,16,104,11,299,108,68,160,286,32,4,289,17,-1,-1,5,386,136,17,28,4,13393,150,13,26,448,7,-1,35,122,-1,156,78,95,96,81,3559,69,49,31391,120,2,30,825,-1,3,735,1211,18,242,106,670,3968,112,1282,11,55,914,199,633,11,303,278,68,458,20,117,60,695,1040,622,70,1806,80,435,-1,-1,223,-1,9,-1,-1,59,989,-1,154,320,9,97,281,35,578,-1,-1,-1,-1,1182,225,48,3460,104,-1,54,-1,-1,-1,-1,-1,89,-1,386,111,-1,1340,-1,-1
247,306,811,1,465,82,7,364,118,1,38,1016,-1,94,56,14,166,232,1035,1,120,170,29,-1,783,769,40,75,31,117,1081,3,11,663,628,29,85,2,1,5,70,1217,4114,83,365,23,1300,239,120,33,133,62,1214,253,5,84,1618,-1,209,11,15,315,21,227,1924,664,13,1742,20,2,634,236,862,346,311,982,253,246,12,36,10,3,74,39,118,863,430,200,378,-1,465,98,361,98,188,29,59,51,20,110,65,65,10614,760,860,237,33,452,42,1617,761,13,18,107,706,44,685,269,78,4,361,241,374,22,28,670,193,30,173,11,55,153,64,151,-1,2,218,57,19,611,221,308,15,38,173,1,20,1,521,230,226,244,12,298,24,-1,-1,1,214,157,6,3,2,17325,234,8,6,643,3,-1,95,97,-1,522,106,72,919,65,2652,104,1,14112,205,7,-1,1146,-1,20,527,1987,21,902,740,196,-1,-1,585,11,92,1080,37,1672,41,94,603,-1,289,524,252,84,990,1813,195,24,1227,108,318,-1,-1,266,-1,44,-1,-1,234,4597,-1,180,100,18,12,359,355,431,-1,-1,-1,-1,558,255,5470,1693,132,-1,23,-1,-1,-1,-1,-1,50,-1,1499,-1,-1,-1,-1,-1
200,975,675,17,2218,38,24,593,44,16,27,153,-1,152,7,514,243,108,239,1,16,20,23,-1,585,261,136,199,25,287,1088,4,14,1045,499,42,40,6,1,15,118,51,477,1,111,170,1703,266,160,83,230,79,527,361,3,601,456,-1,764,1,25,-1,17,167,-1,432,81,1534,40,1,1484,91,743,453,284,1848,201,104,4,220,52,24,45,29,263,1003,906,157,161,-1,691,115,203,94,167,19,101,14,108,26,6,262,15668,413,716,561,51,-1,51,6540,516,20,99,159,1166,2,1449,74,151,5,18,238,249,163,62,1365,171,49,2,10,92,321,2,-1,-1,2,111,1,23,349,104,318,1,109,119,3,24,1,956,265,45,245,60,315,8,-1,-1,1,574,206,8,14,68,37636,52,9,25,1174,35,-1,109,475,-1,251,120,94,543,-1,7793,12,39,3997,114,9,-1,1434,-1,49,870,2728,53,160,841,143,-1,-1,-1,21,93,683,44,991,-1,39,-1,-1,580,114,96,61,788,518,450,1,458,113,82,-1,-1,124,-1,59,-1,-1,270,-1,-1,144,50,27,107,288,60,336,-1,-1,-1,-1,787,175,-1,1629,-1,-1,-1,-1,-1,-1,-1,-1,142,-1,1198,-1,-1,-1,-1,-1
259,648,377,91,470,79,26,1176,154,31,31,124,-1,232,2,532,236,11,1087,1,89,86,20,-1,395,181,99,227,65,25,-1,12,2,2518,59,1396,755,1,1,1,75,310,633,85,82,48,756,235,91,16,63,132,1339,163,1,98,835,-1,1178,10,1,-1,6,220,-1,488,57,1302,117,94,3753,150,503,110,498,1720,119,771,2,104,105,2,76,51,62,525,-1,233,835,-1,923,237,59,99,119,24,18,150,663,36,13,225,-1,2360,664,242,141,-1,124,2430,716,49,178,327,-1,29,1303,168,320,2,484,261,209,43,32,1082,62,13,41,17,108,-1,9,-1,-1,29,233,14,112,714,16,110,18,56,81,12,-1,1,1361,207,136,22,29,167,24,-1,-1,7,357,243,9,159,72,-1,114,52,26,1558,24,-1,73,337,-1,54,79,23,169,-1,3560,53,2,33113,24,47,-1,516,-1,1,566,703,59,199,1371,152,-1,-1,-1,42,106,392,22367,1505,-1,61,-1,-1,679,-1,115,107,630,923,316,1,571,20,263,-1,-1,194,-1,82,-1,-1,112,-1,-1,153,56,38,36,148,167,-1,-1,-1,-1,-1,-1,170,-1,1149,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,494,-1,-1,-1,-1,-1
270,296,348,15,940,93,31,599,47,56,25,527,-1,179,1,183,196,107,934,9,35,16,6,-1,290,247,107,193,104,16,-1,11,17,949,49,7,788,94,1,10,213,66,709,1,601,147,1169,324,124,1,23,37,1540,467,3,121,437,-1,120,6,5,-1,53,74,-1,311,96,1683,102,37,3494,94,180,622,249,526,168,29,78,69,36,3,31,9,220,619,-1,51,1568,-1,17,48,113,87,95,284,4,118,601,51,13,416,-1,431,-1,91,19,-1,148,-1,706,4,88,332,-1,75,1243,301,49,13,57,657,200,61,63,1599,119,43,10,22,15,-1,13,-1,-1,30,779,40,97,630,34,288,3,101,311,138,-1,4,-1,138,54,2,116,223,55,-1,-1,8,282,305,21,33,29,-1,247,79,22,1583,2,-1,37,12,-1,408,-1,30,250,-1,-1,126,5,15906,100,2,-1,2516,-1,1,2607,-1,-1,481,422,349,-1,-1,-1,4,33,356,2499,758,-1,153,-1,-1,306,-1,183,103,509,842,952,2,550,82,218,-1,-1,197,-1,111,-1,-1,-1,-1,-1,239,-1,14,30,184,404,-1,-1,-1,-1,-1,-1,144,-1,2437,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,439,-1,-1,-1,-1,-1
282,503,219,39,968,80,39,688,97,-1,13,301,-1,77,1,1,908,17,951,3,33,18,11,-1,263,283,143,203,1,230,-1,425,1,-1,110,14,915,18,6,10,60,1508,1394,101,446,154,1115,697,52,5,91,77,1063,523,9,52,350,-1,1239,2,1,-1,12,167,-1,323,-1,2227,15,14,1465,2,162,256,504,2030,135,19,-1,199,61,5,47,6,295,684,-1,154,123,-1,15,67,121,146,121,25,17,-1,-1,6,2,262,-1,441,-1,-1,12,-1,113,-1,797,12,66,95,-1,19,843,530,837,14,358,367,175,87,33,1599,102,13,13,7,15,-1,12,-1,-1,36,408,63,58,648,-1,307,1,41,143,20,-1,18,-1,100,164,10,29,-1,35,-1,-1,2,512,-1,56,-1,3,-1,410,64,62,1032,19,-1,43,120,-1,820,-1,40,309,-1,-1,60,-1,9789,389,51,-1,1577,-1,2,4420,-1,-1,369,869,270,-1,-1,-1,104,68,628,24066,1382,-1,-1,-1,-1,417,-1,362,40,393,278,526,19,568,89,90,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,225,-1,4,49,148,-1,-1,-1,-1,-1,-1,-1,105,-1,4091,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,954,-1,-1,-1,-1,-1
-1,357,482,1,596,44,19,-1,36,-1,6,142,-1,319,1,178,740,462,117,3,5,43,2,-1,1091,243,46,115,14,101,-1,4,1,-1,35,45,-1,8,7,1,222,82,1262,48,233,22,1830,296,73,-1,85,104,1317,471,5,137,27,-1,698,2,2,-1,1,18,-1,389,-1,868,3,3,1414,1,347,239,279,375,534,38,-1,146,1476,6,51,44,63,767,-1,95,150,-1,146,15,67,166,158,6,2,-1,-1,2,4,200,-1,510,-1,-1,36,-1,144,-1,619,38,113,54,-1,-1,492,387,122,10,59,133,-1,234,52,1328,164,17,1,67,69,-1,11,-1,-1,36,297,105,140,439,-1,369,7,175,301,4,-1,10,-1,90,78,3,47,-1,50,-1,-1,18,299,-1,56,-1,12,-1,327,91,71,1183,7,-1,75,197,-1,124,-1,14,362,-1,-1,99,-1,14032,205,3,-1,1601,-1,3,1449,-1,-1,321,464,163,-1,-1,-1,91,12,531,3141,1188,-1,-1,-1,-1,426,-1,178,31,531,860,269,28,650,122,14,-1,-1,-1,-1,52,-1,-1,-1,-1,-1,295,-1,-1,9,262,-1,-1,-1,-1,-1,-1,-1,240,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,326,695,14,395,118,76,-1,62,-1,89,86,-1,166,16,175,352,203,132,3,5,1,23,-1,155,348,40,105,14,248,-1,5,6,-1,65,26,-1,18,12,2,33,62,203,24,210,124,1900,181,87,-1,237,35,1198,472,68,120,64,-1,344,7,25,-1,60,101,-1,402,-1,2244,6,2,1670,53,395,4,635,377,-1,31,-1,180,276,12,60,11,-1,-1,-1,394,1,-1,14,7,99,306,147,301,11,-1,-1,232,1,359,-1,9043,-1,-1,19,-1,53,-1,657,33,83,19,-1,-1,2449,447,24,-1,41,222,-1,-1,70,1327,74,-1,4,24,1,-1,48,-1,-1,2,238,1,48,550,-1,243,7,223,285,24,-1,7,-1,163,80,6,4,-1,40,-1,-1,1,366,-1,14,-1,16,-1,211,82,13,1522,6,-1,67,183,-1,21,-1,52,389,-1,-1,10,-1,1402,123,3,-1,883,-1,8,495,-1,-1,477,-1,173,-1,-1,-1,98,36,913,292,-1,-1,-1,-1,-1,155,-1,59,-1,647,-1,993,17,652,86,68,-1,-1,-1,-1,42,-1,-1,-1,-1,-1,442,-1,-1,147,86,-1,-1,-1,-1,-1,-1,-1,388,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
