openwebbeans,jena,shindig,sanselan,skywalking,stdcxx,wave,tajo,ratis,mrunit,hama,datasketches,tamaya,devicemap,freemarker,ambari,singa,guacamole,sis,wookie,tashi,shardingsphere,allura,airflow,myriad,daffodil,cordova,madlib,photark,asterixdb,xap,amaterasu,helix,mrql,river,batchee,deltacloud,gearpump,pinot,weex,droids,jspwiki,twill,tuscany,systemml,clerezza,wink,s4,graffito,juneau,openwhisk,odf,mesos,quickstep,curator,blur,vxquery,imperius,apisix,bval,lucy,nifi,predictionio,knox,trafodion,buildr,usergrid,taverna,ariatosca,hawq,jackrabbit,thrift,climate,sentry,echarts,zeta,shiro,vcl,opennlp,pulsar,lens,uima,drill,jclouds,trafficcontrol,htrace,sling,kafka,yoko,tephra,hise,solr,bookkeeper,npanday,joshua,metron,cloudstack,brooklyn,servicecomb,adffaces,libcloud,wicket,hcatalog,stratos,tinkerpop,johnzon,falcon,slider,carbondata,fluo,iotdb,atlas,rya,kitty,edgent,aurora,openmeetings,bloodhound,unomi,harmony,gobblin,bigtop,kalumet,samoa,nuvem,syncope,empire,ranger,oodt,jdo,tika,bluesky,roller,olio,esme,qpid,click,isis,mod_ftp,abdera,felix,datafu,gora,openaz,oltu,marmotta,synapse,superset,deltaspike,etch,s2graph,pig,mnemonic,heraldry,derby,chukwa,dolphinscheduler,horn,cassandra,omid,agila,sirona,ignite,zeppelin,streams,pdfbox,plc4x,lokahi,phoenix,ant,lucenenet,iceberg,flume,manifoldcf,griffin,beam,celix,iota,geode,airavata,ace,any23,mynewt,accumulo,ripple,druid,kylin,directmemory,stanbol,tez,spark,groovy,rocketmq,commonsrdf,stonehenge,impala,netbeans,dubbo,giraph,oozie,apex,couchdb,servicemix,parquet,samza,whirr,triplesoup,cxf,activemq,hudi,hdt,openoffice,nmaven,fineract,trafficserver,rave,commons,gossip,openjpa,pirk,kato,olingo,alois,pubscribe,aries,ivy,ftpserver,metamodel,awf,ode,flex,eagle,crunch,pivot,struts,kudu,provisionr,storm,calcite,tvm,ctakes,onami,corinthia,sqoop,myfaces,nutch,flink,juice,muse,chemistry,beehive,reef,cayenne,zipkin,ofbiz,subversion,ibatis,cmda
167,23,139,40,1023,10,28,677,680,30,57,756,734,4,103,364,1227,1616,21,71,44,93,255,192,573,202,702,11,21,1548,397,2659,1480,28,19,544,543,1251,481,4943,124,3,369,303,2985,239,1336,4,96,1908,1,581,1496,199,344,385,1,298,321,467,1,2249,717,144,367,49,307,20,379,3579,440,254,17,140,1312,1119,27,66,204,2,252,606,58,8450,1868,101,187,438,18,184,90,124,58,59,884,1454,5743,980,2516,96,35,727,156,3023,3124,182,346,453,1542,342,1096,535,582,44,1100,141,278,21,256,15,2714,98,201,972,12,245,387,1144,245,756,14,20,660,40,122,654,230,1786,7,389,198,324,158,1757,95,2244,13,100,194,70,315,264,131,666,161,1,134,18,645,674,14,575,7704,23,32,1,944,205,51,219,43,381,145,147,3790,2462,126,65,3588,115,1,603,703,534,325,4803,2650,113,133,397,483,1401,1605,230,201,538,10,757,113,71,1594,196,302,39,361,23,50,968,1176,150,64,166,61,2600,184,465,1119,48,75,920,365,886,382,134,267,262,144,553,105,828,146,1064,611,800,254,1828,240,564,998,75,23,346,5392,54,257,43,3105,13,11,133,678,1131,376,1,779,509,79,459
388,17,237,206,586,58,16,273,232,5,50,159,381,6,482,61,142,760,13,98,2,22,195,524,223,235,1063,98,16,625,268,4,135,4,1,92,24,171,269,4714,5,638,167,1081,326,243,446,472,71,1627,79,60,190,688,20,349,9,32,124,107,587,5311,445,22,5807,64,1283,20,118,1174,557,44,43,89,137,16,232,21,98,2,174,675,104,1153,749,110,544,266,427,273,39,23,288,140,1288,769,6355,9654,1414,191,42,703,18,520,1096,65,46,576,1835,58,642,165,599,16,655,951,227,56,8,16,569,180,13,316,33,466,37,1537,70,249,9,59,272,147,50,800,567,537,4,183,3,154,12,24,22,4639,140,160,198,195,69,63,29,5,163,31,1612,27,257,346,5,51,59088,93,44,49,857,38,3073,44,124,60,699,72,406,4326,166,67,6329,631,312,24,220,390,24,3928,4241,12,133,359,868,622,116,31,16,439,10,449,53,35,695,99,270,115,178,26,299,693,423,591,1,1355,167,2665,268,218,1224,63,13,643,311,1639,8,77,116,231,172,31,24,278,32,61,181,326,401,501,173,181,987,434,304,244,732,41,406,49,2675,-1,158,94,403,124,149,40,214,463,-1,808
217,45,326,101,1286,43,2,587,117,1,54,473,283,7,192,147,146,98,6,44,39,39,243,189,7,818,835,5,1,1640,171,65,131,69,28,10,332,156,7183,10350,25,529,43,876,218,186,270,85,26,1153,282,52,9,1566,132,224,47,1,64,98,468,1504,205,70,471,90,8698,3018,134,902,557,19,137,39,1120,16,44,53,13,2,582,704,144,666,798,118,431,58,581,9,21,40,78,17,707,209,2703,1371,619,743,71,678,60,328,1507,170,61,951,601,135,615,50,22,3,1002,386,202,84,9,24,144,72,1,5,4,66,8,479,78,63,21,22,265,45,9,1003,39,914,2,215,27,16,6,21,1,549,270,232,382,392,196,176,41,39,325,33,520,3,127,119,7,46,36128,267,1,26,609,98,1764,61,343,72,61,56,1141,1034,9,32,3710,379,15,55,789,319,15,1500,689,92,312,386,2146,1364,1299,9,205,461,4,1984,72,106,916,76,267,69,112,22,-1,435,1287,39,4,738,116,417,731,157,718,9,13,256,79,986,8,106,382,180,130,4,10,15,48,164,162,662,1458,323,110,20,181,122,248,255,2110,159,927,161,3682,-1,41,145,837,2438,656,41,1149,-1,-1,-1
160,187,371,38,1334,82,2,399,50,5,57,428,158,6,771,18,181,502,1,166,10,2,213,43,18,32,1058,12,1,3854,330,23,156,83,2,87,57,2680,394,5124,6,105,57,1569,469,80,60,107,122,963,805,75,2,1277,55,147,37,2,213,55,36,3218,112,73,1316,127,9034,2709,196,979,146,26,80,103,95,95,481,124,9,2,296,214,144,1502,321,39,410,63,196,547,5,60,73,108,862,646,5763,1310,578,178,15,1008,56,983,1272,48,114,1201,625,279,854,256,73,1,1201,376,259,97,4,342,129,41,22,318,45,96,1,514,1150,190,1,13,517,109,13,1152,83,291,28,122,16,158,2,32,13,241,124,223,74,157,9,183,15,8,286,56,544,6,249,52,5,182,25144,26,1,54,441,12,305,42,40,608,78,71,1286,3046,2,16,1897,553,11,62,1623,343,31,1095,1131,223,1420,134,450,56,539,28,103,1688,1,795,61,138,418,88,247,17,97,28,-1,366,632,532,4,6116,138,394,496,305,1219,32,4,-1,210,568,1,-1,236,151,4,5,109,158,108,1371,106,376,384,400,-1,126,1239,2828,115,-1,1362,71,1082,-1,1131,-1,-1,39,379,335,471,32,245,-1,-1,-1
116,318,854,9,715,119,1,496,29,29,56,203,247,95,20,25,337,102,4,100,19,-1,342,61,12,134,715,9,1,292,248,22,485,57,10,62,74,171,409,2582,11,393,365,966,232,69,38,80,186,581,509,174,22,210,31,154,43,9,86,146,80,3576,18,155,1449,45,12,1,301,242,266,35,85,248,240,8,37,46,238,399,479,195,192,-1,508,152,342,125,207,22,50,74,1213,77,563,418,2389,1069,2316,312,91,1636,157,2448,410,48,167,652,1438,31,1753,116,145,1,57,441,259,86,26,695,67,33,1,40,21,152,5,306,26,189,101,1,176,108,57,568,173,294,3,52,78,17,6,1,7,237,172,165,258,249,27,287,58,4,-1,14,798,17,292,31,31,27,12882,137,7,46,543,23,-1,6,175,143,86,65,224,3956,90,17,15615,464,19,25,921,-1,24,228,802,1,280,300,3521,139,1451,11,105,952,555,1112,37,130,668,106,559,73,109,34,-1,680,484,72,8,1839,202,129,383,258,-1,15,2,-1,68,1106,-1,-1,355,227,17,22,107,404,119,166,137,800,-1,656,-1,1222,320,1647,78,-1,108,57,-1,-1,869,-1,-1,78,-1,427,348,200,-1,-1,-1,-1
261,301,501,1,600,113,17,646,116,14,32,708,44,1,526,29,64,8,4,35,30,-1,1051,88,3,15,808,1566,2,1127,70,21,149,28,74,5,93,117,410,2472,2,67,9,1033,286,137,17,132,38,1219,640,11,44,254,-1,294,11,13,206,82,147,2023,330,269,2319,31,424,165,293,1139,204,110,61,233,32,44,32,32,70,1124,358,281,331,-1,334,128,207,125,147,24,55,37,83,83,29,331,3666,645,734,246,5,681,40,1644,789,28,159,726,4281,5,1529,227,122,37,52,1322,209,26,36,538,129,28,3,320,26,132,114,555,238,209,117,68,203,7,26,722,299,865,1,14,128,79,11,299,108,99,228,133,459,30,4,323,18,-1,-1,5,161,20,141,17,3,4,18876,181,13,30,442,6,-1,60,144,557,88,111,396,2887,115,50,28559,269,2,-1,527,-1,10,887,1675,17,338,660,2934,87,131,11,49,1226,199,1022,13,251,319,54,441,24,181,43,-1,734,1018,663,70,1420,38,492,-1,277,-1,8,-1,-1,157,2720,-1,-1,143,273,24,97,-1,250,186,752,54,638,-1,-1,-1,347,214,3401,154,-1,54,57,-1,-1,-1,-1,-1,68,-1,1493,923,1704,-1,-1,-1,-1
188,363,838,2,494,78,10,388,69,1,48,1021,102,56,18,317,288,1195,1,173,24,-1,320,134,49,125,957,3,11,714,661,36,25,2,1,9,71,1179,871,3525,83,392,183,1482,282,115,135,246,88,831,311,5,72,1590,-1,134,1,11,323,25,263,-1,394,21,1588,44,735,162,616,2008,279,238,12,101,23,19,95,29,181,913,693,145,267,-1,749,37,434,103,214,28,91,43,44,113,70,234,18918,877,897,313,44,557,65,2497,727,17,48,158,575,44,1057,189,168,3,329,299,335,20,58,413,278,47,173,11,85,334,20,1011,20,-1,106,2,190,57,28,603,205,216,15,52,193,1,1,20,1,1088,239,390,44,244,62,292,19,-1,-1,1,368,42,162,6,14,11,9406,162,8,9,832,2,-1,134,31,552,128,102,628,5623,44,39,12963,75,7,-1,1116,-1,40,854,2760,63,827,197,-1,-1,1033,22,167,893,37,1396,76,83,-1,-1,306,576,214,97,-1,1058,1702,215,24,1166,166,259,-1,169,-1,52,-1,-1,257,3888,-1,-1,216,47,14,95,-1,372,224,214,-1,434,-1,-1,-1,778,312,1807,67,-1,-1,-1,-1,-1,-1,-1,-1,105,-1,802,-1,-1,-1,-1,-1,-1
307,1009,613,84,2212,42,43,840,129,17,16,157,184,7,530,228,2,146,1,1,20,-1,210,169,64,291,1819,10,14,1790,466,1387,161,6,1,8,109,280,598,675,1,94,10,1413,193,163,39,42,66,1052,312,3,643,874,-1,1245,10,19,-1,12,178,-1,111,78,1480,69,4205,104,270,1621,145,704,2,223,129,10,65,58,212,779,-1,229,672,-1,408,164,119,49,152,31,60,119,636,42,2,252,12472,354,707,451,63,-1,79,7666,745,28,217,236,1513,3,1474,119,63,5,385,200,305,172,59,1598,105,41,2,20,103,-1,9,683,-1,-1,98,2,67,1,32,397,29,210,1,109,81,3,15,24,1,1294,310,457,90,245,35,240,8,-1,-1,1,531,65,230,8,159,96,39015,53,18,25,967,35,-1,16,776,159,104,41,519,5171,41,2,12982,80,9,-1,1406,-1,50,562,671,6,101,96,-1,-1,-1,42,89,299,44,1222,-1,33,-1,-1,791,99,134,53,-1,871,736,454,1,480,35,63,-1,174,-1,101,-1,-1,132,-1,-1,-1,117,58,57,14,-1,247,87,1084,-1,-1,-1,-1,-1,592,186,1470,-1,-1,-1,-1,-1,-1,-1,-1,-1,148,-1,1057,-1,-1,-1,-1,-1,-1
218,579,346,38,768,86,12,790,87,56,43,280,256,2,471,91,14,1059,1,97,8,-1,223,298,67,17,-1,3,2,1962,66,33,963,94,1,10,193,123,268,111,85,103,134,965,380,117,106,43,116,1247,318,1,82,492,-1,172,6,1,-1,29,93,-1,497,105,1363,101,1636,82,617,1583,136,146,72,62,56,3,58,11,75,583,-1,140,957,-1,846,185,57,166,70,299,5,109,238,15,17,360,-1,2582,-1,194,148,-1,145,771,571,26,123,416,-1,96,796,219,322,2,111,656,268,60,63,1389,128,22,41,7,99,-1,9,454,-1,-1,26,29,741,38,105,929,15,229,18,46,80,128,138,-1,4,-1,105,362,117,22,92,239,40,-1,-1,7,351,1,300,9,33,67,-1,221,60,27,1771,24,-1,91,5,61,-1,24,256,-1,94,5,27118,64,47,-1,946,-1,1,693,835,-1,435,290,-1,-1,-1,4,86,428,22958,1428,-1,66,-1,-1,525,-1,160,141,-1,522,893,674,1,598,70,472,-1,249,-1,103,-1,-1,-1,-1,-1,-1,203,-1,6,51,-1,167,282,1029,-1,-1,-1,-1,-1,-1,131,2242,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,566,-1,-1,-1,-1,-1,-1
355,450,340,34,1160,99,50,675,85,55,8,518,143,1,183,625,119,1817,9,17,11,-1,303,235,53,113,-1,435,17,543,101,14,610,15,7,10,108,5,378,1532,4,767,168,1282,403,51,143,83,55,1505,550,9,109,373,-1,333,2,5,-1,38,196,-1,307,-1,2530,86,3750,90,140,2126,217,32,-1,69,65,2,52,11,365,761,-1,74,777,-1,15,63,139,109,90,7,4,-1,627,53,10,293,-1,223,-1,-1,6,-1,158,-1,782,15,58,214,-1,17,1402,364,831,13,42,417,128,72,5,1827,61,38,10,22,27,-1,13,94,-1,-1,34,30,436,59,113,603,46,299,3,112,351,14,13,-1,18,-1,140,467,115,2,77,-1,58,-1,-1,8,603,5,-1,21,-1,4,-1,318,91,60,1405,2,-1,30,55,1171,-1,41,403,-1,71,-1,22910,355,51,-1,3277,-1,2,2949,-1,-1,313,344,-1,-1,-1,49,57,530,24101,773,-1,-1,-1,-1,272,-1,215,90,-1,419,625,641,2,564,66,85,-1,-1,-1,37,-1,-1,-1,-1,-1,-1,231,-1,10,58,-1,215,-1,757,-1,-1,-1,-1,-1,-1,159,3026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,578,-1,-1,-1,-1,-1,-1
