openwebbeans,jena,shindig,skywalking,wave,tajo,ratis,mrunit,hama,datasketches,devicemap,ambari,singa,guacamole,tashi,sis,airflow,myriad,daffodil,cordova,photark,sanselan,asterixdb,helix,river,batchee,deltacloud,gearpump,pinot,droids,jspwiki,twill,systemml,clerezza,wink,graffito,juneau,odf,mesos,curator,blur,imperius,freemarker,bval,lucy,nifi,predictionio,knox,usergrid,taverna,ariatosca,madlib,hawq,climate,sentry,echarts,shiro,vcl,pulsar,jclouds,trafficcontrol,htrace,sling,kafka,yoko,tephra,hise,solr,bookkeeper,jackrabbit,npanday,uima,brooklyn,servicecomb,adffaces,trafodion,libcloud,wicket,vxquery,tinkerpop,johnzon,falcon,slider,carbondata,fluo,iotdb,stdcxx,rya,openwhisk,kitty,edgent,openmeetings,allura,unomi,gobblin,bigtop,kalumet,samoa,nuvem,empire,oodt,tika,roller,quickstep,qpid,click,mod_ftp,abdera,felix,isis,datafu,gora,openaz,oltu,marmotta,esme,superset,metron,deltaspike,etch,s2graph,pig,mnemonic,heraldry,bloodhound,stratos,derby,chukwa,dolphinscheduler,horn,agila,drill,tamaya,sirona,ignite,zeppelin,pdfbox,plc4x,lokahi,omid,ant,lucenenet,synapse,flume,mrql,griffin,aurora,iceberg,apisix,celix,iota,geode,ace,mynewt,weex,harmony,druid,kylin,directmemory,atlas,spark,groovy,rocketmq,commonsrdf,stonehenge,amaterasu,joshua,zeta,netbeans,dubbo,giraph,tuscany,beam,olio,oozie,tez,couchdb,ripple,servicemix,streams,s4,manifoldcf,bluesky,wookie,stanbol,whirr,ranger,triplesoup,impala,cxf,activemq,hudi,hdt,nmaven,cassandra,fineract,thrift,parquet,rave,gossip,openjpa,pirk,airavata,cloudstack,kato,olingo,alois,apex,pubscribe,commons,samza,ivy,metamodel,buildr,awf,eagle,crunch,aries,pivot,hcatalog,kudu,provisionr,ode,accumulo,ftpserver,calcite,openoffice,tvm,any23,xap,jdo,ctakes,onami,syncope,sqoop,myfaces,lens,nutch,flink,trafficserver,opennlp,struts,muse,beehive,storm,reef,chemistry,cayenne,flex,ofbiz,corinthia,phoenix,zipkin,shardingsphere,subversion,ibatis,cmda
252,23,192,1063,36,698,707,30,68,765,6,372,1257,1622,44,21,531,651,326,1223,34,199,1564,1550,19,551,547,1304,592,127,625,383,3003,292,1382,100,1919,608,1496,351,437,303,125,501,1,5215,1100,153,307,20,400,105,3660,17,171,1320,27,71,2,8535,2076,110,304,557,68,456,91,127,83,624,140,789,9861,2691,121,5452,54,880,1,3362,196,367,563,1780,375,1147,21,1173,3,46,1271,332,296,259,2825,176,205,990,12,396,310,14,706,614,893,547,7,419,198,1849,351,164,1757,106,5070,132,187,1459,233,70,315,301,139,670,26,3192,196,23,162,32,14,161,874,582,33011,23,1,1027,205,675,235,154,26,173,28,3790,682,389,379,126,66,3609,267,759,5978,17,4878,3565,114,552,611,1811,1616,236,201,2659,1450,1121,19,888,113,784,4970,187,76,563,211,327,383,47,424,160,74,108,139,23,2498,75,838,1147,1259,557,64,61,692,2622,273,126,543,102,75,1013,476,6996,484,1088,384,2072,165,1747,375,379,555,62,108,1106,686,289,863,164,1983,240,828,740,190,1026,393,334,604,437,829,28,368,267,60,340,273,63,3188,330,239,524,112,750,575,1197,186,418,148,839,5392,2448,1,93,656,110,1198
434,17,414,1517,2,567,226,5,73,554,9,155,183,183,20,13,429,43,957,995,14,110,2226,157,1,90,178,185,7010,27,687,175,458,283,379,75,1493,54,190,121,360,20,586,148,805,5763,245,71,8673,3034,148,9,1879,96,48,1196,248,58,4,1490,1147,136,640,210,930,9,47,53,352,817,35,1073,1349,1693,825,1225,68,958,19,1517,135,75,1130,1883,130,894,91,614,257,12,1143,273,278,16,285,59,1,302,33,15,83,9,295,656,1232,124,4,279,25,1242,16,2,21,1,962,13,252,532,372,512,205,150,47,1,96,542,358,40,1905,13,12,139,371,47,67153,254,49,959,117,304,79,339,367,690,4,1512,857,73,101,97,80,7167,57,685,9907,4,5020,2105,103,166,2404,1507,1372,9,212,4,1404,20,4,1901,95,1165,3240,45,130,386,124,15,351,37,142,96,22,82,362,30,550,275,498,821,1440,95,5,267,239,201,24,91,211,7,13,505,523,5495,271,1731,8,1001,105,1096,144,175,6,90,22,143,199,305,738,49,442,114,292,422,182,1006,1856,332,55,285,259,438,356,483,178,1146,636,181,1943,539,38,1470,128,964,175,1748,138,666,54,1181,2817,3192,41,44,-1,-1,-1
242,248,541,1418,2,429,86,1,69,475,6,13,240,546,35,6,93,18,44,1186,2,38,3884,234,28,87,252,2759,659,6,220,365,529,133,74,122,970,77,9,62,290,2,805,60,60,5702,116,73,9053,2730,252,13,1022,158,120,151,489,125,2,1652,419,103,447,75,216,551,5,61,83,286,129,294,1939,2358,347,1402,31,1147,76,1759,121,145,1268,888,307,1676,99,92,932,1,1205,310,354,5,177,61,22,318,45,3,1165,21,578,1394,1426,127,30,174,22,333,158,12,32,13,314,13,279,713,221,164,9,318,52,46,109,1393,390,60,840,3,10,154,247,217,32383,66,105,586,18,52,57,56,155,114,83,1288,429,639,247,79,18,2453,26,1784,6811,372,1474,1272,223,274,818,96,541,28,168,87,933,105,1,1106,71,1904,3212,112,147,171,105,36,579,1,107,95,13,196,1439,36,532,-1,1950,494,845,549,4,166,279,620,31,22,406,37,13,-1,707,6776,218,705,-1,488,-1,-1,106,249,5,135,10,1424,168,469,532,89,567,9,385,535,68,1247,6316,3064,67,382,206,215,-1,120,100,1361,365,-1,3884,891,158,-1,-1,511,423,1047,53,567,134,347,1367,336,32,-1,-1,-1,-1
217,417,796,1014,1,683,93,29,54,759,95,18,354,30,24,1,113,14,149,947,1,9,988,525,2,62,90,211,595,13,350,11,278,150,38,188,1317,180,26,-1,322,9,517,202,149,2285,15,362,424,1,333,1572,603,119,399,230,54,48,902,-1,588,153,441,176,222,28,66,83,1294,254,133,305,1445,868,295,2534,92,1839,43,685,28,198,1213,4652,13,1608,174,127,831,36,63,218,952,36,138,43,1,360,20,59,102,184,237,301,812,303,3,34,162,825,92,11,1,115,233,69,195,643,370,273,29,357,30,-1,97,3263,-1,16,714,6,28,296,240,11,17118,183,31,751,27,31,40,196,172,103,67,224,1569,253,174,91,19,30515,4,1134,2121,804,783,1439,16,155,5398,195,1566,11,70,37,433,51,555,1036,34,1170,5620,103,305,700,103,4,609,7,122,122,1,102,391,55,640,-1,1432,993,1075,634,77,193,310,525,36,79,304,15,-1,-1,453,4177,108,1146,-1,784,-1,-1,153,363,97,52,118,178,146,330,1028,190,-1,-1,334,-1,25,418,2598,3646,31,259,233,127,-1,236,84,-1,415,-1,-1,-1,110,-1,-1,-1,1199,547,117,378,130,-1,142,-1,1356,-1,-1,-1,-1
279,458,1082,725,27,724,123,14,63,1063,1,368,305,1201,43,4,149,49,125,1316,2,1,1084,96,10,17,92,1224,1012,83,398,186,395,163,142,97,1264,10,98,-1,228,21,28,28,285,-1,730,34,735,254,635,6,2761,16,105,24,105,41,1340,-1,798,155,466,138,297,39,124,66,109,321,129,282,942,1060,537,2237,45,813,12,882,24,49,158,1057,44,1655,99,290,506,4,374,404,1186,58,278,55,3,11,90,85,156,120,281,1619,756,314,1,53,257,473,3,4,299,1,1136,34,443,245,351,244,62,378,24,-1,26,2667,-1,1,422,46,3,444,124,15,18577,259,20,838,3,17,158,97,400,150,2,932,330,645,395,104,47,15159,9,1221,4378,782,1123,2919,65,290,-1,-1,1039,22,169,40,72,19,199,2145,83,1878,6457,57,135,254,-1,40,388,13,250,123,68,176,965,111,1133,-1,1290,1258,1935,261,24,171,203,337,299,589,299,52,-1,-1,249,19946,342,5460,-1,-1,-1,-1,278,116,95,47,-1,867,-1,251,546,68,-1,-1,430,-1,29,350,1640,1921,-1,674,-1,-1,-1,341,-1,-1,952,-1,-1,-1,203,-1,-1,-1,840,1657,111,-1,377,-1,-1,-1,-1,-1,-1,-1,-1
365,1278,692,2266,43,1111,174,38,37,218,56,277,13,1117,22,4,268,72,298,-1,11,100,3042,711,75,5,157,323,662,86,109,53,297,170,124,139,1151,3,648,-1,1278,19,533,17,221,-1,499,92,4293,180,286,10,1776,2,226,131,69,62,922,-1,1158,293,125,144,174,34,60,160,689,226,42,281,2515,922,453,1889,178,-1,10,850,53,228,386,-1,31,1657,82,295,306,5,482,332,236,59,134,45,175,27,150,9,-1,104,156,887,736,17,15,122,94,244,9,12,20,1,1357,66,526,296,149,245,34,286,15,-1,190,7837,-1,7,657,65,167,838,273,124,-1,114,30,1632,35,6,75,780,319,137,6,670,302,170,-1,43,39,33562,14,1664,725,2133,787,950,21,191,-1,-1,-1,42,117,1412,13,10,22428,2017,-1,1654,5969,15,71,183,-1,50,904,37,65,47,2,86,217,122,843,-1,459,1006,1230,654,1,35,298,282,797,553,258,109,-1,-1,86,-1,215,-1,-1,-1,-1,-1,164,84,36,81,-1,1416,-1,163,-1,147,-1,-1,293,-1,59,245,693,1883,-1,489,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,235,-1,-1,-1,-1,1235,-1,-1,147,-1,-1,-1,-1,-1,-1,-1,-1
369,566,408,1429,60,813,83,61,26,584,7,478,121,1851,6,1,225,104,121,-1,14,15,1025,938,5,10,236,68,407,4,801,250,374,147,157,40,1589,10,139,-1,306,1,183,58,206,-1,314,-1,4515,96,633,26,975,-1,92,79,86,14,967,-1,24,110,179,149,125,285,4,164,752,195,53,110,567,-1,-1,3162,21,-1,6,1071,15,127,345,-1,78,1785,118,428,679,2,90,272,308,66,141,47,41,22,39,22,-1,49,953,582,923,49,1,116,361,370,122,149,24,4,-1,168,551,490,143,22,118,259,86,-1,89,-1,-1,8,640,1,33,1568,230,44,-1,353,57,1866,24,8,53,54,153,-1,94,260,840,474,-1,141,5,23415,71,3491,1465,2174,3104,-1,-1,402,-1,-1,-1,4,81,7,13,3,2738,1267,-1,1565,-1,76,280,447,-1,1,509,100,71,37,2,22,511,141,270,-1,535,639,1051,1171,1,117,-1,311,42,-1,240,111,-1,-1,140,-1,-1,-1,-1,-1,-1,-1,307,-1,58,143,-1,1553,-1,346,-1,187,-1,-1,264,-1,15,189,756,4031,-1,55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,390,-1,-1,-1,-1,735,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,533,531,854,21,-1,87,-1,10,324,2,1132,381,148,13,1,278,1,215,-1,2,39,-1,-1,10,11,250,1589,1278,146,342,22,814,103,130,172,1822,5,140,-1,1577,5,179,1,141,-1,423,-1,1591,3,321,417,1894,-1,222,44,52,43,938,-1,146,55,95,227,165,30,17,-1,-1,376,4,217,649,-1,-1,1306,41,-1,2,711,35,137,111,-1,-1,851,83,754,730,13,381,288,345,65,177,25,10,41,72,11,-1,24,473,270,750,-1,22,176,380,488,14,12,-1,27,-1,87,378,349,151,2,14,-1,53,-1,246,-1,-1,16,361,5,-1,216,323,12,-1,494,86,1120,2,9,87,269,99,-1,18,389,336,824,-1,116,-1,15991,27,1809,1796,2331,3464,-1,-1,683,-1,-1,-1,173,24,57,2,11,26076,1510,-1,2061,-1,129,-1,251,-1,2,723,93,127,36,29,55,594,28,402,-1,931,721,498,349,2,174,-1,22,35,-1,-1,56,-1,-1,502,-1,-1,-1,-1,-1,-1,-1,374,-1,30,2,-1,837,-1,416,-1,205,-1,-1,294,-1,-1,274,929,-1,-1,122,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,162,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,649,825,483,83,-1,73,-1,90,127,1,352,380,188,23,1,136,14,260,-1,18,-1,-1,-1,18,2,99,1560,193,24,237,218,405,144,75,54,-1,70,151,-1,440,1,212,64,155,-1,549,-1,2122,233,166,8,526,-1,231,1580,84,16,-1,-1,141,7,146,-1,238,301,2,-1,-1,-1,311,484,9215,-1,-1,2420,21,-1,2,795,41,265,22,-1,-1,5848,130,155,553,14,67,-1,362,72,188,-1,13,91,1,49,-1,8,286,70,601,-1,11,258,317,473,3,35,-1,7,-1,111,752,409,231,10,47,-1,92,-1,-1,-1,-1,2,1746,-1,-1,129,224,145,-1,323,45,1961,19,21,130,183,208,-1,22,575,339,33,-1,10,-1,7815,45,1162,1411,2020,504,-1,-1,491,-1,-1,-1,134,51,26,4,12,629,-1,-1,3044,-1,3,-1,347,-1,11,232,124,291,54,30,3,616,-1,448,-1,1138,866,-1,1138,19,96,-1,75,43,-1,-1,-1,-1,-1,194,-1,-1,-1,-1,-1,-1,-1,172,-1,291,21,-1,-1,-1,-1,-1,58,-1,-1,120,-1,-1,478,849,-1,-1,74,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,614,-1,20,-1,50,-1,90,170,32,887,506,1147,1,9,493,14,113,-1,33,-1,-1,-1,18,14,-1,267,394,2,408,7,625,116,190,63,-1,40,205,-1,228,2,358,7,445,-1,-1,-1,3531,110,11,34,1399,-1,174,231,56,37,-1,-1,691,13,177,-1,181,411,11,-1,-1,-1,406,290,1185,-1,-1,2801,132,-1,7,-1,27,525,26,-1,-1,33422,60,120,634,10,18,-1,557,42,121,-1,1,2,15,20,-1,1,863,159,833,-1,-1,213,68,234,2,-1,-1,6,-1,102,1454,-1,-1,3,4,-1,132,-1,-1,-1,-1,50,1609,-1,-1,699,147,26,-1,-1,137,-1,7,56,305,303,174,-1,54,283,-1,237,-1,25,-1,12454,10,2813,523,-1,581,-1,-1,262,-1,-1,-1,36,57,2,1,148,273,-1,-1,3082,-1,1,-1,-1,-1,5,188,322,202,85,400,108,595,-1,240,-1,943,696,-1,-1,40,18,-1,-1,21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,199,-1,-1,-1,-1,-1,-1,-1,-1,205,-1,-1,-1,-1,-1,-1,-1,-1,-1,34,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
